post_id,text,time,image,video,video_thumbnail,video_id,likes,comments,shares,post_url,images,
1.01589E+16,"As of 20 February 2021, 12pm, we have preliminarily confirmed that there are no new cases of locally transmitted COVID-19 infection.

There are 12 imported cases, who had already been placed on Stay-Home Notice upon arrival in Singapore.

We are still working through the details of the cases, and further updates will be shared via the MOH press release that will be issued tonight.

https://www.moh.gov.sg/news-highlights/details/no-new-cases-of-locally-transmitted-covid-19-infection-20feb2021

MOH.GOV.SG
MOH | News Highlights",20/2/2021 15:48,,,,,93,7,5,https://facebook.com/sghealthministry/posts/10158917131165631,[],10158917131165600
1.01589E+16,"As of 19 February 2021, 12pm, we have confirmed and verified that there are no new cases of locally transmitted COVID-19 infection. There are 14 imported cases, who had already been placed on Stay-Home Notice (SHN) or isolated upon arrival in Singapore. Amongst the new cases today, 13 are asymptomatic, and were detected from our proactive screening and surveillance, while 1 was symptomatic. The breakdown is as follows:

a) Cases in the community: 0
b) Cases residing in dormitories: 0
c) Imported cases: 14 (13 already isolated before detection, 1 detected from surveillance)

18 more cases of COVID-19 infection have been discharged from hospitals or community isolation facilities. In all, 59,697 have fully recovered from the infection and have been discharged from hospitals or community care facilities. There are currently 20 confirmed cases who are still in hospital. Of these, most are stable or improving, and 1 is in critical condition in the intensive care unit.

Read more in the press release: https://www.moh.gov.sg/news-highlights/details/no-new-cases-of-locally-transmitted-covid-19-infection-19feb2021-update

MOH.GOV.SG
MOH | News Highlights",20/2/2021 0:46,,,,,923,24,25,https://facebook.com/sghealthministry/posts/10158915311725631,[],10158915311725600
1.01589E+16,"COVID-19 vaccination for seniors will commence island-wide from next Monday, 22 February.

Over the next three weeks, seniors aged 70 years and above can expect to receive personalised letters inviting them to sign up for vaccination. We will start by inviting seniors living near polyclinics or vaccination centres, so that they can be conveniently vaccinated at a vaccination site near their home. All seniors will be able to receive their vaccination by mid-March when we have opened a vaccination centre in each town. We expect all the letters to reach our seniors aged 70 years and above by the first week of March.

Thereafter we will move to vaccinate the seniors aged 60 to 69 years. They will receive their invitation letters around the middle of March, and the vaccination will commence from around end-March onwards.

Upon receiving the invitation letter, seniors can register online for their vaccination at vaccine.gov.sg, and then receive an SMS with a unique link to book their vaccination appointments. Those who require assistance booking their vaccination appointments can bring their invitation letter to any community centre/club from today.

We will also be setting up more vaccination centres. By the middle of March, 31 vaccination centres will be in operation, with at least one vaccination centre in each town. In total, there will eventually be around 40 vaccination centres. These centres, together with the polyclinics and selected Public Health Preparedness Clinics (PHPCs), will ensure that every Singaporean and long-term resident in Singapore who is medically eligible can receive their vaccinations conveniently.

Vaccination is critical to protect us and our loved ones against COVID-19. This collective protection will become more effective as more people are vaccinated and is a key enabler allowing us to return to normalcy. We strongly encourage everyone to get vaccinated when your turn comes, so that as a society, we can keep each other safe from the disease.

Find out more here: https://www.moh.gov.sg/news-highlights/details/start-of-covid-19-vaccination-for-seniors",19/2/2021 19:53,https://scontent.fsin5-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/149655037_10158914553065631_3442432453214875417_o.jpg?_nc_cat=1&ccb=3&_nc_sid=8024bb&_nc_ohc=ssipGxMVQ_MAX92ygYo&_nc_ht=scontent.fsin5-1.fna&tp=14&oh=0874252f5313002f87efd6f19d278590&oe=60577591,,,,2089,69,0,https://facebook.com/sghealthministry/posts/10158914553700631,"['https://scontent.fsin5-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/149655037_10158914553065631_3442432453214875417_o.jpg?_nc_cat=1&ccb=3&_nc_sid=8024bb&_nc_ohc=ssipGxMVQ_MAX92ygYo&_nc_ht=scontent.fsin5-1.fna&tp=14&oh=0874252f5313002f87efd6f19d278590&oe=60577591', 'https://scontent.fsin5-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/150753720_10158914553165631_221362812797868006_o.jpg?_nc_cat=1&ccb=3&_nc_sid=8024bb&_nc_ohc=HJs87eFJWSwAX-N_irY&_nc_ht=scontent.fsin5-1.fna&tp=14&oh=49fb670ce49df36362f293fcc6336ca3&oe=6054E9B3', 'https://scontent.fsin5-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/151594679_10158914553200631_8654416148773425021_o.jpg?_nc_cat=1&ccb=3&_nc_sid=8024bb&_nc_ohc=JOSnkVNgBc4AX99e-s6&_nc_ht=scontent.fsin5-1.fna&tp=14&oh=911edf2bd114c8f878641deb633571b7&oe=605620A1', 'https://scontent.fsin5-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/150529829_10158914553240631_3225242529047377687_o.jpg?_nc_cat=1&ccb=3&_nc_sid=8024bb&_nc_ohc=dlHk2SNELCcAX-WNyol&_nc_ht=scontent.fsin5-1.fna&tp=14&oh=7759768e7897bdd9b1da20ce6bd4b187&oe=60583516']",10158914553700600
1.01589E+16,"As of 19 February 2021, 12pm, we have preliminarily confirmed that there are no new cases of locally transmitted COVID-19 infection.

There are 14 imported cases, who had already been placed on Stay-Home Notice or isolated upon arrival in Singapore. Of these, 13 are not required to undergo mandatory on-arrival serology tests upon arrival.

We are still working through the details of the cases, and further updates will be shared via the MOH press release that will be issued tonight. https://www.moh.gov.sg/news-highlights/details/no-new-cases-of-locally-transmitted-covid-19-infection-19feb2021

MOH.GOV.SG
MOH | News Highlights",19/2/2021 16:47,,,,,1158,38,55,https://facebook.com/sghealthministry/posts/10158914239335631,[],10158914239335600
1.01589E+16,"As of 18 February 2021, 12pm, we have confirmed and verified that there are no new cases of locally transmitted COVID-19 infection. There are 11 imported cases, who had already been placed on Stay-Home Notice (SHN) upon arrival in Singapore. Amongst the new cases today, 10 are asymptomatic, and were detected from our proactive screening and surveillance, while 1 was symptomatic. The breakdown is as follows:

a) Cases in the community: 0
b) Cases residing in dormitories: 0
c) Imported cases: 11 (11 already isolated before detection)

3 more cases of COVID-19 infection have been discharged from hospitals or community isolation facilities. In all, 59,679 have fully recovered from the infection and have been discharged from hospitals or community care facilities. There are currently 20 confirmed cases who are still in hospital. Of these, most are stable or improving, and 1 is in critical condition in the intensive care unit.

Read more in the press release: https://www.moh.gov.sg/news-highlights/details/no-new-cases-of-locally-transmitted-covid-19-infection-18Feb-updated

MOH.GOV.SG
MOH | News Highlights",18/2/2021 22:38,,,,,1118,27,28,https://facebook.com/sghealthministry/posts/10158912093545631,[],10158912093545600
1.01589E+16,"Koh Poh Koon - 许宝琨
18 February at 12:24 ·

In the next few days, seniors above 70 years old will progressively receive notification to book appointments for their Covid-19 vaccination. Since late January, selected Public Health Preparedness Clinics (PHPCs) across the island have been providing COVID-19 vaccination to healthcare workers.

The PHPCs have been playing an integral role in the fight against COVID-19 pandemic, from providing subsidised consultation and treatment for acute respiratory infections to conducting COVID-19 swab tests to help us quickly detect cases.

As we ramp up our vaccination efforts, some of these will now play a new role as vaccination sites. These selected PHPCs, along with our 20 polyclinics and vaccination centres, ensure that everyone has convenient and easy access to COVID-19 vaccination.

Vaccination is crucial in protecting ourselves and our loved ones against COVID-19, as well as others who cannot be vaccinated due to medical reasons. When your turn comes, I strongly encourage you to get vaccinated if you are medically eligible! This collective protection will become more effective as more of us are vaccinated and will enable us to return to normalcy. Remember, no one is safe, unless everyone is safe!",18/2/2021 21:43,,,,,375,7,28,https://facebook.com/sghealthministry/posts/10158911997815631,[],10158911997815600
1.01589E+16,"As of 18 February 2021, 12pm, we have preliminarily confirmed that there are no new cases of locally transmitted COVID-19 infection.

There are 11 imported cases, who had already been placed on Stay-Home Notice upon arrival in Singapore. Of these, 4 arrived in Singapore before the requirement for mandatory on-arrival serology tests commenced, and 6 are not required to undergo these tests upon arrival.

We are still working through the details of the cases, and further updates will be shared via the MOH press release that will be issued tonight.

https://www.moh.gov.sg/news-highlights/details/no-new-cases-of-locally-transmitted-covid-19-infection-18-feb

MOH.GOV.SG
MOH | News Highlights",18/2/2021 16:20,,,,,1480,30,60,https://facebook.com/sghealthministry/posts/10158911584285631,[],10158911584285600
1.01589E+16,"As of 17 February 2021, 12pm, we have confirmed and verified that there is 1 new case of locally transmitted COVID-19 infection. The case is in the community, and there are no new cases in the dormitories. There are 10 imported cases, who had already been placed on Stay-Home Notice (SHN) upon arrival in Singapore. Amongst the new cases today, 9 are asymptomatic, and were detected from our proactive screening and surveillance, while 2 were symptomatic. The breakdown is as follows:

a) Cases in the community: 1 (1 detected from surveillance)
b) Cases residing in dormitories: 0
c) Imported cases: 10 (10 already isolated before detection)

15 more cases of COVID-19 infection have been discharged from hospitals or community isolation facilities. In all, 59,676 have fully recovered from the infection and have been discharged from hospitals or community care facilities. There are currently 25 confirmed cases who are still in hospital. Of these, most are stable or improving, and 1 is in critical condition in the intensive care unit.

Read more in the press release:

MOH.GOV.SG
MOH | News Highlights",17/2/2021 23:43,,,,,1169,24,34,https://facebook.com/sghealthministry/posts/10158909788875631,[],10158909788875600
1.01589E+16,"Lawrence Wong
17 February at 18:32 ·

Good news! We received our first shipment of Moderna vaccines this afternoon. This follows another batch of Pfizer-BioNTech vaccines that arrived this morning. These shipments will enable us to progressively roll out our vaccination programme, with vaccination for seniors in the community set to begin later next week.

More vaccines from both Moderna and Pfizer-BioNTech will arrive over the coming months. We will continue to monitor our supplies closely, to meet our target of vaccinating all Singaporeans and long-term residents by the end of this year.

📷: MCI",17/2/2021 19:09,,,,,1636,25,155,https://facebook.com/sghealthministry/posts/10158909395195631,[],10158909395195600
1.01589E+16,"As of 17 February 2021, 12pm, we have preliminarily confirmed 1 new case of locally transmitted COVID-19 infection. Based on our investigations so far, the case is in the community, and there are no new cases in the dormitories.

In addition, there are 10 imported cases, who had already been placed on Stay-Home Notice upon arrival in Singapore. Most of them arrived in Singapore before the requirement for on-arrival serology testing commenced. In total, there are 11 new cases of COVID-19 infection in Singapore today

We are still working through the details of the cases, and further updates will be shared via the MOH press release that will be issued tonight.

MOH.GOV.SG
MOH | News Highlights",17/2/2021 16:05,,,,,1217,44,55,https://facebook.com/sghealthministry/posts/10158909187030631,[],10158909187030600
