,Comments,Datetime,num_words
0,"Happy 元宵节, our Beloved PM - Wishing you & your family Abundance of good health & happiness! Under your steadfast leadership Singaporeans are blessed to be able to celebrate our Lunar New Year on a smaller scale compared with many other countries. Thank you for giving us a safe & peaceful environment. 🙏🙏🙏",2021-02-26,47
1,We pray and hopeful next year Chinese new year will  better than this year.Honorable PM who comprehensive trying free from pandemic of Singapore,2021-02-26,22
2,"Yes ! I believe that if everyone does their part seriously in compliance with all the mandatory Social Distancing Management at all times, support the vaccination drive, working with the new mindset of the new normal, strive with patience and resilience against all the odds, we can celebrate with the roar of jubilation for our success in containing the world worst pandemic in history.",2021-02-27,63
3,Fingers crossed I can be in Singapore for Chinese New Year in 2022!,2021-02-26,12
4,"Thank you for leading us well that we are able to celebrate our lunar new year, unlike most of the other countries. Happy 元宵节 to you and your family our dear PM Lee.",2021-02-26,32
5,Thank you PM Lee ! I spotted beautiful rainbow lanterns at AMK Central tonite too ! How stunning in the dark ! Thank you for being the RAINBOW 🌈 to SINGAPORE & making our AMK pretty too 😍👍,2021-02-27,32
6,Hope to be able to join you in Singapore before the next New Year and for the next New Year to visit family.,2021-02-26,23
7,Happy yuan xiao our dearest PM lee,2021-02-26,7
10,"Good evening Mr PM Lee Hsien Loong . Thank you Sire for sharing the Last day of CNY ""Yen Siao Chey"" . Time flies and so fast it passed . Certainly this CNY is celebrated in a new norm way under the influence of COVID19 but still traditions and meanings Of CNY Greetings, hong baos abd orange exchanging and small groups of family gathering is still carried out . Wishing You , Sire amd Mrs Lee-Ho Ching have a great time of Chap Goh Mei",2021-02-26,79
12,Lee Hsien Loong! I misssss SG so much hahaha. Yeah travel travel... So hoping that the Covid vaccination works for the whole 🌎,2021-03-04,22
13,Hope the big Ox bulldoze all the travel barriers that the tiny rat have erected last year and we can resume travel and our SQ can soar again !,2021-02-27,28
15,Hopefully next year celebration will be better ,2021-02-26,7
16,Blessed YUAN XIAO to Mr PM Lee and Family 😀 💖🎉🎊🌈,2021-02-26,9
20,Happy Chap Goh Mei to you and your family Mr Lee ,2021-02-26,11
21,"Happy Chap Goh Mei to PM Lee and family. Yes, can't wait to usher in year of tiger with a roar next year 🐯🎉",2021-02-26,22
22,Here's wishing You a blessed Chap Goh Meh.,2021-02-26,7
23,Happy Chap Goh Meh to PM Lee and family and all the people of Singapore. ㊗️国人，总理和家人欢乐庆元宵。,2021-02-26,15
24,"I wish PM Lee a very happy, healthy and smooth year 2021 and happy YuanXiao Jie. Next year we will usher into a New Year with a Roar🌈",2021-02-26,27
25,"PM Lee, wish you and family Happy ChaP GoH Mei 🧧🧧🍊🍊🧨🧨",2021-02-26,10
26,Chap Goh Mei! To PM Lee  and family always stay healthy and happy. God Bless you.,2021-02-26,16
27,"Wishing a safe n healthy Chap Goh Mei Sir, l'm glad 2 hear the word healthy rather than Prosperous.",2021-02-26,17
28,Happy Chap Goh Mei  to our PM and Singapore . ,2021-02-26,9
31,"🙏In the morning, today many Thai people wake up early to give alms to monks. In the evening, temples are full of people listening to sermons. They often perform a ritual known as the candle ceremony where they walk clockwise three times around the temple. holding flowers, incense, and a lighted candle. Each of the three circuits represents one of the three jewels (ideas at the heart of Buddhism) - Buddha, Dhamma, and Sangha.??",2021-02-27,73
32,"Happy, Healthy n Wealthy,  Chap Goh Mei.",2021-02-26,7
33,"Happy Chop Goh Meh Sir,,,",2021-02-26,5
35,"👏👏👏 Actually today Myanmar Buddhist celebrate full moon day, showing unity cook for one type of glutinuous rice. Wish you ""healthy, happy & Longevity""",2021-02-26,22
36,"Wishing you and your family a healthy and peaceful Year of the Ox, PM Lee. 🙏🏻",2021-02-27,15
37,Thank you PM Lee for all you continue to do to keep citizens and residents safe...  ,2021-02-27,16
38,"Thanks for your Speech PM Lee. Blessed fifteenth day of Chinese New Year to you and your family, stay safe stay home and stay healthy",2021-02-26,25
39,Happy Cap Goh Mei PM Mr. Lee. Wishing you & your family Abundance of health and happiness! Hope next year the CNY celebration can back to normal. Proud of you.,2021-02-28,29
40,Inshallah next year I will try  see that snake walk on Chinese Year. ,2021-02-26,13
41,"Sir, you are right. Usher with a roar in the Year of Tiger 😃 Happy Chap Goh Mei 😊",2021-02-26,17
42,"Happy Chinese New Year, PM Lee.",2021-02-26,6
43,"Blessed Yuan Xiao Dear PM Lee, thank you!",2021-02-26,8
44,Happy Yuan Xiao jie to all,2021-02-26,6
45,"Happy Chap Goh Mei, Mr Lee.",2021-02-26,6
46,Happy  chap Goh Mei PM Lee & family. ,2021-02-26,7
47,See doctor sir ..not feeling well,2021-02-26,6
50,I miss China Town in Singapore...,2021-02-26,6
51,The very same to you Sir,2021-02-26,6
53,"Thanks to our dear PM, we celebrated our CNYr smooth & safe.",2021-02-28,11
55,"Happy Chap Goh Mei to you & family,  Sir !",2021-02-26,8
56,Wishing Mr PM and Sir's dear family a safe and healthy Chap Goh Mei. ^^,2021-02-26,13
65,THANK YOU PM LEE SIR!  Happy Yuan Xiao Jie!  Fu Man! Jian Kang to you Sir!  😊,2021-02-26,16
70,Wishing all a roaring Ox year.,2021-02-27,6
71,Happy chap goh mei daddy lee hsien loong,2021-02-26,8
75,Happy chinese new year fams... I love the Chinese,2021-02-27,9
77,Let's work together and wipe out coronavirus in 2021.,2021-02-26,7
78,"THE BIG EAR MUST RULE FOREVER . GOOD LUCK TO YOU , PRIME MINISTER LEE HSIEN LOONG .",2021-02-26,15
79,Blessed YUAN XIAO to Mr.PM Lee and Family,2021-02-27,7
80,Happy Chap Goh Meh to PM Lee and family and all the people of Singapore,2021-02-26,15
81,Happy Chap Goh Mei PM..god bless,2021-02-26,7
84,Happy Chap Goh Mei everyone 🎊🎊🎊,2021-02-28,5
95,Happy Chap Go Mea ! Dear PM Lee And family.🎉🧧🧧,2021-02-27,9
96,Happy Chap Goh  Mei PM!Wishing u n your family good health & happiness 💗💕,2021-02-27,13
97,Happy and healthy days always ,2021-02-27,5
98,"dearr,,LHL💘🇸🇬🌹 #Wish,happySG🇸🇬   Chop Goh Mei🇸🇬 🇸🇬Great@PM😍🇸🇬",2021-02-27,6
99,"Prime minister Lee, I pray that the Lord renew your strength like the Eagles 🦅 I wish above all things that thou mayest prosper and be in health, even as thy soul prospereth, in Jesus name, Amen ✝️🌈🙅‍♀️",2021-02-27,36
101,Happy Chap Goh Mei Sir! ,2021-02-27,5
102,"Good evening Sir and everyone  Wishing you , family and everyone ‘ Blessed Chap Goh Mei ‘ ",2021-02-26,14
107,Wishing everyone’s happy Chap Goh Mei,2021-02-26,7
116,Happy chap Goh mei to you our dear prime minister Lee Hsien Loong god bless you we love u too,2021-02-26,20
119,😭😭Help Myanmar please We Dangerous,2021-02-26,5
