Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
"They are doing such an important job for this city state, we cannot do without.",8/3/21,15,Foreign Worker,15,1,-9.880575579,4,0,1,12.54897875,2,0,0
"Hope the authority can consider allowing funeral directors to be vaccinated earlier base on the grounds   1) they are essential workers even during lock down  2) they handle COVID death cases. During the funeral arrangements for such cases, family members of the deceased could be still under SHN or recovered status  3) they mingle with groups of 30 attendees and family members of the deceased daily   4) when they collect bodies from houses maybe die of other causes. Usually this kind of death will not trigger a need to go through swab, so if the deceased is infected with COVID then it will be a risk to funeral directors.  5) serving family members of those on SHN when they comes back from overseas to attend their loved ones funeral  ",8/3/21,123,Foreign Worker,129,4,-11.20093509,22,7,0,1.202304228,0,0,1
They consider high risks. Last year covid breakout within dorms and spread like wildfire ,8/3/21,14,Foreign Worker,14,1,-12.84476026,1,1,0,5.704449661,1,0,0
Will they be given mc if any 'mild' side effects shown up? That could be a serious consideration to the bosses.,9/3/21,21,Foreign Worker,21,1,-11.36339554,4,1,0,9.23374887,1,0,1
Do it at least one month later after the jab .... cos understand the jab dun take effect immediately. Need time allowance. STAY SAFE!!ðŸ˜‡,8/3/21,23,Foreign Worker,24,1,-12.69630664,3,0,0,3.677908757,0,0,0
So when is the turn of all local supporting companies (vendors) of Hospitals and clinics... and their staffs to be vaccinated? ,9/3/21,21,Foreign Worker,21,1,-10.46385933,4,2,0,5.950380586,1,0,0
"actually very strange, we should have more accurate information as far i know those dormitory workers or high risk workers they have been testing weekly instead of 14 days once, or maybe is the company itself requested for weekly testing, not sure..",9/3/21,41,Foreign Worker,42,2,-11.16587475,8,2,2,4.353504239,0,1,1
Seriously looking at the comments .... lots of conspiracy theories .... itâ€™s a joke how wild people can go !,8/3/21,17,Foreign Worker,18,1,-11.86778277,4,0,0,5.950380586,1,0,0
One day should able to inject 2000 person' such vaccine,8/3/21,9,Foreign Worker,10,0,-12.45290462,1,0,0,12.06173931,2,1,0
I have completed my 2 vaccination since early last month and yet I still need to go weekly swab test...,8/3/21,19,Foreign Worker,20,1,-11.11248735,4,3,2,9.23374887,1,0,0
We must be the one and only country that test so many workers instead of it citizen.,8/3/21,17,Foreign Worker,17,1,-9.20778384,2,2,0,11.84687111,2,0,0
why we vaccine dormitory residents...do we go according to their work permit? if going to expire and plan to go back then we dont give vaccine becos bangala workers said their countries many ppl got vaccine already why Sg so slow still dont hv...,8/3/21,45,Foreign Worker,45,2,-12.48396057,12,3,2,3.131225514,0,0,1
WHOA THEY got the best of everthing and we suffer and get the worse most likely China vacine whereas the get branded vacine hahaahaa.nice voting Singaporean if you get the chinese vacine dont complain .hahaaahaa,8/3/21,34,Foreign Worker,36,2,-14.05052362,7,3,2,4.74633546,0,0,0
"After completion of the course of COVID-19 vaccination, should one  test for the antibody?",8/3/21,14,Foreign Worker,14,1,-11.26518817,0,0,0,7.253660895,1,1,0
"Without the Foreign Workers, who are doing the Public Cleaning, Constructions, Garbage Collections, Domestic Help, etc etc etc besides some elderly Singaporeans?",8/3/21,22,Foreign Worker,22,1,-14.76396747,3,1,0,3.240793479,0,0,0
They are the fortunate ones.,8/3/21,5,Foreign Worker,5,0,-9.639453393,1,0,0,36.03068706,4,0,0
Stay Safe everyone! We thank them all for their contributions in helping to build our fine city too.,8/3/21,18,Foreign Worker,18,1,-10.78960749,3,0,1,7.253660895,1,0,0
Country's vision:  Vaccine Country should be 100% covid free by end of the year.  Reality: community case and import case continues...,8/3/21,19,Foreign Worker,21,1,-12.15144011,2,1,0,3.962428471,0,1,0
"don't seem like extra protection layer, more like swap test delay only...",8/3/21,11,Foreign Worker,12,1,-12.20318987,2,0,0,7.253660895,1,0,0
In the world one of the amazing government in sg. Go ahead.,9/3/21,12,Foreign Worker,12,1,-9.724365601,0,0,0,8.882708681,1,0,0
Which vaccine will be give to the migrant workers.?.No information.?,8/3/21,11,Foreign Worker,11,1,-9.929734896,1,0,0,11.84687111,2,0,0
why give precious covid vaccine to migrant worker over citizen.  must be one of the very few in world do this ðŸ˜ž,8/3/21,21,Foreign Worker,23,1,-11.75164713,4,0,0,7.253660895,1,1,0
Who is paying for it??,8/3/21,5,Foreign Worker,5,0,-9.028725678,2,0,0,141.3233802,4,0,0
"Another reason, Sinovac is not safe for use  https://hongkongfp.com/2021/03/08/covid-19-two-in-critical-condition-and-another-death-within-days-of-sinovac-jab-health-dept-to-investigate-if-vaccine-link/",9/3/21,8,Foreign Worker,8,0,-14.35118841,1,0,0,9.23374887,1,0,0
Where is my covid jab? Garmen please get your priorities right leh... ,8/3/21,12,Foreign Worker,12,1,-14.01601377,4,0,2,12.54897875,2,0,0
"vaccine passport.  WHO implement this policy on those world citizens who will be in public area for whatever activities (daily routine life) unless the citizens plan to remain stay in house forever and continue his/her daily routine (buy food/groceries online, work form home, in short whatever does in door until death) in the house (or it's compound area)for life.   However definitely those who hv vaccinated can freely stay or do whatever with the person who hv not vaccinated only in the house not in public area.   In short, those vaccinated, can leave house for shopping (buy groceries,etc) eats in restaurants, walk freely in public area, carry out daily prays in worship house, carry out whatever their religion events, prays aboard and in the country, travel across, cross state boards, attend weddings,  in other words do whatever in public area as usual. Hope understand the term "" public area"" (as you leave your house it's public area.    In any emergency (illness, sick) the unvaccinated person will be given in house treatment. Generally it will be complex part of life for those reject to accept vaccinated.   You may say this is indirect force attempt from your govt. This depends on your govt, to voice out  towards WHO as it is against human rights.   Either the citizens can do so.   It's not going to be easy, as until now the international human rights didn't say a word about this.   Here the politician plays very important role, either to defend their citizens either ignore it.   Vaccine is great effort, it's results for long term.govts fail to control birth esp among the citizens who comes under poverty line, as govts can't anymore allocate billions for education,health,homes,welfare funds,etc for the poor, as year by year this group of people (population) increase tremdously.   As this group of citizens hv big families, govt fail to educate, implement strict laws on family planning policy,etc.   The smaller the population easier to control ( political interest).   This is easiest part where the vaccine plays it's role.   As everything is well plan, who and whom should be given which dose. the other part is there will be new norma life, work from home, entrepreneurs/employer save on office rental, less cars on roads, whatever daily routine can be casey out through online   (internet and communication device, etc) huge change in many economic sectors, it's all about save cost, the employer gains.   There is con and pro.   Whatever coming back to vaccine passport is against human rights, let's see what's happen nxt.   There is some extremist ideologies remark on this,   "" if politicians (govt) plan to implement this vaccine passport and if fail to solved through out the human rights efforts, then the last option left for extremist to carry out assassination to vanish all those politicians and whoever part of this vaccine passport policy, it is better to vanish the politicians then vanishing the poor citizens """,11/3/21,479,Foreign Worker,491,4,-11.29594518,91,10,4,-0.091541747,0,1,1
easy statistics from migrant workers,9/3/21,5,Foreign Worker,5,0,-11.3308591,0,0,0,17.98042144,2,0,0
"Where China is able to build a whole bloody building in just 3 days, Singapore gov still tell citizens that they need to wait for 3 - 4 years for BTOs, despite that, the huge influx of foreign workers didn't bring down the sale price but stressing our already overloaded infrastructure n amenities. How back dated n uninnovative Singapore has become n Singaporean are yet love to casually mock at others? I doubt some Singaporean really know what shameless mean? Lol",9/3/21,76,Foreign Worker,81,3,-12.1542991,18,3,1,1.468417102,0,0,1
Itâ€™s heartening to have the migrant workers vaccinated.,9/3/21,8,Foreign Worker,9,0,-12.64371097,4,0,0,34.11000327,3,0,0
After vaccination they will immediately go back,8/3/21,7,Foreign Worker,7,0,-10.7730988,1,0,0,36.03068706,4,0,0
Without foreigners there is no Singapore. Letâ€™s face reality. ,8/3/21,9,Foreign Worker,10,0,-12.32172758,2,0,0,9.23374887,1,0,0
"implement messy measures,some need 14 days,some 21 days,some no need,some less..some at residential,some at governement facilities..making things so complicated....terrible...just standardize all to 21 days regardless...",3/2/21,31,Foreign Worker,34,2,-12.04578352,6,0,0,4.156615916,0,0,1
All to suit their agenda,3/2/21,5,Foreign Worker,5,0,-9.800468606,1,0,0,36.03068706,4,0,0
Thanks for keeping us safe!,3/2/21,5,Foreign Worker,5,0,-10.86337716,1,0,1,36.03068706,4,0,0
"Now MOM realised that those ""tests"" prior to departure to Singapore have lots of fake.   Why not penalise the agencies that submit fraudulent pre-departure Covid-19 test results?",3/2/21,26,Foreign Worker,27,2,-12.86424511,6,0,0,4.206580416,0,0,0
Why not all foreigners who want to be in Singapore tested using same methods? Employers will bear these cost? ðŸ˜¡ðŸ¤¬ðŸ˜¡ðŸ¤¬ðŸ˜¡ðŸ¤¬,3/2/21,19,Foreign Worker,25,1,-13.75842409,5,0,0,7.253660895,1,0,0
