,Unnamed: 0,Comments,Datetime,num_words
0,0,”To comply with the law (eg. court order）”is my reason can leave home n meet my kid. ,2020-04-16,18
1,1,"While it's not mandatory, it's might be best to wear masks whenever we go out. We might encounter others in lifts and a stray cough/sneeze could spread the virus in an enclosed environment.",2020-04-13,32
2,2,"I have previously posted a query on the Ministry of Health website: Is a private wake allowed on a common  open area  of a privately owned development. This wake is ongoing now the fourth day, obviously they have an official permit to jold a social gathering as an exemption to your circuit breaker guidelines. We ask the site administrator to please respond; the MOH site has not responded to date. Please enlignten us on this issue.",2020-04-15,76
3,3,"Wat if my friend drive me home after working at night as he stay nearby.taking other transport eg.cab,grab.also seems the same scenario..just sharing point of view.",2020-04-13,25
4,4,"Hi, please can I confirm that there is no restriction on the number of household members who go out to exercise at one time? Thank you",2020-04-13,26
5,5,"If we go downstairs to buy meal for less than 10 minutes, do we still need to wear mask?",2020-04-13,18
6,6,"Happens that my neighbor are going to the market and as myself too was going and driving there,  can we go in the same car the 2 of us",2020-04-13,28
7,7,Good advice. Hope every S’porean listen n obey.!! Very important.,2020-04-13,11
8,8,Can one do their exercises at the HDB void deck and jog around the HDB estate??  Or all these activities can be practise when at a Park or jogging at a Park or PCN only??,2020-04-13,35
9,9,Will be good if u can do one of these videos in other languages eg chinese n dialects for the elderly...just like the other tv channels....,2020-04-13,27
10,10,"When I don’t see the answer a “No”, I take it as no offences committed.",2020-04-13,16
11,12,Why TCM is non essential?,2020-04-15,5
12,13,Do we have this in Chinese? Thanks.,2020-04-15,7
13,14,What is the hotline number to call? ,2020-04-14,7
14,15,Donald KatigbakFredrik Jose DonaldCarla KatigbakGibo MonferoNek MilanesMaria Cristina Nogrado EsguerraJennifer Dimayuga,2020-04-14,11
15,17,Can essential workers have their lunch at hawker center ?,2020-04-16,9
16,21,"Please allow eating at food courts and restaurants, and save on tons of plastic packing wastes that harm our ecological system.  Social distancing can still be maintained.",2020-05-05,27
