Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
Students are VERY EASY CARRIERS as they will most likely be asyptomatics when infected. They are constantly exposed in close proximity with others like themselves...this can easily subject their maids and family . Hope they get their tokens ASAP.,7/3/21,39,Tracetogether,39,2,-12.18702262,10,2,0,4.960244963,0,0,1
Actually all student ez-link card hv their name n record detail.. why not just tap in and tap out... simple....,7/3/21,19,Tracetogether,20,1,-12.81328346,2,1,0,10.50364908,2,0,0
MOE and the public at large should brace themselves to deal with a never-ending stream of token-losing (by students) and token-finding (by the public who pick up tokens dropped by students).,8/3/21,28,Tracetogether,31,2,-11.57771764,4,1,0,10.69078682,2,1,0
"Hmm... shouldn't MOE have scheduled Distribution of Trace Together Tokens to commence in January when school re-opened? MOE had the entire month of December 2020 to plan for the distribution of Trace Together Token - including securing adequate stocks, etc. 👌😷  ""The school distribution would be carried out in phases.""",8/3/21,45,Tracetogether,49,2,-12.92128842,10,1,0,3.458212649,0,0,0
DON'T BE COMPLACENT. The new variants have mutated just to get the whole lot of youths. Even kids have high virus loads when infected.,7/3/21,23,Tracetogether,24,1,-11.92073446,5,1,0,8.790257254,1,0,0
"The community cases. Has the agencies used this to notify the contacts who were in prolong contact with them?   And if it wasn't prolong contact, was there advisory to monitor one's health?",8/3/21,30,Tracetogether,32,2,-10.57509298,7,1,0,9.084533384,1,0,1
The token battery lasts less than 2 months. What a waste of time and resources ,7/3/21,14,Tracetogether,15,1,-10.59027462,1,1,0,12.94484066,2,0,0
"now at least considered a proper rollout...few mths back wanted to make it compulsory in school by dec 2020.aking all ruah like crazy to go queue...sometimes all these 4g also tcss the best,practical measures all in a mess",7/3/21,39,Tracetogether,42,2,-12.666551,6,1,0,5.807180241,1,0,0
Don’t be lazy just go nearly CC to collect it don’t wait for the school give it to you 😂😅,7/3/21,21,Tracetogether,19,1,-10.43166881,4,0,0,11.70965905,2,0,0
Very not productive  and slow reaction,8/3/21,6,Tracetogether,6,0,-11.35836978,0,1,0,66.4941953,4,0,0
"Just make it mandatory now for malls, then see how fast they collect it 😉",7/3/21,14,Tracetogether,14,1,-10.94073641,3,1,0,64.97506879,4,0,0
Just mail into student residence address mail box...save all trouble,7/3/21,11,Tracetogether,11,1,-12.81110591,1,0,0,14.71185688,2,0,0
Lots Of place still can’t use token le,7/3/21,9,Tracetogether,8,0,-13.11743413,2,1,0,10.26587658,2,0,0
"Oh, I thought to trace together token are forbidded to enter classroom",8/3/21,12,Tracetogether,12,1,-12.42082528,6,0,1,66.4941953,4,0,0
TT to track our children ... So our children could be a criminal 😂🤣 Gosh 🤭🤣😂,8/3/21,13,Tracetogether,13,1,-10.74824808,2,0,2,18.94237036,2,0,0
Jinny Fernandez well CC open every day from 10Am to 6pm if there are free there can go collect 👋,7/3/21,17,Tracetogether,19,1,-12.9007703,3,1,0,16.65822254,2,0,0
What’s the point of extending MCO when there is not enough street policing with grounded policies to get people to take care of their hygiene and wear masks properly.,2/2/21,30,Tracetogether,29,2,-11.10791926,5,2,0,7.528648052,1,0,1
SOP? Meet for what? Flipping Roti Prata under this leadership......MCO and State of Emergency? Do they mean anything: night markets allowed to open and classified as Essential Services?  ,2/2/21,29,Tracetogether,29,2,-12.29893716,4,2,0,4.190510247,0,0,0
news reported last week about the 70-80 MPs meeting however lunar new year dinner allowed 20 peoples only.What’s the hell of sop ,2/2/21,20,Tracetogether,23,1,-12.24383534,4,1,0,6.564974895,1,0,0
Extend till end of the year best and do tell all the CM or MB to do more and talk less.,2/2/21,21,Tracetogether,21,1,-10.73096625,4,2,0,12.94484066,2,0,0
"MCO is not that bad during CNY to those who are financially strapped tight since no visiting allowed save your red packets,tidbits,snacks",2/2/21,24,Tracetogether,24,1,-12.92483481,6,0,1,10.50364908,2,0,0
The problem is..... anyone following on it????,2/2/21,7,Tracetogether,7,0,-8.84072635,2,0,0,34.16725997,3,0,0
All Emergency General Orders should be maintained until the death rate (0.008%) drops. (Keep public health economics stable.)  Everywhere.,2/2/21,18,Tracetogether,20,1,-12.759985,2,0,0,6.564974895,1,1,0
Like Myanmar.. security council lol,2/2/21,5,Tracetogether,5,0,-13.58377462,0,0,0,16.65822254,2,0,0
Just want to Save Malaysia  PM  job,2/2/21,7,Tracetogether,7,0,-11.65096626,2,0,0,22.87083564,3,0,0
