Unnamed: 0,Unnamed: 0.1,Comments,Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
0,1,Sharlyn Emmanuelle Wong you go!,11/3/21,5,Economic Measures,5,0,-14.637498494318331,1,0,1,156.96129294150037,4,0,0.0
1,3,Singapore have no Tourism to come visiting and sale of airline tickets are less cannot sustain all costs  So to cut executive pay or retrenchment,10/3/21,25,Economic Measures,25,1,-11.57984236451528,4,2,0,44.72355854199451,4,0,0.0
2,4,"During good days, high payouts and bonus are paid by large sale volume of air tickets. Gone are these days.",10/3/21,20,Economic Measures,20,1,-11.440497434089913,3,1,0,48.68192368537848,4,0,0.0
3,5,I doubt SIA can do any better with a top-heavy pay structure,10/3/21,11,Economic Measures,12,1,-11.874998748013386,2,0,0,156.17056693952694,4,0,0.0
4,6,Convert to cargo planes or sell to China,10/3/21,8,Economic Measures,8,0,-11.712000975696542,2,1,0,156.9612929415004,4,0,0.0
5,7,Time to sell your roast duck Kwan Ho Yu DLLM,10/3/21,10,Economic Measures,10,0,-15.355508910491988,1,0,1,72.83716078628966,4,0,0.0
6,8,Ask HK gov for help...support  $1billlion ..for cathay pacific,10/3/21,9,Economic Measures,10,0,-15.265333435818206,0,0,0,72.73052275851123,4,0,0.0
7,9,its not just cathay that is focused on preserving their cash ...everybody is focused on that 👀,10/3/21,16,Economic Measures,16,1,-10.453423935096039,6,0,0,235.0608454368,4,0,0.0
8,10,The impact of petrol hikes can be felt almost immediately. ,9/3/21,10,Economic Measures,10,0,-11.313273548065114,2,0,0,156.1705669395269,4,0,0.0
9,11,"What's there to thumbs up? These 11 themes are just a rehash of past plans. What is the key learning from this pandemic? Will these 11 themes be effective and sustainable to address the crisis which we have gone through the past year? And why are you not interlocking these 11 themes so that one shapes or drive the other? Eg focus on med labs/test kits; green solutioning, have these been thought through on the education system? On green solutioning; why can't we develop and produce our own EV and tie to development of our young from a R&D perspective? Similarly on the medical front; there are so many other critical areas that are lacking during the pandemic. Have we looked at those? Strengthen global hub??? Have you not learned enough that this strategy is not sustainable? Why are you not creatively looking at how we can be self reliant?  A true Singaporean who cares",9/3/21,152,Economic Measures,157,4,-10.963512140479379,34,3,8,12.017022679100682,2,0,1.0
10,12,"Target only cheap meds ,why the more effective and expensive ones left out of the subsidies.?And the limit on Medisave use are inadequate for chronic cases,up the limit for 55yo above can?",9/3/21,33,Economic Measures,34,2,-11.235953209355175,2,1,0,48.70444952471783,4,0,0.0
11,13,Can afford to buy a car what is a few cents extra for petrol??,9/3/21,14,Economic Measures,14,1,-10.882353905494135,4,0,0,156.9612929415004,4,0,0.0
12,14,"Pritam Singh ,Jamus Lim . The next parliament . Pls remember to propose to buy back Christmas Island which was sold to Australia in 1958 for just 2.9 millions pounds. Besides for Food plantation. It can also save us the huge  rental we paid  others countries yearly for our SAF overseas training. Majulah Temasek https://m.youtube.com/watch?v=rZlXUiPFHbs&t=4s",9/3/21,50,Economic Measures,53,3,-12.972235090996291,8,2,3,16.419827447287357,2,0,0.0
13,15,"Truth is Singaporean like many thing to be cheap or free, subsidise by the government... Government needs plenty of resources to help the poor... Singapore should follow the world happiest country, Finland. In Finland, the income tax average is 53 percent and gst is 24 percent. Then the government got resources to help the poor... No poor. Note that Finland unemployment rate is 8.4 percent",9/3/21,62,Economic Measures,66,3,-11.136060236020697,10,2,0,14.889112205790894,2,1,1.0
14,17,"Since PA P failed  to create enough jobs while letting companies be so selective like India Workforce, then Unemployment Insurance is the only way to go. ",8/3/21,26,Economic Measures,26,2,-11.762313117037005,6,2,0,45.39163058511214,4,0,0.0
15,18,"Empsave,empshield ? Similar to medisave medishield ? Just keep deducting from coffee put into a pool and everyone help everyone ? U sure u want?",8/3/21,23,Economic Measures,23,1,-12.778544184152205,6,1,0,39.99565149092263,4,0,0.0
16,19,Sad that we have reached such a stage of having an inflexible minimum wage of a million dollars a year talking about a good insurance plan to help the jobless.,9/3/21,30,Economic Measures,30,2,-10.247297112979956,5,0,1,51.82061347200437,4,0,0.0
17,20,It can be implemented while having safeguards like requiring the unemployed to actively seek for a job,8/3/21,17,Economic Measures,17,1,-10.769218510866649,5,1,0,235.18207259751406,4,0,0.0
18,21,The only effective insurance is a change in government. Period. ,8/3/21,10,Economic Measures,10,0,-9.338935703442585,1,0,0,113.84207887623775,4,0,0.0
19,22,Only those who are healthy and have money can buy insurance. What about the rest of the people?!! ,9/3/21,18,Economic Measures,18,1,-9.070982945169792,3,1,0,114.66474900087476,4,0,0.0
20,23,We have retirement insurance called CPF. Look how things changed now.  Later into Retrenchment Account aka RA account in CPF🤭😅,8/3/21,20,Economic Measures,20,1,-13.390530984115642,4,0,0,56.37558000514295,4,0,0.0
21,24,Hope its implemented so i can aim to be jobless while collecting money,8/3/21,13,Economic Measures,13,1,-11.861774122000394,4,1,1,236.57610590533477,4,0,0.0
22,25,Let people have a choice NOT FORCE EVERYBODY,8/3/21,8,Economic Measures,8,0,-12.9327643588347,2,0,0,89.52337417143978,4,0,0.0
23,26,"Truth is Singaporean like many thing to be cheap or free, subsidise by the government...government provides social net.... Then Government needs plenty of resources to help the poor... Singapore should follow the world happiest country, Finland. In Finland, the income tax average is 53 percent and gst is 24 percent. Then the government got resources to help the poor... No poor. Note that Finland unemployment rate is 8.4 percent",8/3/21,67,Economic Measures,71,3,-11.255074800833981,11,3,0,13.777185024268364,2,1,1.0
