,fullname,postid,timestamp,username,image_desc,text,location,likes,comments
0,PSLE Eng Math Science,2379211162100675897,2020-08-19 13:34:54,teacher_trelyn,Photo by PSLE Eng Math Science in Singapore. May be an image of text that says 'NETFLIX MOVIES ON-DEMAND Spotify MUSIC ON-DEMAND TEACHER TRELYN CUSTOMISED TUITION TUITION ON-DEMAND'.,"Launch of teachertrelyn.com 

PSLE Science lessons by tutor with over 20 years of teaching experience is now available on videos.

In line with the precautionary measure of social distancing, Videos can be watched at home.

Worksheets with answers to reinforce understanding of concepts from the videos are also available.

ALL PRICED AT $2! 

With PSLE in 5 weeks, I hope these materials can help you and your child prepare for the exams better. All the best and stay healthy!

More information at teachertrelyn.com",Singapore,40,4
1,PSLE Eng Math Science,2377747978135163455,2020-08-17 13:07:48,teacher_trelyn,Photo by PSLE Eng Math Science in Singapore. May be an image of text that says 'TEACHER TRELYN CUSTOMISED TUITION Topics Heat Life Cycle .Energy Reproduction Forces Matter Cells Water Electricity Plant System .Body System .Magnets Respiration Materials Circulatory System Adaptation •Diversity •Living Together Light Man's Impact Welcome PSLE Warriors! 2020 PSLE SCIENCE TOPICS ALL TOPICS AVAILABLE ON TEACHERTRELYN.COM'.,"Launch of teachertrelyn.com 

PSLE Science lessons by tutor with over 20 years of teaching experience is now available on videos.

In line with the precautionary measure of social distancing, Videos can be watched at home.

Worksheets with answers to reinforce understanding of concepts from the videos are also available.

ALL PRICED AT $2! 

With PSLE in less than 3 months, I hope these materials can help you and your child prepare for the exams better. All the best and stay healthy!

More information at teachertrelyn.com",Singapore,47,2
2,Singapore Scenery 2020,2382696809832428782,2020-08-24 09:00:15,sgscenery2020,"Photo by Singapore Scenery 2020 on August 24, 2020. May be an image of text that says 'Nunui pachuau InShOt'.","#sgscenery2020 is a photographic project that responds to the Covid-19 experience in Singapore. We are collecting images that represent the views from Singapore homes during this pandemic. 

If you would like to participate, email your name, image & IG handle to sgscenery2020@gmail.com!

#sgscenery2020 #singapore #sg #igsg #sgig #instasg #singaporeinsta #singaporelife #singaporecity #thisissingapore #whatissingapore #singaporescenery #singaporeviews #singaporeinsiders #singaporediaries #singaporetoday #sgscenery #sgviews #sglandscape #sglocallife #sgneighbourhood #singaporetimes #circuitbreaker #circuitbreakersg #stayathomesg #covid19diaries #singaporetogether #togetherstrongersg #travelfromhome #shapesofhome",,10,0
3,Sandy,2386528389625764043,2020-08-29 15:52:55,sandycastillo00,"Photo by Sandy on August 29, 2020. May be an image of 1 person.","k i t k a t

#cocktailcritters 
#jordan1rebelxx
#circuitbreakersg 
#masked",,50,1
4,❀ 愛 ❀,2388087641659108324,2020-08-31 19:30:52,tweetification,Photo by ❀ 愛 ❀ in Jewel Bridge @ Sunset Strip.,": More backyard adventures in Sept! 😬
꧂ 𝕊𝕖𝕡𝕥𝕖𝕞𝕓𝕖𝕣
#jewelbridge #jewelbridgeatsunsetstrip #northeasternriverineloop #exploringsingapore #naturewalk #mysingapore #gardencity #majulahsingapura #sgig #singaporetogether #sgunited #covid19days #circuitbreakerphase2 #circuitbreakersg #insta360onex #insta3601xsg #insta360singapore #insta360sg #tinyplanet #360photography #ai20loveones #ai20cuzzie #ai20lifestyle #ai20in2020  #photooftheday #picoftheday #snapshot #moment #ihavethisthingwithcolor #notadroneshot",Jewel Bridge @ Sunset Strip,13,0
5,❀ 愛 ❀,2388083932594098397,2020-08-31 19:23:30,tweetification,"Photo by ❀ 愛 ❀ on August 31, 2020. May be an image of text that says 'Jambon Goût Ham Flavour Oignon Fondant Onion Cebolla @tweeti @tweetification ication'.",": Late night munchies... nom...
꧂ 𝕊𝕖𝕡𝕥𝕖𝕞𝕓𝕖𝕣
@laughing_cow_instagram #laughingcowcheese #snackingtime #fatdieme #stayhome #sgunited #covid19days #circuitbreakerphase2 #circuitbreakersg  #sgeats #sgfood #sgfoodlover #stfoodtrending #foodiesg #sgfoodtrend #singaporeeats #sgfoodies #sgigfoodies #instafood #singapore_insta #foodies #instafood #foodstagram #igfood #foodporn #foodoftheday #ai20foodporn #ai20in2020  #ihavethisthingwithcolor #photooftheday #picoftheday",,11,1
6,amaterasu11,2387979246282193887,2020-08-31 15:55:31,amaterasu11,"Photo by amaterasu11 on August 31, 2020.","Back in Action ~

Appreciate the migrant workers for their hard work. This county would not be the same without them. 

Wishing you all healthy and happy! 

Stay safe!

#SgUnited🇸🇬",Singapore,28,1
7,LIVFIT WITH LAILA ✨,2387930437508704104,2020-08-31 14:19:07,laila_izyan,,"HEALTHY SNACK IDEAS! 
Suka snacking? Jom tukar yang lebih healthy ni. Simple je pejam mata pon boleh buat 😬
📸 Andianne
.
Supper?! 🧚🏼‍♀️
#lailadietclass101 #teamlailaizyan","Arab Street & Haji Lane,Singapore",5,1
8,LIVFIT WITH LAILA ✨,2387927421150027373,2020-08-31 14:12:33,laila_izyan,Photo by LIVFIT WITH LAILA ✨ in Tampines 1. May be an image of 1 person.,"Confuse saya..ni agaknye tido ke replying messages? Awak ade message ke tadi? Jap ye saya reply 😅😂
.
Nak slim perlu practice sabr! 😇
#lailadietclass101 #teamlailaizyan",Tampines 1,10,1
9,LIVFIT WITH LAILA ✨,2387924837601344809,2020-08-31 14:07:34,laila_izyan,,"🧚🏼‍♀️SEPTEMBER SPECIAL EDITION 🧚🏼‍♀️
Puasa dah sebulan.. berat masih tak turun.. Tak sempat burn weight Raya Puasa.. Raya Haji pulak gain lagi 3kg pulak..😱
. 
No worries! 😉 .
Boleh je join September Intake.. 3rd September ni start! Jom burn semula calories lemang ketupat rendang combo raya tempoh hari.. 5-6 kali makan dengan complete meal plan from pagi sampai malam dah ready. Your job easy jerr.. follow2 me jerr..
.
Easyyyy kan.. potential kurus 3- 5kg in 2 weeks.. kalau sebulan commit potential turun 10kg.. best ke best? hehehe
.
LIMITED SEPTEMBER SLOTS!🔥
💋 Coach Laila +6594740557
💋 Program link in bio
.
🧚🏼‍♀️The advantage plan 👇🏼
.
💋 Latest meal plan + recipes
💋 Workout combo
💋 Dieting topics
💋 1-On-1 Coaching with Coach Laila
💋 Support group
.
📍Share & Tag your diet partners
#lailadietclass101 #teamlailaizyan",Marina Bay Singapore,2,1
