,fullname,postid,timestamp,username,image_desc,text,location,likes,comments
0,Mummy’s Secret Recipe 妈妈的味道,2299539070204190625,2020-05-01 15:20:40,sheeats_shecooks,"Photo by Mummy’s Secret Recipe 妈妈的味道 on May 01, 2020. May be an image of text that says 'FLUFFY Ban Cang Kueh Kueh'.","MCO/ CB can’t go out? Don’t worry, let’s make this at home! Simple and easy recipe! Fluffy Ban Cang Kueh like Japanese Pancake! He said like Dorayaki, very soft and tasty 😍 Step by step recipe in each photo. Hope it helps! Enjoy! 💯👻 .
. .
.
.
.
.
.
. .

#jennlicancook #asiancooking #asianfood #inmykitchen #circuitbreakersg #美味 #delicious #foodblogger #美食 #sgfood #igfoodie #sgeats #sgfoodblogger #igersmy #singaporefood #sgigfoodies #sghomecooking #foodie #homecooked #好吃 #yummy #homecooking #foodielifestyle #homemade #foodgasm #cookingathome #家常菜 #likeforfollow #foodlover #followforfollowback",,99,0
1,Adwcays,2390419809421238357,2020-09-04 00:44:56,adwcays,,"Library visit during COVID-19 pandemic 📚

#covid_19 #covid19sg #circuitbreakersg #sgphase2 #nlbsg #sglibrary #stayhome #staysafe #stayhealthy #staypositive #stayhomestaysafe",,5,0
2,Adwcays,2339790660386642680,2020-06-26 04:13:53,adwcays,,"A walk at the beach 🏝 To see the full video, please visit our YouTube channel. See link in Bio.

#circuitbreakersg #sgphase2 #eastcoastpark #sgeastcoast #stayhome #staysafe #stayhealthy #staypositive #stayhomestaysafe #covid_19 #covid19sg",East Coast Park,5,0
3,Adwcays,2336928756408300095,2020-06-22 05:27:54,adwcays,,"Hospital visit during COVID-19 pandemic 🏥 To see the full video, please visit our YouTube channel. See link in Bio.

#covid_19 #covidlockdown2020 #circuitbreakersg #stayhome #staysafe #stayhealthy #staypositive #stayhomestaysafe #quarantine #quarantinelife",,8,0
4,Adwcays,2321718476615240955,2020-06-01 05:47:43,adwcays,,"Broken spectacles! 👓 To see the full video, please visit our YouTube channel. See link in Bio.

#covid_19 #covidlockdown2020 #circuitbreakersg #staysafe #stayhome #stayhealthy #staypositive #stayhomestaysafe #quarantinelife #quarantine",,4,0
5,Ava Gui,2321193804593313299,2020-05-31 12:49:33,avagui,,"When life gives you lemons🍋, add salt & tequila! 🍸
Saturday night-in with my girls turned into one of the best nights I’ve had in a while. #circuitbreakersg 
Video credits 🎥 goes to my very talented friend @aliciasandve",,35,1
6,Bravo Boy,2468407831269167994,2020-12-20 15:12:45,bravo_ze_brave,"Photo shared by Bravo Boy on December 20, 2020 tagging @violinist_eileen_chai, @ben.kranen, and @frenchsharkhunter. May be an image of 5 people and dog.","I had more playmates who played tug with me today, it was so fun! I'm exhausted now so it'll be an early night for me. Good night everypawdy - it'll be Christmas week when I wake up!
.
.
. 
#singaporespecialsofinstagram #singaporespecialsclub #streetdog #streetpup #mongrel #localdog #localdogs #singaporespecialdogs #singaporespecialpup  #singaporespecialsrock #dogsofeastcoast #dogsoftheeast #singaporemongrel #dogsofinstagram  #dogsofsingapore #puppytales #puppylife #puppiesofinstagram #puppylove #puppiesofinstagram #handsomedogs #handsomedogsofinstagram #handsomedog #mosthandsomemongrel #circuitbreakerphase1 #circuitbreakerdogs #circuitbreakersg #dogsandguests",,23,6
7,Joyce Lye 赖玉珠,2461505879783144779,2020-12-11 02:39:48,joyce.lyegeokchoo,"Photo by Joyce Lye 赖玉珠 on December 10, 2020. May be an image of 2 people, hair and people standing.","“How nice if I can join the Sangha group of Tzu Chi in Hualian, Taiwan.” That was my thought when my hair was shaved in 2015. Even though, my intention then was to raise $50,000 for the Compassion Support Scheme for cancer patients of all age groups. 

This year , I have just completed my 3-km daily walk from home to my office at Aljunied Crescent for 151 days during 2020 Cut Cut Cut - Cut For Compassion event. For every km I'd walked, I raised $10 for Kampung Senang. I was very reluctant to walk since becoming a mum 30 years ago, and would rely on driving even for a distance of just 2 km. A friend of donkey years challenged me by pledging a donation of $ 10 per km to Kampung Senang if I could walk to work and reduce carbon emission.

This year, besides walking a distance of 453 km , I have set the event target higher at $80,000 due to increased needs of people affected by both mental health issues and chronic illnesses. So far, we've raised only $41,000. If we can find donors for an additional $40,000, I have promised to shave my hair again. 

I sincerely hope to keep that promise.
https://www.kampungsenang.org/compassion-fund/

#socialservicesgconnect",,22,1
8,YN Wong,2334011842875031355,2020-06-18 04:51:55,ynwong,"Photo by YN Wong on June 17, 2020.","2020年上半年啥也没干，全忙着隔离了。明天开工，加油(ง •̀_•́)ง #patekphilippe #patekphilippesg #patekphilippegrandexhibition #patekphilippegrandexhibitionsingapore2019 

#sg #cb #singapore #circuitbreaker #circuitbreakersg #stayhome #stayhomesg #staysafe #staysafesg #stayhomestaysafe #stayhomestaysafesg #day73",Orchard Road,2,0
9,YN Wong,2319643754803448927,2020-05-29 09:05:05,ynwong,Photo by YN Wong in Singapore. May be an image of 1 person.,"旧图新发，农历闰四月初七。 #busstop #busstopsg 

#sg #singapore #cb #circuitbreaker #circuitbreakersg #stayhome #stayhomesg #staysafe #staysafesg #stayhomestaysafe #stayhomestaysafesg #day53",Singapore,2,0
