post_id,,username,date_time,comment_raw
101579512,77612900,Wai Cheng Phong,"Dec 14, 2020",Good evening to our dearest respected PM Mr Lee  Thank you very much you make it Singapore is safety  And is opening Phase 3 of the Nation reopening  Happy to hear this and we have you who care  And we also very grateful to the medical team is excellence Thank you PM Mr Lee Best Wishes to you and your family good health long life happiness and prosperous  
101579512,77612900,Jack Lee,"Dec 15, 2020",Please do our part.Keep up the good job.Look at other country.Once they let their guard down.See what happen next?? Just follow the rule and keep all of us safe and our rice bowl safe if not....
101579512,77612900,Shuai Ge,"Dec 16, 2020","Actually 5 or 8 still not really helps for festival celebration. Cant even hold a reunion with your siblings, parents or grandparents together not mentioning cny visiting though. When they announced this happily and confidently assume everyone shall be able to enjoy those upcoming festival. Any house with 2 kids plus 1 maid basically u cant go anywhere that has more than 3 living in the house or to any restaurant. Is as good as go eat urselves ðŸ¤£ðŸ¤£ðŸ¤£"
101579512,77612900,Joseph Tan,"Dec 15, 2020",Why this phase 3?  It seems no different from ph 2 except the increase in crowds gathering. In the economy of scale does this help much. To me it seems more like waving at the next wave of infections. We had already bear with this scenario for so long so why just can't we wait a little longer for the vaccines to take effect before concluding. 
101579512,77612900,Vivian Fong,"Dec 14, 2020",I really just need the gyms to allow more people in. Can we please do that.
101579512,77612900,Jeffrey Say,"Dec 14, 2020",Some people don't think that an increase of three people is a lot but it makes a lot of difference for some people and especially for F & B businesses.
101579512,77612900,NurImah Fad,"Dec 14, 2020",So? When can I play Futsal?! S-League can start and finish. WTH. Iâ€™ve been patient enough with this half-baked measures for such activities. - Fad
101579512,77612900,Poon Song Tng,"Dec 14, 2020",Knn Say trace tgt donâ€™t have 70% so cannot phase 3 Now say can phase 3  They can predict by 28/12 will have more then 70% ppl using trace tgt  Cow head donâ€™t match horse mouth  Kepalah pisang 
101579512,77612900,Austin Soon,"Dec 14, 2020",Phase 3 also not much different from phase 2 lo. 
101579512,77612900,Peter Yeap,"Dec 14, 2020",nothing much different between 2 and 3
101579512,77612900,Lawrence Chaw,"Dec 14, 2020","Nuthing much lah phrase 3, pls cb bk again leh, i like cb no queues & jams at malls or roads...ðŸ˜"
101579512,77612900,Kian Wee Max,"Dec 14, 2020","Too early for phase 3, there might be cases coming from future oversea visitors or hidden time bomb along our own local people. The best way is to get everyone to go for testing. Before during phase 3 case went up again. And than is too late to regards"
101579512,77612900,Natalie Khong,"Dec 15, 2020","While this announcement is welcomed, the Safe Mgt team can go round to condos/HDB/houses to check residences with lots of shoes and noise in the evening and wee hours to catch the ones breaking the rules during the holiday season, before Phase 3. "
101579512,77612900,Danny Yang,"Dec 14, 2020","No matter how wide our border is going to open...it wont push up our trade activities  or increasing tourist nos..cos, other countries still unable to get out from their lockdown.  Back to normal is abt going along with the momentum...u cant do it alone.."
101579512,77612900,Richard Tan,"Dec 14, 2020","Why everyone in the Task Force look so gloom,neverðŸ˜Šlook soðŸ˜©,happy abit lah!"
101579512,77612900,Han Sandman,"Dec 15, 2020","Wow! From 5 to 8! Omg. Thank you so much, so so much! Ah ma, you wait outside hor, ah kong finished eating then you come in.... OK? I give you chair you sit outside wait hor. "
101579512,77612900,Muhd Izzad,"Dec 15, 2020",Just in time for New Year n CNY celebration. Time to party n mahjong til u drop. Come CNY Covid mysteriously go into hiding n no longer that dangerous
101579512,77612900,Gengar Lee,"Dec 14, 2020",Seriously? Havent fix the broken pipe already start to open water tap??
101579512,77612900,Top FanKaren Chan,"Dec 15, 2020",Happy to have phrase 3 opening soon. Still our responsibility to follow the rules n be safe.  N it helps alot for many F&B outlets too. ðŸ‘
101579512,77612900,Jeffrey Ng,"Dec 14, 2020","Phase 3 is not just about the numbers. It fortifies the government's confidence, preparedness and readiness in handling the covid situation. Let's continue to do our part and make Singapore the envy of the world ðŸ’ªðŸ’ª"
101579512,77612900,Steven Teo,"Dec 14, 2020","Does the 8 person restriction also include the current household? Meaning if there's already three person in the household, does that means another 8 person not from the household can visit?"
101579512,77612900,Xavior Lamb,"Dec 14, 2020",What's the update regarding workplace?
101579512,77612900,Rick Chew,"Dec 15, 2020","events 250,social 8...simi lan?? always talk n slap own own face,now suddenly can phrase 3 when trace together not even meet requirement,why? becos of vaccine loh..so confident the vaccine will work n always like to rush into things,later turn out to be a mess again"
101579512,77612900,FengGang Law,"Dec 14, 2020","Now those who have a clique of 6 people will be happy, whereas those with clique of 9 people... make sure u arent left out for any events that ur clique made ðŸ˜‚"
101579512,77612900,Luke Lee,"Dec 14, 2020",So we can have choirs
