,Unnamed: 0,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,5,"Yesterday, some businesses such as barber shops, confectionery stores and pet supplies shops resumed operations again after a three-week closure due to stricter circuit breaker measures. These business premises will have to ensure strict precautionary measures to protect the public, such as safe distancing and wearing of face masks.

Businesses and workplaces that reopen have to adopt the SafeEntry app — a digital check-in system developed by @smartnation.sg and Digital Government Office to facilitate contact tracing. I am sure many of you have already used this — scanning the QR code with your phones, or checking in with your NRIC or SingPass app when you enter and exit a supermarket or mall.

Tapping on technology to help with contact tracing is one of the ways to manage the easing of the circuit breaker measures. While I understand this is inconvenient, we will learn and get used to it.

Looking around the world, you will realise that it has not been easy for countries to resume activities — with many seeing infection rates increase after doing so. So even after the circuit breaker period, we must continue to take precautions. Do remember, there is no need to rush out to the shops — go out only if you have to, exercise social responsibility, wash your hands regularly and wear a mask when you are out. Let us continue to stay vigilant and fight this battle together!

#SGUnited
#SingaporeTogether",2020-05-13 10:05:13+00:00,"Mr Heng, my dad who is an essential worker security officer and only has a Nokia phone with no data. Luckily i have a spare smartphone with me and he’s going to buy data for his prepaid number. BIG SIGH.",2020-05-13 19:18:03+00:00,41
1,6,"Yesterday, some businesses such as barber shops, confectionery stores and pet supplies shops resumed operations again after a three-week closure due to stricter circuit breaker measures. These business premises will have to ensure strict precautionary measures to protect the public, such as safe distancing and wearing of face masks.

Businesses and workplaces that reopen have to adopt the SafeEntry app — a digital check-in system developed by @smartnation.sg and Digital Government Office to facilitate contact tracing. I am sure many of you have already used this — scanning the QR code with your phones, or checking in with your NRIC or SingPass app when you enter and exit a supermarket or mall.

Tapping on technology to help with contact tracing is one of the ways to manage the easing of the circuit breaker measures. While I understand this is inconvenient, we will learn and get used to it.

Looking around the world, you will realise that it has not been easy for countries to resume activities — with many seeing infection rates increase after doing so. So even after the circuit breaker period, we must continue to take precautions. Do remember, there is no need to rush out to the shops — go out only if you have to, exercise social responsibility, wash your hands regularly and wear a mask when you are out. Let us continue to stay vigilant and fight this battle together!

#SGUnited
#SingaporeTogether",2020-05-13 10:05:13+00:00,The SingPass login was working initially then stopped.,2020-05-14 00:02:42+00:00,8
2,7,"Yesterday, some businesses such as barber shops, confectionery stores and pet supplies shops resumed operations again after a three-week closure due to stricter circuit breaker measures. These business premises will have to ensure strict precautionary measures to protect the public, such as safe distancing and wearing of face masks.

Businesses and workplaces that reopen have to adopt the SafeEntry app — a digital check-in system developed by @smartnation.sg and Digital Government Office to facilitate contact tracing. I am sure many of you have already used this — scanning the QR code with your phones, or checking in with your NRIC or SingPass app when you enter and exit a supermarket or mall.

Tapping on technology to help with contact tracing is one of the ways to manage the easing of the circuit breaker measures. While I understand this is inconvenient, we will learn and get used to it.

Looking around the world, you will realise that it has not been easy for countries to resume activities — with many seeing infection rates increase after doing so. So even after the circuit breaker period, we must continue to take precautions. Do remember, there is no need to rush out to the shops — go out only if you have to, exercise social responsibility, wash your hands regularly and wear a mask when you are out. Let us continue to stay vigilant and fight this battle together!

#SGUnited
#SingaporeTogether",2020-05-13 10:05:13+00:00,Check In and Check Out!,2020-05-14 00:37:24+00:00,5
3,0,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,Have to link to phone n use my battery ah? Give handout$ 1st then say lo..,2020-09-10 05:36:15+00:00,15
4,1,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,Gov got drone in e sky liao leh,2020-09-10 05:37:26+00:00,8
5,3,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,Just put a drone on each one of us la... Non citizens get 2 drones..😆,2020-09-10 05:38:35+00:00,14
6,5,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,Soon it is going to be most places,2020-09-10 07:01:34+00:00,8
7,7,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,so can we stop scanning safeentry with this?,2020-09-10 14:33:45+00:00,8
8,8,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,Hope this one entirely made in Singapore.,2020-09-11 04:11:59+00:00,7
9,9,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,All the CB-ian confirm like this. Dont say you dont like because you want this to happen.,2020-09-11 06:26:42+00:00,16
10,10,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,"So essentially they’re slowly enforcing the app, right? Cause you know, some places require the app for entry.",2020-09-11 07:17:37+00:00,19
11,11,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,Me when I recive TT tokens: 50 WAYS TO BREAK A TRACETOGETHER TOKEN,2020-09-14 10:38:59+00:00,12
12,13,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,Imaging working at a job that forces u to work on a public holiday and doesn’t pay you extra for that,2020-08-10 05:35:14+00:00,22
13,17,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,Petition to make a safe entry app,2020-08-10 05:53:21+00:00,7
14,18,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,Petition to make a safe entry app,2020-08-10 05:53:22+00:00,7
15,19,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,Please be reminded that we are still in DOSCON Orange.,2020-08-10 06:05:50+00:00,10
16,20,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,isit just me or does any1 doesnt check out often bcuz their lazy?,2020-08-10 06:22:10+00:00,13
17,21,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,CHECK OUT MY IG FOR SINGAPORE’s TOP STUDENT JOB SCAM!!!!!! 🤯 (all i want is for you to warn your friends),2020-08-10 06:52:51+00:00,21
18,22,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,"Haha, go to Vivo City and you know where social distancing doesn’t exist.",2020-08-10 06:58:43+00:00,14
19,25,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,yes the check ins check outs,2020-08-10 07:10:38+00:00,6
20,26,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,Qr code : I'm I a joke to you?,2020-08-10 07:14:11+00:00,7
21,27,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,"Good day everyone don’t throw away your old money (coin or note) bring all to me and make a huge amount of money from your old items Malaysia 🇲🇾,Brunei , Singapore 🇸🇬 Jordan 🇯🇴 China 🇨🇳 with ALMIGHTY ALLAH everything is possible 💯💯💯",2020-08-10 07:24:25+00:00,39
22,28,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,I buy old  money collector I buy old UAE 🇦🇪 🇲🇾MYR <10k> per one ☝ 🇸🇬SGD <10k> per one ☝ 🇧🇳BRU <10k> per one ☝ 🇨🇳CH or any country coin and note.Pm me!!!!!I buy old MAL 🇲🇾(coins$ notes)10kkmyr per☝️old Sin🇸🇬(coins$note)10ksgd per☝️OLD BRU🇧🇳(coins$notes)10ksgd per☝️ YA ALLAH 🙏🙏🙏✅🇲🇾🇲🇾🇲🇾🇲🇾🇲🇾STAY SAFE 🤙🤙🤙🤙,2020-08-10 08:07:00+00:00,44
23,31,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,yes omg the number of tabs i have for safe entry,2020-08-10 13:21:39+00:00,11
24,32,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,Me need type why I phone why I phone y???,2020-08-11 19:15:06+00:00,10
25,33,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,Use wat app for iphone,2020-08-11 19:15:22+00:00,5
26,34,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,"My god, if is wasn’t for me to take opportunity to ride on",2020-08-12 06:42:04+00:00,14
27,35,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,@jeremyltw they made a meme out of you bro 😭,2020-08-10 04:46:01+00:00,8
28,36,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,😂😂 more like chicken in chicken out chicken in chicken out😅😅,2020-08-10 04:46:08+00:00,10
