,Unnamed: 0,Post Description,Post Datetime,Comments,Comment Datetime,num_words
1089,2145,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,Agree! So uncomfortable to wear mask 😷 🥵,2020-08-16 08:16:06+00:00,6
1091,2147,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"I mean if workers can wear their masks for 12+ hours a day, why can't some wear theirs for lesser hours?",2020-08-16 08:23:24+00:00,19
1092,2148,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"I agree. You can't even breathe properly & it's suffocating wearing the mask throughout the day. In fact, we're breathing hot & recycle air😷👎🏻",2020-08-16 08:28:38+00:00,19
1097,2153,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"Wear mask no need to worry about food stuck in the teeth, stains around the mouth and yawn as widely as you want..",2020-08-16 08:38:37+00:00,23
1098,2154,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"i mean, it depends on what mask we are using",2020-08-16 07:45:17+00:00,10
1100,2156,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,Keep safe wear a mask please,2020-08-16 07:47:23+00:00,6
1102,2158,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,I purchased pretty looking masks as a part of my beauty routine lol,2020-08-16 07:48:02+00:00,13
1106,2162,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,I have to wear the mask 10hrs a day or even more attimes,2020-08-16 07:58:24+00:00,12
1107,2163,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"The mask is not to prevent us from getting infected, it's to prevent us from infecting other people",2020-08-16 08:02:20+00:00,17
1108,2164,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"I do agree that it's tough to wear a mask, especially when you need to talk the whole day, It's really tiring. It makes us appreciate doctor, nurse, and those who are working in the service line ( who needs to wear a mask to serve us even before COVID strikes). And I am thankful for the rules our government sets for us. Especially for us to wear a mask. Just look at other countries who don't do that, the amount of death rate is so high and scary.",2020-08-16 08:03:35+00:00,85
1110,2166,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,and? if we don't wear mask we all die alr by now,2020-08-16 07:24:57+00:00,11
1111,2168,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,the 56% like wearing mask ah,2020-08-16 07:27:54+00:00,5
