,Unnamed: 0,name,comment,processed_comment
0,0,kiahfong,👍,[]
1,1,nally_n,How come there is no date stating when is the exact date that Phase 3 will be effective?,"['come', 'date', 'state', 'exact', 'date', 'phase', 'effect']"
2,2,jesperlau98,👍 🙂 🤔 ❤️. Thank U Singapore. We r the best.,"['thank', 'u', 'singapor', 'r', 'best']"
3,3,leee.dennis,👏👏👏👏👏,[]
4,4,wnlynjnnmrie,@mncerln,[]
5,5,jjasmineloh,"Let's continue to jia you, stay vigilant, observe social distancing and maintain good hand hygiene habits. We shall get through this together. Phase 3 here we go!!! 🙌🙌🙌","['let', 'continu', 'jia', 'stay', 'vigil', 'observ', 'social', 'distanc', 'maintain', 'good', 'hand', 'hygien', 'habit', 'shall', 'get', 'togeth', 'phase', 'go']"
6,6,finnk925,Cant wait to be able to do more things and possibly travel 😀😄😀,"['cant', 'wait', 'abl', 'thing', 'possibl', 'travel']"
7,7,karenlim38,Concert can resume?,"['concert', 'resum']"
8,8,edmundo_edmund_,@gracefuleagle @kk.kemmy can all go out eat already pax of 8,"['go', 'eat', 'alreadi', 'pax']"
9,9,suruchithapar,@bpandya08,[]
10,10,suruchithapar,@vandana.pruthi,[]
11,11,suruchithapar,@neesh_r @kanodia.parul,[]
12,12,tkengseng,👍👍👍we are the best,['best']
13,13,rj_director,"The question is, when??",['question']
14,14,digit4ldrvgl0rd,WHENNNNN,['whennnnn']
15,15,beebee4265,👏👏👏🤲,[]
16,16,es.1990.s,"I have long term visit pass, when can I return to Singapore? I wish to return, but 2200$ is not affordable, due to the increase in flight expenses too...","['long', 'term', 'visit', 'pass', 'return', 'singapor', 'wish', 'return', 'afford', 'due', 'increas', 'flight', 'expens']"
17,17,vivliveslovescooks,"We can do it, SG!",['sg']
18,18,0_4kmh,Thank you for keeping sg safe 🙌,"['thank', 'keep', 'sg', 'safe']"
19,19,murugesananandh,Any updates for foreign workers especially dormitory stay workers? 😢😢😢😢😢😢😢😢 we are pity,"['updat', 'foreign', 'worker', 'especi', 'dormitori', 'stay', 'worker', 'piti']"
20,20,greggoneloco,0 community cases. why dont you say it for what it is? survelliance tracking and invasion of privacy,"['commun', 'case', 'dont', 'say', 'survelli', 'track', 'invas', 'privaci']"
21,21,ragnar_lothbrok1994,"Singapore govt took care of us during the pandemic. But never thought they will lock us down Like this. Feels like coke chain on my throat. There are a large number of foreign workers in Singapore working not only for ourselves also for the betterment of Singapore, have little mercy on us. Even when no one was with me i never felt alone, but now even when people are around me i feel alone... I don't know how many times word suicide cross my mind, but i held on because of my family.... We can't go out to market, mini mart is too expensive campared to outside market.... Work will finish at 6:45, then we have to stand in queue for punching out and finally reach dorm at mostly at 8 or , then stand in queue for punching in... Then have to wait for turn to cook, shower , then talk to Family for sometime, eat then sleep.. Dorm life now..","['singapor', 'govt', 'took', 'care', 'us', 'pandem', 'never', 'thought', 'lock', 'us', 'like', 'feel', 'like', 'coke', 'chain', 'throat', 'larg', 'number', 'foreign', 'worker', 'singapor', 'work', 'also', 'better', 'singapor', 'littl', 'merci', 'us', 'even', 'one', 'never', 'felt', 'alon', 'even', 'peopl', 'around', 'feel', 'alon', 'know', 'mani', 'time', 'word', 'suicid', 'cross', 'mind', 'held', 'famili', 'ca', 'go', 'market', 'mini', 'mart', 'expens', 'campar', 'outsid', 'market', 'work', 'finish', 'stand', 'queue', 'punch', 'final', 'reach', 'dorm', 'mostli', 'stand', 'queue', 'punch', 'wait', 'turn', 'cook', 'shower', 'talk', 'famili', 'sometim', 'eat', 'sleep', 'dorm', 'life']"
22,22,kenghouse84,Plagiarism,['plagiar']
23,0,uayvi.nay,Thank you 🙏🏻! Appreciate greatly.,"['thank', 'appreci', 'greatli']"
24,1,itsokimmei,😍😍😍🇸🇬🇸🇬🇸🇬,[]
25,2,kaylini15,@activ_dimsum,[]
26,3,joycesvillareal,👏👏👍😍❤️,[]
27,4,leopard_moon,❤️,[]
28,5,ate_gee755,😍❤️❤️👏👏,[]
29,6,glendaqbautista,❤👍,[]
30,7,sheena_jnj,Congregational meaning for wedding at external venues?,"['congreg', 'mean', 'wed', 'extern', 'venu']"
31,8,limcheng1819,Hi thank you so much🙏🏻 may I ask if there is any easing of measures for nursing homes?,"['hi', 'thank', 'much', 'may', 'ask', 'eas', 'measur', 'nurs', 'home']"
32,9,leee.dennis,Mantap,['mantap']
33,10,mrknight88,Hi ! Will we be back to campus to have class in phase 3?,"['hi', 'back', 'campu', 'class', 'phase']"
34,11,iwanka_gvn,😊👍,[]
35,12,qijerleneangrui,👏,[]
36,13,qijerleneangrui,😍,[]
37,14,qijerleneangrui,👍,[]
38,15,qijerleneangrui,💪,[]
39,16,qijerleneangrui,❤️,[]
40,17,qijerleneangrui,🙏,[]
41,18,run_ming,Nothing on sports events?,"['noth', 'sport', 'event']"
42,19,leslie_monochromicimage,"Mamaland's doing slowly, carefully and steady. Well done sg🇸🇬🇸🇬🇸🇬","['mamaland', 'slowli', 'care', 'steadi', 'well', 'done', 'sg']"
43,20,liliesutjiari,❤️,[]
44,21,clarence_seow,Phase 3 is not very much different and still need to stay safe.,"['phase', 'much', 'differ', 'still', 'need', 'stay', 'safe']"
45,22,nuryana1949,What about wedding lunch/dinner??,['wed']
46,23,rostinir,👍,[]
47,24,uayvi.nay,Thank you 🙏🏻! Appreciate greatly.,"['thank', 'appreci', 'greatli']"
48,25,itsokimmei,😍😍😍🇸🇬🇸🇬🇸🇬,[]
49,26,kaylini15,@activ_dimsum,[]
50,27,joycesvillareal,👏👏👍😍❤️,[]
51,28,leopard_moon,❤️,[]
52,29,ate_gee755,😍❤️❤️👏👏,[]
53,30,glendaqbautista,❤👍,[]
54,31,sheena_jnj,Congregational meaning for wedding at external venues?,"['congreg', 'mean', 'wed', 'extern', 'venu']"
55,32,limcheng1819,Hi thank you so much🙏🏻 may I ask if there is any easing of measures for nursing homes?,"['hi', 'thank', 'much', 'may', 'ask', 'eas', 'measur', 'nurs', 'home']"
56,33,leee.dennis,Mantap,['mantap']
57,34,mrknight88,Hi ! Will we be back to campus to have class in phase 3?,"['hi', 'back', 'campu', 'class', 'phase']"
58,35,iwanka_gvn,😊👍,[]
59,36,qijerleneangrui,👏,[]
60,37,qijerleneangrui,😍,[]
61,38,qijerleneangrui,👍,[]
62,39,qijerleneangrui,💪,[]
63,40,qijerleneangrui,❤️,[]
64,41,qijerleneangrui,🙏,[]
65,42,run_ming,Nothing on sports events?,"['noth', 'sport', 'event']"
66,43,leslie_monochromicimage,"Mamaland's doing slowly, carefully and steady. Well done sg🇸🇬🇸🇬🇸🇬","['mamaland', 'slowli', 'care', 'steadi', 'well', 'done', 'sg']"
67,44,liliesutjiari,❤️,[]
68,45,clarence_seow,Phase 3 is not very much different and still need to stay safe.,"['phase', 'much', 'differ', 'still', 'need', 'stay', 'safe']"
69,46,nuryana1949,What about wedding lunch/dinner??,['wed']
70,47,rostinir,👍,[]
