,fullname,postid,timestamp,username,image_desc,text,comments
0,CNA,2.24261E+18,13/2/2020 10:17,channelnewsasia,"Photo by CNA on February 12, 2020. May be an image of ‎4 people and ‎text that says '‎อה Kenny G postpones Singapore & Malaysia concerts but 98 Degrees pushes ahead... in May‎'‎‎.","Melancholic saxophone sounds might be the perfect soundtrack for this latest bit of news: Kenny G is postponing his concerts in Singapore and Malaysia over convers about Covid-19. He was supposed to perform on Feb 18 and 16, respectively, but no new dates have been announced.

But if you’re a 98 Degrees fan, you’re in luck – the group has also announced a new date for their own postponed concert, which will be on May 19. It’s been a series of one postponement/cancellation after another – ex-Spandau Ballet singer Tony Hadley’s own show has been pushed back to Oct 10.

Meanwhile, other big Singapore music fests such as Garden Beats and One Love Asia are still set to continue on Feb 29 and May 1 and 2, respectively. For now at least. Read more on CNA Lifestyle, link in bio. #KennyG #98Degrees #SpandauBallet #COVID19 #coronavirus #Singapore #Malaysia #concerts (Photos: Instagram/kennyg, 98 degrees)","['@greywatermelon  omg 98deg coming leh ???!!!???', '@pprincesspam 98 degrees!', 'Who dat?( Am i too young?)', '@burgundybrian 😱 98 degrees!!', ""Imagine a-ha's first postpone concert..."", 'NO Problem. Singapore is still a Wonderful Country for living!', 'How about GreenDay? 🤔']"
1,CNA,2.24619E+18,18/2/2020 8:53,channelnewsasia,"Photo by CNA on February 17, 2020. May be an image of text that says 'Cleaned your phone yet? COVID-19 can survive on it for about 3 days'.","Aside from frequent hand washing, cleaning your phone often is another way to minimise your brush with germs, including the coronavirus. Think about it: Your phone is the first and last thing you touch daily, which means you’re putting an inordinate amount of microbes on it – and these thrive there because of the heat from the devices.

Citing a study done on the coronavirus, Dr Jyoti Somani of the Division of Infectious Diseases at National University Hospital pointed out that the virus can survive on common phone materials such as glass, metal and ceramic ""on average about three days in our local climate"", and ""a shorter period of time on aluminum.” If you’re afraid that cleaning with alcohol might damage your precious (and expensive) phones, try using a solution that’s one part rubbing alcohol (with an alcohol percentage of 70) and one part water to dilute it.

And it’s always best to use phone covers and have a screen protector – cleaning these is safer than a naked phone. Read more on CNA Lifestyle, link in bio. #coronavirus #COVID19 #hygiene #health #handphone #mobilephone (Photo: Pexels)","['😢', '@putraalyyy', 'Dettol soap on a moist cloth !!', 'Use paywave, PayLah! Etc to make payment! Time to go cashless! so you don’t taint your hands from the money handed by many unwash hands!', '@itsrakshana', '@arrrgh.kp', '@_lihui_', '@diarfitri', 'Clean wallet. Clean necklace. Clean card holder. Clean keys. Clean key holders. Clean clean clean. 🤪🤪🤪', 'Daily', 'it’s time... to stop using my phone while using the toilet', '@urbanfarmerly 😂', 'I hate u convid 19 even the phone also get infected', '@ahbuneh', '@bhuixin @litingxcai @bqs______ @whitegreenfish', 'I think healthy diet and regular exercise to boost immune is a more relevant way to prevent bad impact of virus in our body.', '00  ps', ""That's good advice. I think it doesn't really matter if our phone has water proofed design. Anyway, I washed my phone using hand soap.😅"", '@bryanylim @ytooge', 'Alcohol wipe ur phone', 'I got anti virus software so should be fine, also installed a firewall', '@monlionmon cleaning mode', '🤣 everyone touches it the most number of times in a day!', '🤯']"
2,CNA,2.25068E+18,24/2/2020 13:30,channelnewsasia,"Photo by CNA on February 23, 2020. May be an image of 1 person and text that says 'Party's over: This year's Venice Carnival cut short due to COVID-19'.","The Venice Carnival is one of Italy’s most popular events, drawing many tourists from around the world. But no thanks to the coronavirus outbreak, it was abruptly ended on Sunday (Feb 23) by organisers.
Events scheduled that day continued as planned, but the remaining two days have been scrapped – and other events as well until Mar 1. Earlier, the first two cases of coronavirus in the lagoon city were reported as officials struggled to contain an outbreak of the disease across northern Italy. #Venice #VeniceCarnival #Italy #coronavirus #COVID19 (Photo: AFP)","['😭😭😭', '😮', 'so so sad', '👏🏻👏🏻👏🏻', 'Oh no! 🎭']"
3,CNA,2.25273E+18,27/2/2020 9:20,channelnewsasia,"Photo by CNA on February 26, 2020. May be an image of text that says 'SE ""Paranoid? Prudent? Panicked? Placid? Pandemic? Propaganda? I've already been in this movie.""'.","That’s Gwyneth Paltrow wearing a mask during her flight to Paris. And the movie she’s referring to is Contagion.

The actress uploaded a lengthy Instagram post on Wednesday (Feb 26) sharing what precautions she’s taking against the COVID-19 outbreak – while referencing the 2011 movie she starred in, which has gained popularity once more because of the ongoing health situation. “Paranoid? Prudent? Panicked? Placid? Pandemic? Propaganda? Paltrow’s just going to go ahead and sleep with this thing on the plane. I’ve already been in this movie. Stay safe. Don’t shake hands. Wash hands frequently,” she wrote.

Follow us on CNA Lifestyle for more entertainment stories, link in bio. #GwynethPaltrow #Contagion #movie #coronavirus #COVID19 (Photo: Instagram/gwynethpaltrow)","['@airinum mask', 'not trying to add paranoia, but when we are out in the public space, everything we carry or wear is exposed to it, isnt it? how to keep it clean when we are back to our own space if not by being overly ""ocd"" isnt it? sighs to the people who call us being over reacting or over thinking.']"
4,CNA,2.2535E+18,28/2/2020 10:59,channelnewsasia,"Photo shared by CNA on February 27, 2020 tagging @bts.bighitofficial, and @bts.world.official. May be an image of 8 people and text that says 'Not ON anymore: BTS cancels its Seoul shows because of coronavirus'.","After appearing in Carpool Karaoke and performing at NYC’s Grand Central Station for their new album Map Of The Soul: 7, BTS just announced it's cancelling four concerts they were due to hold in Seoul in April, because of the COVID-19 outbreak. The shows were scheduled to take place between Apr 11 and 19 at Seoul's Olympic Stadium and were expected to draw ""over 200,000"" fans.

Big Hit Entertainment said in a statement it was “impossible at this time to predict the scale of the outbreak”, creating uncertainty over the movement of staff, equipment and fans, making the cancellation “unavoidable.” Read more on CNA Lifestyle, link in bio. #BTS #MapOfTheSoul #Kpop #music #concert #coronavirus #COVID19 #RM #Jungkook #V #Jimin #Suga #Jin #JHope (Photo: Twitter/BTS_official)","['Greatest news i heard today', '😢', 'Get revenge BTS for being over', 'Why 😢😢😢😢', '@anisanfy @dwikyminaj', 'Nooo', 'It is not funny to do such caption! CNA don’t be a clown here, be sympathetic, please!']"
5,CNA,2.25368E+18,28/2/2020 16:43,channelnewsasia,"Photo by CNA on February 28, 2020. May be an image of text that says 'This face mask was the latest accessory spotted at Paris Fashion Week is anyone surprised?'.","With the coronavirus outbreak affecting everyone, it’s probably no surprise that face masks have found their way on the fashion catwalk.

At this year’s Paris Fashion Week, Marine Serre’s collaboration with urban air mask maker Airinum was in the spotlight – Japanese model Akimoto Kozue was spotted wearing them, while Dutch influencer Romy D’Fonseca also posted herself wearing it on Instagram. Serre’s own show featured some pretty conspicuous face accessories, including some knit pieces.

Read more on CNA Lifestyle, link in bio. #ParisFashionWeek #fashion #accessory #catwalk #Paris #facemask #mask #MarineSerre #Airinum #airpollution #coronavirus #COVID19 (Photo: Instagram/akimoto_kozue)","['Very beautiful but,  health first!! That is why we’re still the best producers and supplier 100% of the face mask 😷 ❤️', 'Nobody noticing that it is Jinsoul wearing the mask...', 'Woah.... must be a rare occasion when fashion meets practicality :p', '😂😂😂', 'I need to order Resident evil Mask like mr.Death is wearing now.', '@dennizchia', 'Effective or just a piece of fashion to match your dress n bags?🤔', 'If you play . You will be played', '🤔', 'Actually I ever wonder why no one makes face masks 😷stylishly fashionable 🌈 yet affordable. 🤔']"
6,CNA,2.25432E+18,29/2/2020 13:55,channelnewsasia,"Photo by CNA on February 28, 2020. May be an image of text that says 'orona Extra 38% of Americans won't buy Corona beer ""under any circumstances"" because of the coronavirus outbreak'.","Is Corona beer related to the coronavirus? The answer may seem like a no-brainer, but in the US, it’s not that simple.

A survey released 5W Public Relations this week revealed 38 per cent of Americans wouldn't buy Corona ""under any circumstances"" and 14 per cent said they wouldn't order a Corona in public because of the outbreak. For the survey, 737 beer drinkers in the United States were polled.

Additionally, CNN reported that online searches for “corona beer virus” spiked in early February. Read more on CNA Lifestyle, link in bio. #Corona #beer #Coronabeer #coronavirus #COVID19 (Photo: Instagram/Corona)","['@rirakkukulele CALI 😂😂😂', ""Gosh.... They won't go into the sun soon.  Sun also have corona.. Hahaah🤦\u200d♂️🤦\u200d♂️🤦\u200d♂️🤦\u200d♂️🤦\u200d♂️"", 'Corona it just a beer 😅😅😅😅', '😂😂😂', '🤣🤣🤣', '😂', 'Lmao 🤣🤣', 'That is why it’s very important to educate yourself', 'How to support', 'They could just be supporting the wall😂 and whats the probability that the number of Americans polled were 737 😅', '🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣', '😂😂😂 abit slow catching up w the rest of the world!', '😂😂😂', 'TRUMP2020', '🤦🏻\u200d♀️', ""Aren't they all so homogeneous now? Stupidity in sync."", 'Such waste of time given the fact this viruses from China already killed more than 3K!', 'Are these ppl that stupid?', 'are you implying many americans are no brainers? wow.', 'No wonder Trump was voted as president', 'How about those who owned a Toyota Corona any comments?', 'Sad', '😂', '😂', '😂😂#', '😆', 'They say 38% of Americans yet polled 737? Do the numbers. Rubbish.', 'What rubbish. FAKE FAKE FAKE NEWS.', 'What the.... 🥔', '🤔', '😂😂', '😂', 'Not surprised.', 'This is hilarious man! Joke of the weekend! 😂😂😂😂😂😂😂😂Wtf!', 'The choice of drink in America isn’t corona, it’s domestic beers.', 'kadrun amrik 🤣', ""It's a great opportunity for Corona Beer to release a statement to boost their SEO"", '🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣', '😂🤣😂🤣😂', '🤦🏻\u200d♂️', 'Great worthless reporting CNA!', '😂😂😂', '35% of Americans support Trump no matter what.  35% of Americans are utterly idiotic. \nCoincidence?', ""All it's because of Trump"", 'Garebleg juga ya org sono. 😂', 'I believe these are the very people who voted that guy as president. 🤗', 'Luckily Toyota don’t carry corona anymore', 'Mind you, 38% wouldn\'t buy corona beer ""under any circumstances might mean that they just dont like the taste and would never buy it. \n14% wouldn\'t order it IN PUBLIC, likely because even mentioning corona makes heads turn. \nSo before yall wanna jump on the bandwagon and call ppl stupid, might wanna just fact check yourselves. \nEven the brand claims that sales havent been affected so...', 'Stupidity at its peak', '😂😂', 'Ya allah...bodohnye... 😂😂😂', 'Man asking girls : You like dangerous guys? \nAlso the man : *buys corona beer* \nMan : so, i heard u like dangerous guys? ;)', 'That’s how smart the Americans are. Pure breed! 😉', '🤣', '😂', '🤣', 'Americans!! 😆 Good luck', ""Don't forget that 7% of them believed that chocolate milk comes from brown cows 😂😂"", '😂', 'Americans lol', '🤡🤡🤡🤡🤡🤡🤡', 'They as US Americans, such as such as', '😂', ""That's dump"", 'Consistency is key... since the last election..', '😂😂😂', 'Trump explained in one sentence...', '🤣', '@dont_date_kate', '#speechless', 'Americans are so educated lol 🤣', '😄😄😄😄😄', '🤦🏻\u200d♀️', 'Oh wow.....', '@deekosh', 'Ah yes. Smart country', 'Lets name the next virus Apple or Tesla and see if they’ll do the same😂😂', '😂😂😂😂', 'Hahaha... Tell them tonuse lime to kill corona virus.', '😂😂😂', 'Best joke ever 🤣', '🤣', 'At least it made me laugh out loud 🤣', '‘Merica...😂😂😂', '😮', '🤣🤣🤣', '👏', 'No words.', '👏👏👏🤦\u200d♂️🤦\u200d♂️🤦\u200d♂️🤦\u200d♂️', 'Embarrassing 🤦🏻\u200d♂️', '😂', 'Americans no brain', 'That is ridiculous', '😂', 'I wrote about this on Jan 30. https://www.instagram.com/p/B77YgrOJhu9/?igshid=552hougjmqho', 'Fully developed countries huh♥', '@xiaok05', '😂 😂', 'Seriously 😂']"
7,CNA,2.25661E+18,3/3/2020 17:43,channelnewsasia,"Photo shared by CNA on March 03, 2020 tagging @weareone.exo. May be an image of 6 people.","With more than 5,000 coronavirus cases reported in South Korea as of March 3, Korean entertainers are showing their support by making donations to relief groups. Actor Lee Min-ho, for example, has pledged 300 million won (S$350,000) to eight different organisations. Meanwhile, members of K-pop boyband EXO - Suho and Kai - have donated 50 million won each to various charities. More details via the link in bio! #Kpop #Korea #Korean #celebrities #COVID19 #coronavirus #charity #donation #CNAlifestyle (Pic: Instagram/weareone.exo)","['All because of patient 31', '@areqanisah', '@maiiiwu', '💗💗', 'good for k pop and mr Acn ,,but china said phil kina make somebody get well', 'Dont mess up my tempo.....', 'Aside from donation,do they have the intention of filming a video to thanks s.korea frontline nurses,i do have One Humble Video on CoronaFaceMask to thank them,hope u like it❤️❤️❤️']"
8,CNA,2.25791E+18,5/3/2020 12:51,channelnewsasia,"Photo by CNA on March 04, 2020. May be an image of 1 person and text that says 'No Time To Die: Daniel Craig's last James Bond film pushed back because of coronavirus'.","Setting aside all morbid quips about the movie title, it seems James Bond fans will have to wait a bit longer to see Daniel Craig’s final outing as 007. The 25th Bond film No Time To Die has been postponed to November because of COVID-19. The movie was originally meant to debut in April, but there are concerns it would severely hamper ticket sales for the movie.

The announcement was made on the official James Bond Twitter account. According to Variety, the outbreak has led to widespread closures of theatres in major regions such as South Korea, China, Japan and Italy. The magazine’s inside sources have also revealed theatre closures have had a big impact on profit margins, with revenues in markets like Hong Kong and Taiwan dropping by 50 per cent and sales in Italy grinding to a halt.

Read more on CNA Lifestyle, link in bio. #JamesBond #NoTimeToDie #DanielCraig #Hollywood #movies #coronavirus #COVID19 (Photo: AFP)","['Bond always save the world by finding a way to cure this virus.', '💙👍', 'Alamak...this coronavirus is sibeh nuisance', '@ingosworld', 'Or “don’t want to die lah” <— SG version 🤣', ""Pierce Brosnan's Bond would have just chosen to 'Die Another Day'"", 'Alamakkk! 😭', 'Well I guess we can technically say that this is no time to die?', 'No time to contract corona', 'Sad😫🙄🤤🤤🤣', '😮', ""even Bond can't defeat Corona""]"
9,CNA,2.25853E+18,6/3/2020 9:23,channelnewsasia,,"Nothing like announcing to everyone that you’re pregnant by releasing a new music video.

Katy Perry dropped the new music video for Never Worn White a couple of days ago – and you’ll see her cradling a baby bump in the final seconds.
Shortly before it dropped, Perry had published a snippet of the clip, fuelling speculation the singer might be expecting her first child with fiance Orlando Bloom. ""Let's just say it's gonna be a jam packed summer..."" Perry wrote afterwards on various social media sites.

That said, the couple is in no hurry to tie the knot. ET Online reported that they’ll be postponing their wedding – which was supposed to be held in Japan this year – till 2021 because of the coronavirus. #KatyPerry #pregnant #NeverWornWhite #musicvideo #OrlandoBloom #wedding #coronavirus #COVID19 (Photo: Instagram/KatyPerry)","['Congrats!', 'New level of extra, LOVE.', 'Who’s the father?', '❤️❤️❤️', 'The baby must be so cute like her next time when the baby grow up !😍', 'coronakid']"
