,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_tweets
0,1.3539656899676856e+18,1.3539656899676856e+18,2021-01-26,15:19:10,4881410146.0,_shxzln,✨ALYNN✨,"{'type': 'Point', 'coordinates': [1.49455353, 103.84455211]}","Panic buying 🤣 (@ Little Genius Masai in Masai, Johor)  https://t.co/oCBNOTWGxp",en,[],['https://www.swarmapp.com/c/joabhdwErJU'],[],0.0,0.0,0.0,[],https://twitter.com/_shxzln/status/1353965689967685632,0.0,[],"['littl', 'geniu', 'masai', 'masai', 'johor']"
6,1.3488855331712287e+18,1.3488855331712287e+18,2021-01-12,14:52:26,1.1336328667623629e+18,zlkrhmt,kakzu🦋,,panic buying😭🖐️  https://t.co/zgXMJfwGkV,en,[],[],['https://pbs.twimg.com/media/Erg0O4LVoAAGkXE.jpg'],16.0,1.0,35.0,[],https://twitter.com/zlkrhmt/status/1348885533171228674,1.0,[],"['mydin', 'mall', 'masai', 'johor']"
11,1.3377756340518584e+18,1.3377756340518584e+18,2020-12-12,23:05:40,195690494.0,lenatikah,🇲🇾 Lena 🌺,,Panic buying sangat ni ke treat myself something sksksksk bongok betul saving 3 bulan dpt gaji mcm orang kaya shopping checkout without looking at my bank 😂 Last shopping mcmni my birthday ogos ritu lol  https://t.co/a4w0QjApra,en,[],[],['https://pbs.twimg.com/media/EpC72KQVoAMeE6F.jpg'],0.0,0.0,0.0,[],https://twitter.com/lenatikah/status/1337775634051858434,1.0,[],"['toilet', 'paper', 'go', 'local', 'bakeri', 'chain', 'breadtalk', 'buy', 'limit', 'edit', 'toilet', 'paper', 'roll', 'cake']"
12,1.3319484981917286e+18,1.3319468362071695e+18,2020-11-26,21:10:43,9.389260966150144e+17,suha_0310,#Nasuha,,@OnibugibugiJR Omg panic buying btol ni yin..,en,[],[],[],0.0,0.0,0.0,[],https://twitter.com/suha_0310/status/1331948498191728641,0.0,"[{'screen_name': 'OnibugibugiJR', 'name': 'PYin 💙', 'id': '902398872445530112'}]","['singaporean', 'standard', 'must', 'differ', 'other', 'other', 'lockdown', 'circuit', 'breaker', 'know', 'plan', 'amp', 'home']"
13,1.3305136762275348e+18,1.3305136762275348e+18,2020-11-22,22:09:14,1.0517823360883958e+18,khooboocheang,Khoo Boo CheangJohn.,,"Why was his so caused by Pandamic Panic buying ,,🥐🥯🍞🥖🧀🍤🥩🥘 https://t.co/8k1JcfoQj0",en,[],['https://www.scmp.com/news/world/united-states-canada/article/3110836/us-coronavirus-panicked-shoppers-empty-store'],[],0.0,0.0,1.0,[],https://twitter.com/KhooBoocheang/status/1330513676227534848,0.0,[],"['first', 'day', 'saw', 'someon', 'buy', 'whole', 'basket', 'chocol']"
14,1.3265365022186455e+18,1.3265365022186455e+18,2020-11-11,22:45:22,1482348127.0,mferrisn,M.Faris.N,,March 2020: Panic buying   April - June: Circuit Breaker Phase 1  July - August : Elections   October - November : LAZADA LOWEST PRICE LOWEST PRICE LAAAA ZAAAA DAAAA,en,[],[],[],0.0,0.0,0.0,[],https://twitter.com/MFerrisN/status/1326536502218645504,0.0,[],"['stuff', 'think', 'balik', 'malaysia', 'mati', 'caus', 'job', 'later', 'stay', 'sg', 'also', 'die', 'unpaid', 'leav', 'live', 'top', 'high', 'cost', 'citi', 'world', 'without', 'get', 'paid', 'chao']"
15,1.3257475786386596e+18,1.3257475786386596e+18,2020-11-09,18:30:28,1050952285.0,amirhanafii_,4mir,"{'type': 'Point', 'coordinates': [1.49077406, 103.86703859]}","Panic buying 👀 (@ Mydin Mall - @mydinmalaysia in Masai, Johor)  https://t.co/WphknnR1Xc",en,"[{'screen_name': 'mydinmalaysia', 'name': 'mydin malaysia', 'id': '206693881'}]",['https://www.swarmapp.com/c/0qnnUxY57Bs'],[],0.0,0.0,0.0,[],https://twitter.com/AmirHanafii_/status/1325747578638659584,0.0,[],"['farktard', 'local', 'govern', 'alreadi', 'advic', 'still']"
25,1.25576298933393e+18,1.25576298933393e+18,2020-04-30,15:36:42,71155978.0,ezardzainal_,Shālǐ zhā dé,,My kind of panic buying. Bestnya!,en,[],[],[],0.0,0.0,0.0,[],https://twitter.com/ezardzainal_/status/1255762989333929984,0.0,[],"['respons', 'singaporean', 'oof']"
26,1.2553571176509317e+18,1.2553422240507085e+18,2020-04-29,12:43:54,1730901.0,eviltofu,Evil Tofu,,"@avalanchelynn Given all the panic buying and hoarding, I would expect not.",en,[],[],[],0.0,0.0,0.0,[],https://twitter.com/eviltofu/status/1255357117650931713,0.0,"[{'screen_name': 'avalanchelynn', 'name': '✿ a֒v֒a֒ ⓧ a֒v֒a֒ ✿', 'id': '1173088343795453953'}]","['onlin', 'lesson', 'end', 'amp', 'saw', 'joke', 'singapor', 'also', 'want', 'open', 'wallet', 'spend', 'four', 'hour', 'small', 'ipad', 'screen', 'go']"
27,1.2530421430247014e+18,1.2530421430247014e+18,2020-04-23,03:25:01,775201513.0,shabirmusic,Shabir 🎹 ஷபிர்,,Can people panic grow their own food instead of panic buying? #COVID19,en,[],[],[],0.0,2.0,9.0,['covid19'],https://twitter.com/ShabirMusic/status/1253042143024701440,0.0,[],"['mean', 'need', 'buy', 'alot', 'cat', 'food', 'lei', 'later', 'cat', 'starv', 'death', 'pula']"
