,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_text,demojize_text
0,1360777166598729732,1360777166598729732,2021-02-14,10:25:33,271787308,4lexym,It's Ahh!,,"Covid-19 vaccines donated by India and other countries are being used for soldiers neglecting the elderlies, medical professionals and other frontline essential workers.  @bbcburmese @Reuters @UN_HRC @hrw  #WhatsHappeningInMyanmar #HearTheVoiceOfMyammar  https://t.co/svySVD6Tea",en,"[{'screen_name': 'bbcburmese', 'name': 'bbc news မြန်မာ', 'id': '23765365'}, {'screen_name': 'reuters', 'name': 'reuters', 'id': '1652541'}, {'screen_name': 'un_hrc', 'name': 'un human rights council', 'id': '70985635'}, {'screen_name': 'hrw', 'name': 'human rights watch', 'id': '14700316'}]",[],['https://pbs.twimg.com/media/EuJznlLUYAcD9kp.jpg'],1,0,0,"['whatshappeninginmyanmar', 'hearthevoiceofmyammar']",https://twitter.com/4LexyM/status/1360777166598729732,1,[],"['vaccin', 'donat', 'india', 'countri', 'use', 'soldier', 'neglect', 'elderli', 'medic', 'profession', 'frontlin', 'essenti', 'worker']","Covid-19 vaccines donated by India and other countries are being used for soldiers neglecting the elderlies, medical professionals and other frontline essential workers.  @bbcburmese @Reuters @UN_HRC @hrw  #WhatsHappeningInMyanmar #HearTheVoiceOfMyammar  https://t.co/svySVD6Tea"
1,1360744495151685632,1233878037915025409,2021-02-14,08:15:43,47580171,viplav76,Viplav Kambli,,Britain has delivered 14.56 million shots of the 15 million target of the priority group including those over 70 years of age &amp; frontline healthcare workers.  It’s now offering it to those between 65-69 years of age.,en,[],[],[],0,0,0,[],https://twitter.com/viplav76/status/1360744495151685632,0,[],"['britain', 'deliv', 'million', 'shot', 'million', 'target', 'prioriti', 'group', 'includ', 'year', 'age', 'amp', 'frontlin', 'healthcar', 'worker', 'offer', 'year', 'age']",Britain has delivered 14.56 million shots of the 15 million target of the priority group including those over 70 years of age &amp; frontline healthcare workers.  It’s now offering it to those between 65-69 years of age.
2,1360077503742627840,1360077503742627840,2021-02-12,12:05:20,1357545518453321733,thidawi92913600,thida win,,#HearTheVoiceOfMyanmar #SaveMyanmar Healthcare workers are frontline fighters for COVID despite limited resources in Myanmar. Now they are the CDM heroes fighting for justice and democracy. We seriously oppose the arbitrary arrest of the Doctors and healthcare workers in Myanmar,en,[],[],[],0,1,0,"['hearthevoiceofmyanmar', 'savemyanmar']",https://twitter.com/thidawi92913600/status/1360077503742627840,0,[],"['healthcar', 'worker', 'frontlin', 'fighter', 'covid', 'despit', 'limit', 'resourc', 'myanmar', 'cdm', 'hero', 'fight', 'justic', 'democraci', 'serious', 'oppos', 'arbitrari', 'arrest', 'doctor', 'healthcar', 'worker', 'myanmar']",#HearTheVoiceOfMyanmar #SaveMyanmar Healthcare workers are frontline fighters for COVID despite limited resources in Myanmar. Now they are the CDM heroes fighting for justice and democracy. We seriously oppose the arbitrary arrest of the Doctors and healthcare workers in Myanmar
3,1359681318162812928,1359681318162812928,2021-02-11,09:51:02,1005733776196956160,ecornellbygil,eCornell By Genashtim,,"Empathy. Kindness. Sacrifice — These 3 words encapsulate the values of the frontline workers who take care of the sick, putting their own lives at risk. Pray for the sick and praise those who readily work to redress sicknesses!  https://t.co/E9sVNzqECQ",en,[],[],['https://pbs.twimg.com/media/Et6O8QMVoAMJEzi.jpg'],0,0,0,[],https://twitter.com/eCornellbyGIL/status/1359681318162812928,1,[],"['empathi', 'kind', 'sacrific', 'word', 'encapsul', 'valu', 'frontlin', 'worker', 'take', 'care', 'sick', 'put', 'live', 'risk', 'pray', 'sick', 'prais', 'readili', 'work', 'redress', 'sick']","Empathy. Kindness. Sacrifice — These 3 words encapsulate the values of the frontline workers who take care of the sick, putting their own lives at risk. Pray for the sick and praise those who readily work to redress sicknesses!  https://t.co/E9sVNzqECQ"
4,1359656773070639105,1219409456733143040,2021-02-11,08:13:30,15760735,septian,Septian Hartono ن 😷💉,,"[🇸🇬 vaccination update 10 Feb]  💉 Received 1st dose: ~250,000 (~4.4% pop) ✅ Most frontline and essential workers have been vaccinated 👴 Currently vaccinating seniors over 70 years old   https://t.co/PkZuJANPS1  https://t.co/OeqTvcM6ni",en,[],['https://www.pmo.gov.sg/Newsroom/Chinese-New-Year-Message-2021-by-PM-Lee-Hsien-Loong'],['https://pbs.twimg.com/media/Et52NnrUcAQrWnY.jpg'],0,0,2,[],https://twitter.com/septian/status/1359656773070639105,1,[],"['vaccin', 'updat', 'feb', 'receiv', 'dose', 'pop', 'frontlin', 'essenti', 'worker', 'vaccin', 'current', 'vaccin', 'senior', 'year', 'old']","[:Singapore: vaccination update 10 Feb]  :syringe: Received 1st dose: ~250,000 (~4.4% pop) :check_mark_button: Most frontline and essential workers have been vaccinated :old_man: Currently vaccinating seniors over 70 years old   https://t.co/PkZuJANPS1  https://t.co/OeqTvcM6ni"
5,1359063921345368067,1359063921345368067,2021-02-09,16:57:43,1067117468643143680,thulaganyo_k,The Foiine Dr.,,0800 21 21 21  Free 24 hour mental health service for frontline workers.,en,[],[],[],0,3,2,[],https://twitter.com/Thulaganyo_K/status/1359063921345368067,0,[],"['free', 'hour', 'mental', 'health', 'servic', 'frontlin', 'worker']",0800 21 21 21  Free 24 hour mental health service for frontline workers.
6,1356830401520574464,1356830401520574464,2021-02-03,13:02:31,29640361,disha,Disha Goenka Das 🐶,,Twitter’s Post-Super Bowl Tweet Confetti Will Include Thank-You Messages to Frontline Workers  https://t.co/Y2S42aw6Fq,en,[],['https://adweek.it/3cA3J4s'],[],0,0,7,[],https://twitter.com/disha/status/1356830401520574464,0,[],"['twitter', 'bowl', 'tweet', 'confetti', 'includ', 'messag', 'frontlin', 'worker']",Twitter’s Post-Super Bowl Tweet Confetti Will Include Thank-You Messages to Frontline Workers  https://t.co/Y2S42aw6Fq
7,1356809420664147984,1356809420664147984,2021-02-03,11:39:08,22220293,cheguthamrin,cheguthamrin,,After 3 hours wearing gloves and PPE this is normal. 🤣 3 more hours to go! #frontlineworkers #COVID19 #swabbing  https://t.co/fgqYp79RLS,en,[],[],['https://pbs.twimg.com/media/EtRa9v-U4AAc0dK.jpg'],0,0,1,"['frontlineworkers', 'covid19', 'swabbing']",https://twitter.com/cheguthamrin/status/1356809420664147984,1,[],"['hour', 'wear', 'glove', 'ppe', 'normal', 'hour', 'go']",After 3 hours wearing gloves and PPE this is normal. :rolling_on_the_floor_laughing: 3 more hours to go! #frontlineworkers #COVID19 #swabbing  https://t.co/fgqYp79RLS
9,1354691147264790531,1354691147264790531,2021-01-28,15:21:53,3157260415,drochavez,𝑫𝒓𝒐 𝑪𝒉𝒂𝒗𝒆𝒛,,"1/2 [SINGAPORE]  You may pre-register your interest for the vaccination even though the priorities for now are healthcare workers, frontline workers and senior citizens.    Notifications will be sent out when you can make an appointment online.    https://t.co/qFjMW9LI7j",en,[],['https://www.vaccine.gov.sg/'],[],2,0,0,[],https://twitter.com/DroChavez/status/1354691147264790531,0,[],"['singapor', 'may', 'interest', 'vaccin', 'even', 'though', 'prioriti', 'healthcar', 'worker', 'frontlin', 'worker', 'senior', 'citizen', 'notif', 'sent', 'make', 'appoint', 'onlin']","1/2 [SINGAPORE]  You may pre-register your interest for the vaccination even though the priorities for now are healthcare workers, frontline workers and senior citizens.    Notifications will be sent out when you can make an appointment online.    https://t.co/qFjMW9LI7j"
10,1354576043508527109,1354576043508527109,2021-01-28,07:44:30,83341373,russelwongphoto,Russel Wong Photo,,STPI Honours Frontline Healthcare and Social Workers in Singapore by Sharing Art  https://t.co/7W5P23zhcn,en,[],['https://asianjourneys.com.sg/22-Jan-2021/stpi-honours-frontline-healthcare-and-social-workers-in-singapore-by-sharing-art'],[],0,0,0,[],https://twitter.com/russelwongphoto/status/1354576043508527109,0,[],"['stpi', 'honour', 'frontlin', 'healthcar', 'social', 'worker', 'singapor', 'share', 'art']",STPI Honours Frontline Healthcare and Social Workers in Singapore by Sharing Art  https://t.co/7W5P23zhcn
11,1352838915187634176,1352838915187634176,2021-01-23,12:41:46,35297349,rishabhm,Rishabh Mukherjee,,"I know it's still early days, but India seems to administering 1.8L doses/day. At this rate vaccinating 1Cr frontline workers will take slightly over 4 months. That seems off target. Is this because we don't have enough capacity to vaccinate or are people not turning up or CoWin?",en,[],[],[],0,0,0,[],https://twitter.com/rishabhm/status/1352838915187634176,0,[],"['know', 'still', 'earli', 'day', 'india', 'seem', 'administ', 'rate', 'vaccin', 'frontlin', 'worker', 'take', 'slightli', 'month', 'seem', 'target', 'enough', 'capac', 'vaccin', 'peopl', 'turn', 'cowin']","I know it's still early days, but India seems to administering 1.8L doses/day. At this rate vaccinating 1Cr frontline workers will take slightly over 4 months. That seems off target. Is this because we don't have enough capacity to vaccinate or are people not turning up or CoWin?"
12,1350349744040669185,1350349744040669185,2021-01-16,15:50:41,374992192,erongodath,EN Muralidharan,,PM gets emotional while speaking about invaluable contributions of healthcare &amp; frontline workers  https://t.co/uPjToJGJTC  via NaMo App  https://t.co/7UdIRALyaN,en,[],['https://www.youtube.com/watch?v=FbzMKXdpMAM'],['https://pbs.twimg.com/media/Er1n7fxUYAItEz7.jpg'],0,0,0,[],https://twitter.com/Erongodath/status/1350349744040669185,1,[],"['pm', 'get', 'emot', 'speak', 'invalu', 'contribut', 'healthcar', 'amp', 'frontlin', 'worker', 'via', 'namo', 'app']",PM gets emotional while speaking about invaluable contributions of healthcare &amp; frontline workers  https://t.co/uPjToJGJTC  via NaMo App  https://t.co/7UdIRALyaN
13,1350314607211016194,1350314607211016194,2021-01-16,13:31:04,877337100,indiainsingapor,India in Singapore,,Nation pays its debt for their sacrifice today. The frontline healthcare workers receive the vaccines first. -#Respect #Kudos #HealthcareHeroes #LargestVaccineDrive #COVID19Vaccination  https://t.co/R5KyGY73Ls,en,[],[],['https://pbs.twimg.com/media/Er1H-S2VcAE7Szx.jpg'],0,2,3,"['respect', 'kudos', 'healthcareheroes', 'largestvaccinedrive', 'covid19vaccination']",https://twitter.com/IndiainSingapor/status/1350314607211016194,1,[],"['nation', 'pay', 'debt', 'sacrific', 'today', 'frontlin', 'healthcar', 'worker', 'receiv', 'vaccin', 'first']",Nation pays its debt for their sacrifice today. The frontline healthcare workers receive the vaccines first. -#Respect #Kudos #HealthcareHeroes #LargestVaccineDrive #COVID19Vaccination  https://t.co/R5KyGY73Ls
14,1343066167762583559,1343066167762583559,2020-12-27,13:28:22,1014729192498294785,sheridanperkin5,Sheridan Perkins,,"The next several months will be a period of great inequality. Frontline service workers will struggle on without a vaccination, while the rich move right to the front of the queue. I’m sure many have already had their vaccinations, regardless of age or health. Makes me sick.",en,[],[],[],0,0,4,[],https://twitter.com/SheridanPerkin5/status/1343066167762583559,0,[],"['next', 'sever', 'month', 'period', 'great', 'inequ', 'frontlin', 'servic', 'worker', 'struggl', 'without', 'vaccin', 'rich', 'move', 'right', 'front', 'queue', 'sure', 'mani', 'alreadi', 'vaccin', 'regardless', 'age', 'health', 'make', 'sick']","The next several months will be a period of great inequality. Frontline service workers will struggle on without a vaccination, while the rich move right to the front of the queue. I’m sure many have already had their vaccinations, regardless of age or health. Makes me sick."
15,1337982276877967361,1337982276877967361,2020-12-13,12:46:47,21381862,andrewau,Andrew Au 區天驥,,Even though @Time’s Person of the Year is nothing more than a slick marketing ploy how on earth did Biden/Harris get it over frontline healthcare workers?? Media desperately craves validity and credibility. This years #POY achieves neither.,en,"[{'screen_name': 'time', 'name': 'time', 'id': '14293310'}]",[],[],0,0,0,['poy'],https://twitter.com/AndrewAu/status/1337982276877967361,0,[],"['even', 'though', 'person', 'year', 'noth', 'slick', 'market', 'ploy', 'earth', 'get', 'frontlin', 'healthcar', 'worker', 'media', 'desper', 'crave', 'valid', 'credibl', 'year', 'achiev', 'neither']",Even though @Time’s Person of the Year is nothing more than a slick marketing ploy how on earth did Biden/Harris get it over frontline healthcare workers?? Media desperately craves validity and credibility. This years #POY achieves neither.
16,1314730890153533441,1314730890153533441,2020-10-10,08:54:05,2202719095,topkopyc,YC,,"In Singapore, ministers chose to forfeit months of salaries, and extra bonuses given to frontline workers. Stark contrast",en,[],[],[],0,0,0,[],https://twitter.com/TopKopyc/status/1314730890153533441,0,[],"['singapor', 'minist', 'chose', 'forfeit', 'month', 'salari', 'extra', 'bonus', 'given', 'frontlin', 'worker', 'stark', 'contrast']","In Singapore, ministers chose to forfeit months of salaries, and extra bonuses given to frontline workers. Stark contrast"
17,1294637293844811777,1294637293844811777,2020-08-15,22:09:18,872688505,aileenhowhow,Aileenhowhow,"{'type': 'Point', 'coordinates': [1.36436441, 104.02237415]}",Throwback yesterday. POCT trial with 100 participants wrapped up in 3 hours. I must say we have good “blood suckers” here 😂 #pocttrialteam #cecteam4 #ceccmteam1 #covid19 #frontlineworkers…  https://t.co/wOyqqOeEgR,en,[],['https://www.instagram.com/p/CD6avbkHPyJY1hkJnS5lGLp4CuHIVfpME61LiE0/?igshid=1vue5rw5lea6z'],[],0,0,0,"['pocttrialteam', 'cecteam4', 'ceccmteam1', 'covid19', 'frontlineworkers']",https://twitter.com/aileenhowhow/status/1294637293844811777,0,[],"['throwback', 'yesterday', 'poct', 'trial', 'particip', 'wrap', 'hour', 'must', 'say', 'good', 'blood', 'sucker']",Throwback yesterday. POCT trial with 100 participants wrapped up in 3 hours. I must say we have good “blood suckers” here :face_with_tears_of_joy: #pocttrialteam #cecteam4 #ceccmteam1 #covid19 #frontlineworkers…  https://t.co/wOyqqOeEgR
