,fullname,postid,timestamp,username,image_desc,text,location,likes,comments
0,Smart Nation Singapore,2.51E+18,11/2/2021 0:20,smartnation.sg,"Photo by Smart Nation Singapore on February 10, 2021. May be a cartoon of text that says 'HUAT TOGETHER! SG UNTED Smart Nation SINGAPORE'.","Happy NIU Year! Have a safe celebration with #TraceTogether. 

#HuatTogether",,15,1
1,HUE,2.51E+18,11/2/2021 0:00,huehuesg,Photo by HUE in Singapore. May be an image of text that says 'HUE TRAEE TRA TOGETHER EXCLUSIVE colors your day! Hue PEBBLE TOKEN SLEEVE $6.99 ORDER NOW'.,"Light Grey Sleeve
HUE Token Sleeve is exclusively design for the Pebble TraceTogether Token. 

Lets add some fun in our Fight against COVID-19.

You can now COLOR code your pebble and protect it from dust, water and drops!

Buy yours now @ https://www.ihuehue.com/!

#sgunited #tracetogether #tracetogethertoken #gift #allbecuaseofcovid #covid19sg #tracetogethertokensleeve #tracetogethertokensg #tracetogethertokencover #合力追踪 #govtechsg #tokengowhere #contacttracing #sgparents #straitstimes #smartnationsg #channelnewsasia #phase3 #govsg #singapore #sgartweek #singapour #igsg #singaporean #huesg #sghue #vivaxsg",Singapore,0,0
2,VIVAX | VXi | Social Media |,2.51E+18,11/2/2021 0:00,vivaxsg,Photo by VIVAX | VXi | Social Media | in Singapore. May be an image of text that says 'Trace Together Token Pebble Token Sleeve HUE RACE TOGETHE TOKEN VIVA r'.,"Traveling around with your TraceTogether Token during the festive season?
Add some HUE to it now!

HUE Token Sleeve is exclusively design for the Pebble TraceTogether Token. Lets add some fun in our Fight against COVID-19.

You can now COLOR code your pebble and protect it from dust, water and drops!

Buy yours now @ https://www.ihuehue.com/!

#sgunited #tracetogether #tracetogethertoken #gift #allbecuaseofcovid #covid19sg #tracetogethertokensleeve #tracetogethertokensg #tracetogethertokencover #合力追踪 #govtechsg #tokengowhere #contacttracing #sgparents #straitstimes #smartnationsg #channelnewsasia #phase3 #govsg #singapore #sgartweek #singapour #igsg #singaporean #huesg #sghue #vivaxsg",Singapore,2,0
3,HUE,2.51E+18,10/2/2021 12:33,huehuesg,,"Light up your life with the colours of HUE!
Trace Together Token Sleeve 
(Pebble Token Model)

You can now COLOR code your pebble and protect it from dust, water and drops!
Buy yours now @ https://www.ihuehue.com/!

#sgunited #tracetogether #tracetogethertoken #gift #allbecuaseofcovid #covid19sg #tracetogethertokensleeve #tracetogethertokensg #tracetogethertokencover #合力追踪 #govtechsg #tokengowhere #contacttracing #sgparents #straitstimes #smartnationsg #channelnewsasia #phase3 #govsg #singapore #sgartweek #singapour #igsg #singaporean #huesg #sghue #vivaxsg",Singapore,1,0
4,TERU TERU 有晴天ジ 钩针娃娃,2.51E+18,10/2/2021 10:39,teruteruwithcrafts,"Photo by TERU TERU 有晴天ジ 钩针娃娃 on February 10, 2021.","☁︎ 𝙏𝙧𝙖𝙘𝙚𝙩𝙤𝙜𝙚𝙩𝙝𝙚𝙧 token cover
Commissions
Another batch of cover ✨✨✨
😊

Accepting preorder but will only start making it after 14th feb

----
*tracetogether token is a device used in singapore for contact tracing*

Token Base cover pattern available in my posts/highlight ☺️
All four token version available 
---
#tracetogethertoken #合力追踪 #tracetogether #ausgonline #bubbletea #totoro #babyyoda #snorlax #kerochan 
.
.
.
#teruteruwithcrafts #有晴天 #amigurumi #钩针玩偶 #crochet #handmade #手作娃娃 #아미구루미 #編みぐるみ #crochetdoll #instacrafts #instaamigurumi #madeinsg #diy  #handmadesingapore #supportlocalsg #sgcrafters #artistsoninstagram #kawaii","Woodlands, Singapore",42,1
5,TERU TERU 有晴天ジ 钩针娃娃,2.51E+18,10/2/2021 3:11,teruteruwithcrafts,,"☁︎ 𝙏𝙧𝙖𝙘𝙚𝙩𝙤𝙜𝙚𝙩𝙝𝙚𝙧 token cover
Commissions
Baby yoda, bubbletea and totoro
For version 4 (oval white token) ✨✨✨

----
*tracetogether token is a device used in singapore for contact tracing*

Token Base cover pattern available in my posts/highlight ☺️
All four token version available 
---
#tracetogethertoken #合力追踪 #tracetogether #ausgonline #bubbletea #totoro #babyyoda
.
.
.
#teruteruwithcrafts #有晴天 #amigurumi #钩针玩偶 #crochet #handmade #手作娃娃 #아미구루미 #編みぐるみ #crochetdoll #instacrafts #instaamigurumi #madeinsg #diy  #handmadesingapore #supportlocalsg #sgcrafters #artistsoninstagram #kawaii",Singapore,39,2
6,Aurora L 🇸🇬 Momo-chan 🍑,2.51E+18,9/2/2021 15:46,yarnitbunny,"Photo shared by Aurora L 🇸🇬 Momo-chan 🍑 on February 09, 2021 tagging @tinykaki. May be an image of crochet.","Singapore Only - Bunny and Pastel Rainbow token cover: Open for orders!

The pastel feels very Easter-ish... Shall we call it the EasterBuns Token Cover? 🤔 Bunny is squishy like a mochi... Maybe Usamochi Token Cover?
Note: Bunny not edible :P

Made-to-order by #Tinykaki
$12 each! 
Fits the oval-ish tokens, with QR window. 

Dm me to order!

#crochet #yarnitbunny #singaporeonly #tracetogether #tokencover #singapore #staysafe #easter #handmade #sgcrafter #easterbunny #mochibunny #yukiusagi #spring #springbunny #bunny #rabbit #kawaii #cute #ausgonline",Singapore,31,3
7,Just Bike Shop,2.51E+18,9/2/2021 12:36,justbikeshop,"Photo by Just Bike Shop in JUST BIKE SHOP. May be an image of standing, bicycle and text that says 'JUST BIKE SHOP do #01-19 09 FEB 2021 PHASE DAY44 DAY 26"" ""CROLAN 500 THANK YOU 感恩惠顧 ㄹ0리 微笑出发 低碳 健康 KE REP 修服务 REPAIR AIR የኛች'.","貳月貳壹，感恩惠顧
牛轉錢坤，健康出遊
Stay Safe，Stay Well
Thanks for choosing us

#justbikeshop
#UseSafeEntry
#traceTogether
#26erCrolan500-1
#TheBestNewYearGiftEver
#HelloFebruary
#SGunited",JUST BIKE SHOP,1,0
8,Yahoo Southeast Asia,2.51E+18,9/2/2021 6:10,yahoosg,"Photo shared by Yahoo Southeast Asia on February 08, 2021 tagging @wpsgp, and @pritamsingh76. May be an image of 1 person, standing and text that says 'cna 958 · 00 COMMENT: Pritam Singh's good-cop-bad-cop approach will need a reset'.","“In his own quiet and unassuming way, opposition leader Pritam Singh is winning over some Singaporeans with what they call thoughtful speeches in Parliament,” writes veteran journalist PN Balji. 

Commenting on @pritamsingh76’s speech in the recent parliamentary debate on TraceTogether, Balji noted that “the 44-year-old is looking to impose his own style in a political environment that sends mixed signals about what is needed to be respected and supported by Singaporeans.”

Read more: #linkinbio",,30,1
9,Progress Singapore Party (PSP),2.51E+18,9/2/2021 4:26,progresssingaporeparty,"Photo shared by Progress Singapore Party (PSP) on February 08, 2021 tagging @leong.munwai. May be an image of 1 person and text.","The Progress Singapore Party has voted against the amendment to the COVID-19 (Temporary Measures) Bill and maintains its stance that TraceTogether data should only be used for contact-tracing purposes and nothing else.

Our stance follows countries such as Australia where contact-tracing data cannot be accessed by the police and is overseen by an independent body.

Here is a summary of the speech made by NCMP Leong Mun Wai (@leong.munwai) in Parliament recently.

#PSPSG
#ProgressSingaporeParty
#PSPinParliament
#TraceTogether",Parliament of Singapore,195,5
