user_id: 109555293685,username: gov.sg,,,,,,,,,,,
post_id,text,date,image,video,video_thumbnail,video_id,likes,comments,shares,post_url,images,
1.01591E+16,"It has been a year since COVID-19 changed our lives, and we are celebrating Chinese New Year differently this year. Let's celebrate safely, stay united and look out for one another. Steady? ðŸ˜‰",6/2/2021 10:00,,https://scontent.fsin5-1.fna.fbcdn.net/v/t42.1790-4/142910224_2882599778637435_8401006978406903957_n.mp4?_nc_cat=102&ccb=3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=foa5-zwTGTYAX8sQNoK&_nc_oc=AQkrtUYfUbxrP0EsmJ_NRgfkKoZ5c8-dIua8D6HYjdWE-pYYXfLsaEkctkhSKVz3ijQ&_nc_ht=scontent.fsin5-1.fna&oh=91a7e21d388cf8b69b8d73e84f59daf2&oe=6026D196,https://scontent.fsin5-1.fna.fbcdn.net/v/t15.5256-10/cp0/e15/q65/s320x320/131831554_1554874634903097_5247343909128501541_n.jpg?_nc_cat=1&ccb=3&_nc_sid=ccf8b3&_nc_ohc=Gx8XY_y0hSsAX-UobFz&_nc_ht=scontent.fsin5-1.fna&tp=9&oh=a6957202e242a098b5d1c0129c04010c&oe=604CF636,1.55E+15,4570,116,0,https://facebook.com/gov.sg/videos/1554871358236758,[],10159114443383600
1.01592E+16,"[COVID-19: 12 Feb, 12pm update]

As of 12pm, MOH has preliminarily confirmed 2 new cases of locally transmitted COVID-19 infection.

Based on investigations so far, both cases are in the community, and there are no new cases in the dormitories.

There are 16 imported cases, who had already been placed on Stay-Home Notice upon arrival in Singapore. In total, there are 18 new cases of COVID-19 infection in Singapore today.

MOH will share further updates in its press release that will be issued later tonight.

MOH.GOV.SG
MOH | News Highlights",12/2/2021 16:07,,,,,52,2,7,https://facebook.com/gov.sg/posts/10159156065318686,[],10159156065318600
1.01592E+16,"[COVID-19: 11 Feb, 12pm update]

As of 12pm, MOH has preliminarily confirmed 3 new cases of locally transmitted COVID-19 infection.

Based on investigations so far, the cases are in the community, and there are no new cases in the dormitories.

There are 9 imported cases, who had already been placed on Stay-Home Notice upon arrival in Singapore. In total, there are 12 new cases of COVID-19 infection in Singapore today.

MOH will share further updates in its press release that will be issued later tonight.

MOH.GOV.SG
MOH | News Highlights",11/2/2021 16:26,,,,,80,0,9,https://facebook.com/gov.sg/posts/10159153146348686,[],10159153146348600
1.01592E+16,"Your Covid-19 questions answered:

Do we still need to practise safe management measures after getting vaccinated?

#vaccineqnsanswered #vaccinationSG",10/2/2021 17:30,https://scontent.fsin5-1.fna.fbcdn.net/v/t1.0-9/147351560_10159150380433686_4903026712173738231_o.png?_nc_cat=107&ccb=3&_nc_sid=8024bb&_nc_ohc=eX5hyVnqlh8AX-IFpIe&_nc_ht=scontent.fsin5-1.fna&oh=82cd7e1a952b3dae8f732a113fe0fa66&oe=604C38DA,,,,96,2,0,https://facebook.com/gov.sg/posts/10159150380778686,['https://scontent.fsin5-1.fna.fbcdn.net/v/t1.0-9/147351560_10159150380433686_4903026712173738231_o.png?_nc_cat=107&ccb=3&_nc_sid=8024bb&_nc_ohc=eX5hyVnqlh8AX-IFpIe&_nc_ht=scontent.fsin5-1.fna&oh=82cd7e1a952b3dae8f732a113fe0fa66&oe=604C38DA'],10159150380778600
1.01592E+16,"[COVID-19: 10 Feb, 12pm update]

As of 12pm, MOH has preliminarily confirmed 1 new case of locally transmitted COVID-19 infection.

Based on investigations so far, the case resides in a dormitory and there are no new cases in the community.

There are 14 imported cases, who had already been placed on Stay-Home Notice upon arrival in Singapore. In total, there are 15 new cases of COVID-19 infection in Singapore today.

MOH will share further updates in its press release that will be issued later tonight.

MOH.GOV.SG
MOH | News Highlights",10/2/2021 15:52,,,,,78,1,5,https://facebook.com/gov.sg/posts/10159150510648686,[],10159150510648600
1.01591E+16,"The Singapore Green Plan 2030 is a national sustainability movement which aims to rally bold action against climate change, and to make Singapore a greener home.

It is spearheaded by the Ministry of Education, Singapore, Ministry of National Development, Ministry of Sustainability and the Environment, Ministry of Trade & Industry and Ministry of Transport, Singapore.

Join us in our movement to transform Singapore into a greener and more sustainable city.

Visit http://www.greenplan.gov.sg for more information.

#SGGreenPlan",10/2/2021 15:30,,https://video.fsin5-1.fna.fbcdn.net/v/t42.1790-2/10000000_122844579721306_6091110949287942840_n.mp4?_nc_cat=103&ccb=3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=sYUWWQQfHT0AX-Smak5&_nc_ht=video.fsin5-1.fna&oh=b928e44336ec2d4218900e2dad3dba42&oe=6026D5AE,https://scontent.fsin5-1.fna.fbcdn.net/v/t15.5256-10/cp0/e15/q65/s320x320/135560541_247959303435776_5440228277084125111_n.jpg?_nc_cat=103&ccb=3&_nc_sid=ccf8b3&_nc_ohc=KfvcBC1Y7eUAX-13xpW&_nc_ht=scontent.fsin5-1.fna&tp=9&oh=cd3b5e8eafad52494845a1ff60bd33e9&oe=604C48E0,2.48E+14,56,0,0,https://facebook.com/gov.sg/videos/248031636761876,[],10159147844468600
1.01592E+16,"Huat better way to have a safe and Ox-picious Lunar 'Niu' Year? ðŸŠ

âœ… Max 8 unique visitors per household per day
âœ… Visit a max of 2 other households a day and keep it to family
âœ… Keep your mask on when visiting
âœ… When dining out, max 8 per table, no singing/raising voices
âœ… During lohei, keep your mask on and donâ€™t shout auspicious phrases

For more: go.gov.sg/safefamily-fb",10/2/2021 11:15,https://scontent.fsin5-1.fna.fbcdn.net/v/t1.0-9/148366527_10159150194428686_700032791739041569_o.png?_nc_cat=106&ccb=3&_nc_sid=8024bb&_nc_ohc=TlD09AVxIIUAX-HSgZx&_nc_ht=scontent.fsin5-1.fna&oh=72d6794e1c2606ef68846d4d412ee0ab&oe=604A83A1,,,,108,2,0,https://facebook.com/gov.sg/posts/10159150196108686,['https://scontent.fsin5-1.fna.fbcdn.net/v/t1.0-9/148366527_10159150194428686_700032791739041569_o.png?_nc_cat=106&ccb=3&_nc_sid=8024bb&_nc_ohc=TlD09AVxIIUAX-HSgZx&_nc_ht=scontent.fsin5-1.fna&oh=72d6794e1c2606ef68846d4d412ee0ab&oe=604A83A1'],10159150196108600
1.01591E+16,"Your Covid-19 questions answered:

How can the vaccine be safe when it was developed so quickly?

#vaccineqnsanswered #vaccinationSG",9/2/2021 18:00,https://scontent.fsin5-1.fna.fbcdn.net/v/t1.0-9/148184885_10159148066193686_969364678754303870_o.png?_nc_cat=102&ccb=3&_nc_sid=8024bb&_nc_ohc=1z7qatpHwD4AX_B4TgF&_nc_ht=scontent.fsin5-1.fna&oh=391f27745b419846a4c3d876ec479aad&oe=604C2825,,,,71,3,0,https://facebook.com/gov.sg/posts/10159148075273686,['https://scontent.fsin5-1.fna.fbcdn.net/v/t1.0-9/148184885_10159148066193686_969364678754303870_o.png?_nc_cat=102&ccb=3&_nc_sid=8024bb&_nc_ohc=1z7qatpHwD4AX_B4TgF&_nc_ht=scontent.fsin5-1.fna&oh=391f27745b419846a4c3d876ec479aad&oe=604C2825'],10159148075273600
1.01591E+16,"[COVID-19: 9 Feb, 12pm update]

As of 12pm, MOH has preliminarily confirmed no new cases of locally transmitted COVID-19 infection.

There are 11 imported cases, of whom 10 had already been placed on Stay-Home Notice upon arrival in Singapore.

MOH will share further updates in its press release that will be issued later tonight.

MOH.GOV.SG
MOH | News Highlights",9/2/2021 17:10,,,,,101,0,9,https://facebook.com/gov.sg/posts/10159148106658686,[],10159148106658600
1.01591E+16,"You may have heard reports of severe allergic reactions associated with COVID-19 vaccines.

But did you know that only 11 out of over a million people might encounter these reactions?

Here are some quick facts about the COVID-19 vaccines in Singapore, and why itâ€™s important to get vaccinated when your turn comes.

Don't miss the second part of our expert series on vaccines here: https://facebook.com/watch/?v=468117551238708",9/2/2021 17:00,,https://video.fsin5-1.fna.fbcdn.net/v/t42.1790-2/147509893_1884670118358154_8154773659652698379_n.mp4?_nc_cat=101&ccb=3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=szVlMojypbwAX-Eom-z&_nc_ht=video.fsin5-1.fna&oh=a29fb0927a92dcb35edccbc00e24e728&oe=6026D8E7,https://scontent.fsin5-1.fna.fbcdn.net/v/t15.5256-10/cp0/e15/q65/s320x320/134030350_154051416531276_6434628812454301856_n.jpg?_nc_cat=107&ccb=3&_nc_sid=ccf8b3&_nc_ohc=zA82FV_tTdMAX9TQKO9&_nc_oc=AQk82vK9SJX0FaRoH7K2fOJ1cDE4hE7mn4QPgxtCpKAfmOoBQBJUhZGokmcO3z3Ub7E&_nc_ht=scontent.fsin5-1.fna&tp=9&oh=e11335656e7ac78c35588ef8a200bb09&oe=604BF48F,1.54E+14,79,0,0,https://facebook.com/gov.sg/videos/154036119866139,[],10159148001048600
1.01591E+16,"It took a leap forward in vaccine technology, the joint effort of numerous countries, and an unprecedented level of funding, in order to develop the COVID-19 vaccines so quickly.

But those arenâ€™t the only reasons why COVID-19 vaccines in Singapore are safe!

In case you missed the first part, catch it here: https://facebook.com/watch/?v=154036119866139",9/2/2021 17:00,,https://video.fsin5-1.fna.fbcdn.net/v/t42.1790-2/148178011_1608029629387260_3547417069393664779_n.mp4?_nc_cat=108&ccb=3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=A-mOl0ppHXEAX_agH1-&_nc_ht=video.fsin5-1.fna&oh=96e44ca9da1a750c4b88aeed9b8ef957&oe=6026CFC3,https://scontent.fsin5-1.fna.fbcdn.net/v/t15.5256-10/cp0/e15/q65/s320x320/135908033_468132247903905_8499025275959272041_n.jpg?_nc_cat=101&ccb=3&_nc_sid=ccf8b3&_nc_ohc=uLEHPyBGEB4AX9cKF0N&_nc_ht=scontent.fsin5-1.fna&tp=9&oh=253e8d0be8ffbf6f199a9dbef7fa78e5&oe=604CBEB2,4.68E+14,42,0,0,https://facebook.com/gov.sg/videos/468117551238708,[],10159148001308600
1.01591E+16,"Your Covid-19 questions answered:

Why should we get vaccinated when community cases are low?

#vaccineqnsanswered #vaccinationSG",8/2/2021 20:44,https://scontent.fsin5-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/146160342_10159145958543686_7561860173634890489_o.jpg?_nc_cat=100&ccb=3&_nc_sid=8024bb&_nc_ohc=5KAot0dU4ekAX_qPDUy&_nc_ht=scontent.fsin5-1.fna&tp=14&oh=dfbaa5017ca940d69ee6fa91749c7252&oe=604AA965,,,,120,9,0,https://facebook.com/gov.sg/posts/10159145955183686,['https://scontent.fsin5-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/146160342_10159145958543686_7561860173634890489_o.jpg?_nc_cat=100&ccb=3&_nc_sid=8024bb&_nc_ohc=5KAot0dU4ekAX_qPDUy&_nc_ht=scontent.fsin5-1.fna&tp=14&oh=dfbaa5017ca940d69ee6fa91749c7252&oe=604AA965'],10159145955183600
