,Post Description,Post Datetime,Comments,Comment Datetime,num_words
5,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀",2020-11-11 04:49:34+00:00,Singapore got nothing to see,2020-11-14 02:12:52+00:00,5
6,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀",2020-11-11 04:49:34+00:00,👍Please do the same for Philippines.I miss SG very much😥,2020-11-14 10:33:15+00:00,11
7,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀",2020-11-11 04:49:34+00:00,And by the way@singapore are@not@fresh most of them are@imported from@overseas by air freight or sea transportation by the time the food reach Singapore all become rotten,2020-11-14 20:14:29+00:00,26
9,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀",2020-11-11 04:49:34+00:00,"Please allow live band, extending service hours of bars, opening sightseeing places etc. for tourists. 🙏",2020-11-17 12:14:11+00:00,15
14,"Term 3 of the school year started today. For many students, it was the first time back in school after almost two months — students did Home Based Learning when the circuit breaker began in April, and had their mid-year school holidays in May. I’m sure many of you were excited to see friends and teachers again!
⠀⠀⠀⠀⠀⠀⠀
HBL had become the ‘new normal’ during the circuit breaker. Today as we start Phase 1 of our safe opening, there will be yet another ‘new normal’. Students and teachers returned to a different environment than when they were last in school.
⠀⠀⠀⠀⠀⠀⠀
Parents will understandably be anxious for their children. Rest assured that @moesingapore has taken comprehensive measures to keep students, teachers, and staff safe. We will take time to get used to the precautions, but they are necessary to protect everyone. Meanwhile, we are watching the situation closely, and will do everything necessary to gradually resume our normal activities while keeping teachers and students safe. – LHL
⠀⠀⠀⠀⠀⠀⠀
(Xingnan Primary School students queueing up to wash their hands in their classroom. / MOE Photo)⠀⠀⠀⠀⠀⠀⠀",2020-06-02 10:43:16+00:00,"This is amazing news and while we are still fighting for the BLM movement and sending support to our American friends, let us not forget about the more subtle racism which also exists in our society. Change is needed and it is only possible if we are all in it",2020-06-03 06:55:47+00:00,50
15,"Term 3 of the school year started today. For many students, it was the first time back in school after almost two months — students did Home Based Learning when the circuit breaker began in April, and had their mid-year school holidays in May. I’m sure many of you were excited to see friends and teachers again!
⠀⠀⠀⠀⠀⠀⠀
HBL had become the ‘new normal’ during the circuit breaker. Today as we start Phase 1 of our safe opening, there will be yet another ‘new normal’. Students and teachers returned to a different environment than when they were last in school.
⠀⠀⠀⠀⠀⠀⠀
Parents will understandably be anxious for their children. Rest assured that @moesingapore has taken comprehensive measures to keep students, teachers, and staff safe. We will take time to get used to the precautions, but they are necessary to protect everyone. Meanwhile, we are watching the situation closely, and will do everything necessary to gradually resume our normal activities while keeping teachers and students safe. – LHL
⠀⠀⠀⠀⠀⠀⠀
(Xingnan Primary School students queueing up to wash their hands in their classroom. / MOE Photo)⠀⠀⠀⠀⠀⠀⠀",2020-06-02 10:43:16+00:00,My boy keep asking me when I can go back to school? He love to go to school 👍👍👍,2020-06-03 08:20:15+00:00,18
23,"Term 3 of the school year started today. For many students, it was the first time back in school after almost two months — students did Home Based Learning when the circuit breaker began in April, and had their mid-year school holidays in May. I’m sure many of you were excited to see friends and teachers again!
⠀⠀⠀⠀⠀⠀⠀
HBL had become the ‘new normal’ during the circuit breaker. Today as we start Phase 1 of our safe opening, there will be yet another ‘new normal’. Students and teachers returned to a different environment than when they were last in school.
⠀⠀⠀⠀⠀⠀⠀
Parents will understandably be anxious for their children. Rest assured that @moesingapore has taken comprehensive measures to keep students, teachers, and staff safe. We will take time to get used to the precautions, but they are necessary to protect everyone. Meanwhile, we are watching the situation closely, and will do everything necessary to gradually resume our normal activities while keeping teachers and students safe. – LHL
⠀⠀⠀⠀⠀⠀⠀
(Xingnan Primary School students queueing up to wash their hands in their classroom. / MOE Photo)⠀⠀⠀⠀⠀⠀⠀",2020-06-02 10:43:16+00:00,Bro they have a sink in their classrooms 🤭,2020-06-10 14:39:33+00:00,8
32,"Tomorrow, we will be lifting some circuit breaker measures. A big relief to all, but certainly not without its risks.

The number of daily cases in the community has come down considerably. More patients have now recovered and been discharged, than are still receiving care. But COVID-19 is far from defeated.

I know many of you are looking forward to seeing your friends in school again, or visiting parents and grandparents. But we must remain cautious and vigilant.

Please keep your guard up. Maintain safe distancing, wear masks when outdoors and at work, watch your personal hygiene and wash hands frequently. Avoid crowds and gatherings. If we all do this, then life can go on more or less normally after the circuit breaker. We don’t want COVID-19 cases to spike up again, and be forced to tighten up once more.

Dealing with COVID-19 is a marathon, not a sprint. Even after a vaccine is found, everything will not simply go back to the way it was before. COVID-19 has exposed how vulnerable our way of life is. But it has also given us the opportunity to prove our mettle, and come back stronger.

As we end this circuit breaker, I thank everyone again for playing your part, so that we can now reopen safely. We must all keep at it together. Do not allow the sacrifices of our healthcare workers and others who have kept Singapore running to be in vain. – LHL

#SGUnited (MCI Photo by Terence Tan)",2020-06-01 10:00:21+00:00,"Thanks PM Lee. I hope you are reading or it eventually gets to you. Hope the safe distancing measures which we have invested so much resources, such as funds and manpower will not be wasted by being lax in our efforts when it concerns public transportation for the sake of convenience. Thanks",2020-06-05 12:52:25+00:00,52
33,"Tomorrow, we will be lifting some circuit breaker measures. A big relief to all, but certainly not without its risks.

The number of daily cases in the community has come down considerably. More patients have now recovered and been discharged, than are still receiving care. But COVID-19 is far from defeated.

I know many of you are looking forward to seeing your friends in school again, or visiting parents and grandparents. But we must remain cautious and vigilant.

Please keep your guard up. Maintain safe distancing, wear masks when outdoors and at work, watch your personal hygiene and wash hands frequently. Avoid crowds and gatherings. If we all do this, then life can go on more or less normally after the circuit breaker. We don’t want COVID-19 cases to spike up again, and be forced to tighten up once more.

Dealing with COVID-19 is a marathon, not a sprint. Even after a vaccine is found, everything will not simply go back to the way it was before. COVID-19 has exposed how vulnerable our way of life is. But it has also given us the opportunity to prove our mettle, and come back stronger.

As we end this circuit breaker, I thank everyone again for playing your part, so that we can now reopen safely. We must all keep at it together. Do not allow the sacrifices of our healthcare workers and others who have kept Singapore running to be in vain. – LHL

#SGUnited (MCI Photo by Terence Tan)",2020-06-01 10:00:21+00:00,God bless everyone’s ... stay safe ❤️❤️❤️❤️,2020-06-05 15:56:42+00:00,6
36,"Held a virtual summit with New Zealand PM @jacindaardern today. Since our last call nearly two months ago, our countries have moved from strict circuit breaking measures to a gradual, careful easing of restrictions. We talked about technological solutions and shared our strategies, including possible collaboration on vaccine development.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
I was pleased to mark the one-year anniversary of the Singapore-New Zealand Enhanced Partnership, and look forward to expanding our cooperation with new initiatives that both sides value. During the global pandemic, we have spoken up against protectionism and for keeping supply chains intact. Earlier in April, we received 20 tonnes of New Zealand’s fine produce, while New Zealand received medical supplies on the return journey.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
The times are challenging, but we are dealing with the problems one by one, and planning ahead. As part of safe reopening, we are discussing creating a green lane for short-term essential travel between our countries. I hope this works out, and it will not be long before PM Ardern and I can meet in person again. – LHL
⠀⠀⠀⠀⠀⠀⠀⠀⠀
(MCI Photo by Zinkie Aw)",2020-05-27 12:32:16+00:00,Thank you so much for your hard work. Please take good care of your health.,2020-05-29 01:10:26+00:00,15
