,Unnamed: 0,Unnamed: 0.1,name,comment,processed_comment,emoji_decoded_comment
0,0,0,princessteddy218sg,👏👍💖💖💖,[],:clapping_hands::thumbs_up::sparkling_heart::sparkling_heart::sparkling_heart:
1,1,1,ash1eylim,It is what it is but what exactly is it,['exactli'],It is what it is but what exactly is it
2,2,2,sarayaacob,@ruairimcdaid @carmelbradley17,[],@ruairimcdaid @carmelbradley17
3,3,3,sarayaacob,@yasmine877,[],@yasmine877
4,4,4,gatheredatblackmasses,Lawrence Wong has lost some hair,"['lawrenc', 'wong', 'lost', 'hair']",Lawrence Wong has lost some hair
5,5,5,plsdontpofmame,absolute agrees with L. Wong 👍,"['absolut', 'agre', 'wong']",absolute agrees with L. Wong :thumbs_up:
6,6,6,jasontoh5386,"Maybe u can transfer me a $700 and let me invest, then we can split... So that i can get more convince.. Deal?","['mayb', 'u', 'transfer', 'let', 'invest', 'split', 'get', 'convinc', 'deal']","Maybe u can transfer me a $700 and let me invest, then we can split... So that i can get more convince.. Deal?"
7,7,7,joeorjouptoyou,People are already going out and behaving as if there's no covid. Just mask up for everyone and protect those who are immuno compromised and the elderly. How long you going to turtle.,"['peopl', 'alreadi', 'go', 'behav', 'covid', 'mask', 'everyon', 'protect', 'immuno', 'compromis', 'elderli', 'long', 'go', 'turtl']",People are already going out and behaving as if there's no covid. Just mask up for everyone and protect those who are immuno compromised and the elderly. How long you going to turtle.
8,8,8,englingang,"Allo Leong, the virus is like a live target, what road maps? The recovery process is a look and see. Push everyone to Smart Phones usage? You must be blind! Look at the struggling seniors, you better not be running my government!","['allo', 'leong', 'viru', 'like', 'live', 'target', 'road', 'map', 'recoveri', 'process', 'look', 'see', 'push', 'everyon', 'smart', 'phone', 'usag', 'must', 'blind', 'look', 'struggl', 'senior', 'better', 'run', 'govern']","Allo Leong, the virus is like a live target, what road maps? The recovery process is a look and see. Push everyone to Smart Phones usage? You must be blind! Look at the struggling seniors, you better not be running my government!"
9,9,9,englingang,👏 Kudos to Lawrence Wong’s response to some of the most idiotic questions!,"['kudo', 'lawrenc', 'wong', 'respons', 'idiot', 'question']",:clapping_hands: Kudos to Lawrence Wong’s response to some of the most idiotic questions!
10,10,10,loonelysoul,"Every 60 seconds, a minute passes","['everi', 'second', 'minut', 'pass']","Every 60 seconds, a minute passes"
11,11,11,keannnnner,Wtf he didn’t even answer the question of the use of tokens,"['wtf', 'even', 'answer', 'question', 'use', 'token']",Wtf he didn’t even answer the question of the use of tokens
12,12,0,faithlauv,Hang in there @teohengofficial ... We miss youu,"['hang', 'miss', 'youu']",Hang in there @teohengofficial ... We miss youu
13,13,1,_toomuchramen,well played,"['well', 'play']",well played
14,14,2,188cmonlyyou,siam diu le. A lot siam bu waiting for me le. 😢😢😢,"['siam', 'diu', 'le', 'lot', 'siam', 'bu', 'wait', 'le']",siam diu le. A lot siam bu waiting for me le. :crying_face::crying_face::crying_face:
15,15,3,m.arkerss,@sxd.ded bistro,['bistro'],@sxd.ded bistro
16,16,4,dj.highness,I see @djnashd 😍,['see'],I see @djnashd :smiling_face_with_heart-eyes:
17,17,5,mxrrrza,Mamposssss @fido___,['mamposssss'],Mamposssss @fido___
18,18,6,sabbwie,The true definition of RIP @just_.jojojo,"['true', 'definit', 'rip']",The true definition of RIP @just_.jojojo
19,19,7,still.dre.day,nobody cares abt this,"['nobodi', 'care', 'abt']",nobody cares abt this
20,20,8,omgoing,@alicialoh oh nooooo,"['oh', 'nooooo']",@alicialoh oh nooooo
21,21,9,mag_mlc,Good shout 🙌,"['good', 'shout']",Good shout :raising_hands:
22,22,10,mag_mlc,Good shout 🙌,"['good', 'shout']",Good shout :raising_hands:
23,23,11,ilyawoof,wah no bazaar but can club bs,"['wah', 'bazaar', 'club', 'bs']",wah no bazaar but can club bs
24,24,12,ilyawoof,wah no bazaar but can club bs,"['wah', 'bazaar', 'club', 'bs']",wah no bazaar but can club bs
25,25,13,isabxllaaaaaa,AAA @khaiiie_,['aaa'],AAA @khaiiie_
26,26,14,itsamood.2021,Good. Let all the nightclubs and siam dui close down. 👏,"['good', 'let', 'nightclub', 'siam', 'dui', 'close']",Good. Let all the nightclubs and siam dui close down. :clapping_hands:
27,27,15,5.78hf,Go Korea club ? @w3n_han @ohitsgabriel_,"['go', 'korea', 'club']",Go Korea club ? @w3n_han @ohitsgabriel_
28,28,16,isabxllaaaaaa,AAA @khaiiie_,['aaa'],AAA @khaiiie_
29,29,17,xfuri0rity__,Fk up,['fk'],Fk up
30,30,18,mwzjamin,Teo not heng enough,"['teo', 'heng', 'enough']",Teo not heng enough
31,31,19,octifi_lifestyle,😨😨😨,[],:fearful_face::fearful_face::fearful_face:
32,32,20,sweetjordanlim,😢,[],:crying_face:
33,33,21,yethidran_prakash_nair,"@papsingapore you know why you lose your votes?? Thanks to you bringing in more imported cases and then infecting our own people, and now causing nightclubs to still remain close!","['know', 'lose', 'vote', 'thank', 'bring', 'import', 'case', 'infect', 'peopl', 'caus', 'nightclub', 'still', 'remain', 'close']","@papsingapore you know why you lose your votes?? Thanks to you bringing in more imported cases and then infecting our own people, and now causing nightclubs to still remain close!"
34,34,22,celestegohhh,zouk open alr ?,"['zouk', 'open', 'alr']",zouk open alr ?
35,35,23,1.60sm,Teo Heng can't wait anymore they're already closing for good 😭😭😭😭,"['teo', 'heng', 'ca', 'wait', 'anymor', 'alreadi', 'close', 'good']",Teo Heng can't wait anymore they're already closing for good :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
