,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
23,23,U tell me Pappies not corrupt?,15/2/21,0.25,1.0,0.0,1.0,0.0,0.0,fear
116,119,So many levels of fucked up.,6/10/20,-0.04999999999999999,0.6,0.468,0.532,0.0,-0.6597,fear
118,121,Fucked.,6/10/20,-0.6,0.7,1.0,0.0,0.0,-0.6597,fear
155,158,The idea that call centre workers in developing markets could work from home is kind of crazy.,15/4/20,0.0,0.9,0.144,0.856,0.0,-0.4005,fear
157,160,Sleeping on the floor at work is no more inhuman than the salaries.,15/4/20,-0.25,0.5,0.155,0.845,0.0,-0.296,fear
175,182,I just prayed everything will be okay.,24/2/21,0.5,0.5,0.0,0.725,0.275,0.2263,fear
203,210,"@2damntrans Some bear species can be tamed, especially if adopted as cubs.",21/2/21,0.0,1.0,0.0,1.0,0.0,0.0,fear
219,226,"“Trees that instead grow in the open sun, without their mom’s shade, grow very fast, gorging on all the light they can absorb.",19/2/21,0.22,0.66,0.0,1.0,0.0,0.0,fear
253,260,"Mom: [watching in awe as leaves are blown off trees, clouds build up, and a massive tree break into half, literally!]",22/11/20,-0.3194444444444444,0.7222222222222222,0.0,1.0,0.0,0.0,fear
287,294,"I'm mom, I'm human, I'm not perfect, sometimes i get sick, sometimes i get tired, but no one will ever love my son as much as I do.",10/8/20,-0.1523809523809524,0.5761904761904763,0.256,0.576,0.167,-0.0256,fear
325,332,Mom is stuck at the hospital because the doctors can’t figure out what kind of illness she has because they have never seen anything like it before.,18/5/20,0.6,0.9,0.228,0.772,0.0,-0.7272,fear
329,336,It’s the kind that  comes from a single Mom.,10/5/20,0.2642857142857143,0.5571428571428572,0.0,0.673,0.327,0.5267,fear
361,368,Imagine that while trying to concentrate on revision with her shouting and screaming and pointing her finger right in your face the entire day.,17/4/20,0.14285714285714285,0.5803571428571428,0.102,0.898,0.0,-0.3818,fear
378,385,"I mean, is there a better opportunity to confront someone than while you're both in a moving vehicle...",14/3/20,0.09375,0.59375,0.088,0.619,0.294,0.6124,fear
382,389,I love eating to the point my mom has to stop me from doing it...🙃 lol love my mom tho❤️,13/2/20,0.6,0.6333333333333333,0.077,0.528,0.394,0.875,fear
398,405,"Then, out of nowhere, i started to burst out crying and sobbing like crazy.",25/1/20,-0.4,0.75,0.413,0.459,0.128,-0.6808,fear
405,412,"I used to love these things, I think I sucked on one until I was 6?",18/1/20,0.5,0.6,0.174,0.581,0.244,0.296,fear
407,414,One time I dropped it out of a window from the 9th floor and I cried and cried and made my mom go look for it downstairs lol god that's insufferable,18/1/20,0.8,0.7,0.152,0.704,0.144,-0.0772,fear
434,474,"Usually this kind of death will not trigger a need to go through swab, so if the deceased is infected with COVID then it will be a risk to funeral directors.",8/3/21,0.175,0.575,0.324,0.676,0.0,-0.8999,fear
436,476,Will they be given mc if any 'mild' side effects shown up?,9/3/21,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,fear
437,477,That could be a serious consideration to the bosses.,9/3/21,-0.3333333333333333,0.6666666666666666,0.157,0.843,0.0,-0.0772,fear
443,483,However definitely those who hv vaccinated can freely stay or do whatever with the person who hv not vaccinated only in the house not in public area.,11/3/21,0.1,0.5916666666666667,0.0,0.817,0.183,0.6808,fear
446,486,"In any emergency (illness, sick) the unvaccinated person will be given in house treatment.",11/3/21,-0.7142857142857143,0.8571428571428571,0.167,0.833,0.0,-0.3818,fear
452,492,"Here the politician plays very important role, either to defend their citizens either ignore it.",11/3/21,0.52,1.0,0.134,0.645,0.22,0.1513,fear
465,505,Lol,9/3/21,0.8,0.7,0.0,0.0,1.0,0.4215,fear
475,515,All these imports from so high risk countries and yet we continue letting them in - suppose to be Covid tested free - but they landed â€˜infected positiveâ€™ and yet we continue to let people from these â€˜negative-positiveâ€™ countries to come in .. these only mean that their â€˜negative testsâ€™ are unreliable and and most probably â€˜boughtâ€™... how can we continue to risk Sgp in this way with so many repeated â€˜infectedâ€™ imports from these high risk hotspot countries for so long to come in ... a stop has to be made !,3/2/21,0.168125,0.6209375,0.112,0.865,0.022,-0.8301,fear
518,558,The PCR test with its extreme sensitivity was initially perfect to find out where the virus could be.,9/9/20,0.4375,1.0,0.0,0.821,0.179,0.5719,fear
533,573,"The reality is one small room staying 18 or 20 people currently there very difficult to maintain safe distance measure, easily can get affected again !!!!",24/6/20,0.12,0.6266666666666667,0.134,0.669,0.197,0.4723,fear
547,587,work pass holders and work permit holders comprised of the greater numbers of the cases reported... they are diagnosed with covid-19 yet SG is considering free access with no checks for Malaysians who are coming in to work in SG.,22/6/20,0.45,0.65,0.049,0.822,0.129,0.5574,fear
556,596,Those whom are caught will be repatriated at their own cost/ jail term.,13/6/20,0.25,0.5,0.0,1.0,0.0,0.0,fear
586,626,"But going to such places isnâ€™t advisable, not many would have listen and follow as they think is their rights.",13/6/20,-0.125,0.5,0.0,1.0,0.0,0.0,fear
617,657,"many  of the FDW doesn't know there are many remittance service, without queueing up.I use singtel dash to remmit money home,therefore I dont have to go out.",13/6/20,0.5,0.5,0.0,1.0,0.0,0.0,fear
696,736,She is also concerned about catching the virus.,14/6/20,0.6,0.9,0.0,1.0,0.0,0.0,fear
726,766,"I think  if the employer let their helper to send money and buy essential things during weekdays i think it can help to avoid crowded in Lucky plaza,",13/6/20,0.16666666666666666,0.5666666666666667,0.069,0.685,0.246,0.6908,fear
727,767,"To all employers.....very simple yet very reasonable explaination...nxtime if your worry about ur helper out for too long outside dont let her be out of such long period of time..just let her out only for important matter what is it,?",13/6/20,0.07,0.5608928571428571,0.066,0.814,0.12,0.1027,fear
741,781,"This virus creat many problems in almost every countries in the world, and still no solution to stop it, just hope it go away one day.",13/6/20,0.5,0.5,0.213,0.631,0.156,-0.2263,fear
771,812,Stay home also stress make us mad don't know what to do.,13/6/20,-0.625,1.0,0.375,0.625,0.0,-0.7184,fear
776,817,How could NEA turn a blind eye to certain locations which is well known for  certain group to  congregate?,13/6/20,-0.023809523809523808,0.6031746031746031,0.117,0.609,0.274,0.3818,fear
786,827,Well its very easy to say to ur maid not to go out during their offdays instead stay home and rest.Is it applied here by all employers to let their helpers rest during their offdays?,13/6/20,0.5633333333333334,1.0,0.0,0.812,0.188,0.7501,fear
797,838,"There seems to be very little enforcement, just go to any famous natonal park in the night.",13/6/20,0.128125,0.825,0.0,1.0,0.0,0.0,fear
813,854,"I think #GOV #MOM should send these maids a strong warning... Their employment pass will b terminated n they have to pay their flight if they DO NOT obey SG laws ,  if they take this opportunity to go home then b it better than bringing home viruses n SG has to restart everything again.",13/6/20,0.4666666666666667,0.6166666666666667,0.026,0.802,0.172,0.8422,fear
824,865,Esp if your employer does not respect your own time during your off day at home.,13/6/20,0.6,1.0,0.145,0.855,0.0,-0.3724,fear
850,891,We must all follow the phases so that we can make a full recovery to reopen the economy.,13/6/20,0.35,0.55,0.0,1.0,0.0,0.0,fear
865,906,"The fight is far from over yet, do not get complacent and let your guard down.",11/6/20,-0.02777777777777779,0.6444444444444445,0.146,0.786,0.069,-0.3352,fear
875,916,We should be ready now to implement phase 2 of the CB.,11/6/20,0.2,0.5,0.0,0.8,0.2,0.3612,fear
894,935,"If the people living in Orchard, Tanglin, Novena, Dunearn, and in the Eastern area of Katong and Marine Parade, rich people can accept them in their own backyard.",4/6/20,0.24166666666666667,0.6611111111111111,0.0,0.807,0.193,0.7351,fear
930,971,"Now people if affect the virus also nothing, all body now adjustable the virus and recovering  and not get major problem...if 1 person felling sick...so full dormitory give home quarantine.",9/9/20,0.20625,0.525,0.0,1.0,0.0,0.0,fear
931,972,"before also anytime people can sick,or body pain etc.I don't know why.... what ever before doing MOH it's good for all  but now MOH doing the think it's much crazy.",9/9/20,0.04999999999999999,0.75,0.154,0.789,0.057,-0.5106,fear
935,976,Why India getting more cases reported everyday and still the country is open to Indian travellers.,10/9/20,0.09999999999999999,0.5333333333333333,0.0,1.0,0.0,0.0,fear
952,993,"We may not be expert in medical or infectious disease,we only want to seek clarification.",13/5/20,0.0,0.5,0.0,0.915,0.085,0.0772,fear
960,1002,Shoudn't we hit 0 community cases before easing more measures?,13/5/20,0.5,0.5,0.0,0.8,0.2,0.25,fear
967,1009,"MOH, MOE & MINISTER LAWRENCE WONG: Every day high # of infected in d dorms reported.",13/5/20,0.16,0.5399999999999999,0.211,0.789,0.0,-0.4939,fear
972,1014,It takes only 1 infected in d trn to b the SPREADER🤮 STAY @HOME👍,13/5/20,0.0,1.0,0.242,0.758,0.0,-0.4939,fear
1002,1044,"These are rank and file workers who are marginally paid, and now possibly without income because of stop work and isolation, many of them will be under tremendous stress, beside the fear of infection.",5/4/20,0.008333333333333318,0.85,0.267,0.733,0.0,-0.872,fear
1010,1052,The risk of infection is very high among them,5/4/20,0.20800000000000002,0.702,0.208,0.792,0.0,-0.2732,fear
1029,1071,There are a number of ‘abandoned’/empty buildings all around Singapore - what about quickly cleaning up those areas and getting the workers to split up into smaller groups and isolate themselves there?,6/4/20,0.16666666666666666,0.5,0.058,0.9,0.042,-0.128,fear
1031,1073,We could only pray for the quick contain of the spread and employers cooperate with  MOH.,6/4/20,0.16666666666666666,0.75,0.0,0.867,0.133,0.3182,fear
1044,1086,I had observed many eateries and the manner and hygiene level of food handling is appalling.,6/4/20,0.07500000000000001,0.7,0.152,0.848,0.0,-0.3612,fear
1047,1089,Asymptomatic carriers of the virus has emerged to be a seriously hard problem to solve and needs to be identified/separated as early as possible.,6/4/20,-0.0638888888888889,0.6138888888888888,0.218,0.714,0.068,-0.4588,fear
1070,1112,This will cause a massive infestation.,6/4/20,0.0,1.0,0.0,1.0,0.0,0.0,fear
1077,1119,As a son if this land without question I will fight for her as my love ones are here.,6/4/20,0.5,0.6,0.0,0.701,0.299,0.7494,fear
1085,1127,Did I say something wrong.,6/4/20,-0.5,0.9,0.508,0.492,0.0,-0.4767,fear
1105,1147,"Tell the people seriously that it is in fact a lockdown and they are to stay at home, stop telling people ""CB"",there is no emotion attached to ""CB"".",10/4/20,-0.3333333333333333,0.6666666666666666,0.203,0.797,0.0,-0.6249,fear
1144,1186,"If they didn't isolate or quarantine themselves after returning from home trip or went on holidays during such a time, it's a selfish act n never think of the safety for others!",6/4/20,-0.3125,0.75,0.088,0.707,0.206,0.4912,fear
1153,1196,Now the bosses are more concern abt admin stay home wo work till 4may.,6/4/20,0.5,0.5,0.0,1.0,0.0,0.0,fear
1164,1207,"In order to cut the cost of housing the workers at the dormitory and transportation to fetch the worker from the dormitory, we hope government will reconsider to allow more industrial premises which are suitable to operate as the primary dormantry to house their own workers.",7/4/20,0.5125000000000001,0.6875,0.042,0.862,0.096,0.4019,fear
1180,1225,"It any crisis like what wr are having now, the ones that truly count are the ones with modest status in work life.",28/4/20,0.1,0.9,0.139,0.678,0.183,0.0772,fear
1224,1271,"Negative comment people ever think if the  415,000 Malaysian that everyday come into Singapore to work but suddenly not working, who is going to fill in the gap ?",17/3/20,-0.16666666666666666,0.5,0.08,0.92,0.0,-0.3291,fear
1235,1282,In these 14 days Malaysian should have enough time looking for room to rent in Singapore.,18/3/20,0.0,0.5,0.0,1.0,0.0,0.0,fear
1253,1300,"Give a barber a choice, wear full PPE and limit to 1 customer per hour or stay at home and wait.. what would be his choice?",1/5/20,0.35,0.55,0.0,1.0,0.0,0.0,fear
1261,1308,"Some may take longer, so a safe time will be 2 cycles, 28 days.",4/5/20,0.5,0.5,0.0,0.746,0.254,0.5777,fear
1300,1365,Just hope those numbskulls that breaks the precautionary measures be severely warn or imposed a fined so painful that they will think twice or even think thrice about breaking those rules.,6/4/20,-0.7,0.9,0.31,0.615,0.074,-0.8016,fear
1305,1370,"Especially the patience and tolerance in allowing the citizens to still have a way of life, though limiting.",5/4/20,0.0,1.0,0.0,0.879,0.121,0.296,fear
1313,1378,Do the authorities have to detail everything out or even make it more strict to keep people at home?,5/4/20,0.5,0.5,0.0,1.0,0.0,0.0,fear
1318,1383,"People out there have familes, children and loved ones who dont want this, and neither does the Gov who is trying to protect us all.",5/4/20,0.7,0.8,0.041,0.74,0.219,0.7413,fear
1338,1403,The bigger clusters is a result of dormitories having higher density   crammed.,6/4/20,0.125,0.5,0.0,1.0,0.0,0.0,fear
1340,1405,It would be ideal if density at these dormitories are reduced significantly.,6/4/20,0.6375,0.9375,0.0,0.764,0.236,0.5267,fear
1350,1415,We need to be able to quickly identify & isolate any such persons from the crowded dormitories.,6/4/20,0.27777777777777773,0.5416666666666666,0.107,0.893,0.0,-0.2023,fear
1383,1448,Worse is she gets physically or sexually abused!,5/3/21,0.11249999999999999,0.7166666666666667,0.527,0.473,0.0,-0.7712,fear
1419,1484,The mindset of money before safety is always bad.,3/3/21,-0.6999999999999998,0.6666666666666666,0.263,0.526,0.211,-0.1779,fear
1420,1485,Safety only have to power to advise and implement the system.,3/3/21,0.0,1.0,0.0,0.781,0.219,0.4215,fear
1432,1497,Indranee Rajah May I ask how ICA or the relevant body judge on the applicant's ability to integrate?,27/2/21,0.4,0.9,0.0,0.874,0.126,0.3182,fear
1454,1519,The number of imported citizens and pr far exceeds natural born That’s the reason why resources are not enough to go around,27/2/21,0.06666666666666667,0.6333333333333333,0.0,0.84,0.16,0.4215,fear
1471,1537,Singapore has sadly become one of the most xenophobic countries.,26/2/21,0.0,0.75,0.237,0.763,0.0,-0.4215,fear
1474,1540,The world doesn't need Singapore; we can disappear tomorrow and most people in the world won't even notice.,26/2/21,0.5,0.5,0.101,0.899,0.0,-0.2263,fear
1498,1564,There should be a bigger cut and control on E Pass where they took on PMET roles (non specialised skills).,16/2/21,0.0,0.5,0.11,0.89,0.0,-0.2732,fear
1513,1579,"To contain the general conditions, we seriously demand To release Mr. President, state counsellor and all detainees.",3/2/21,-0.14166666666666666,0.5833333333333333,0.176,0.824,0.0,-0.296,fear
1514,1580,"To recognize the approved results of 2020 general election To implement parliamentary sessions in accordance with constitution   We call for peace, stability and democratic culture development in Myanmar earnestly.",3/2/21,0.05000000000000002,0.5,0.0,0.811,0.189,0.743,fear
1542,1616,Salute to the hard work by MOH.,19/12/20,-0.2916666666666667,0.5416666666666666,0.189,0.811,0.0,-0.1027,fear
1544,1618,"Infact, staying in any hotel, are in great risk ,especially the room.",19/12/20,0.4,0.875,0.13,0.617,0.253,0.4588,fear
1550,1624,Play safe and stay at home.,19/12/20,0.5,0.5,0.0,0.43,0.57,0.6486,fear
1552,1626,MOH advise those that stay there during the period to monitor their own health.,19/12/20,0.6,1.0,0.0,1.0,0.0,0.0,fear
1553,1627,That dangerous tbh.,19/12/20,-0.6,0.9,0.608,0.392,0.0,-0.4767,fear
1579,1653,"Can you picture what the HDB Estates will look like, Who's going to fill up your tank at the petrol station, Drive our buses and more importantly carry out the construction.",15/12/20,0.45,0.75,0.0,0.851,0.149,0.624,fear
1586,1660,"If u apologized only when u are asked, then it is not much of an apology.",15/12/20,-0.05,0.6,0.0,0.774,0.226,0.3612,fear
1587,1661,"The ""lockup"" of the dorms to restrict the spread of Covid-19 is a must but painful step.",15/12/20,-0.7,0.9,0.288,0.712,0.0,-0.6858,fear
1600,1674,"If it's a resounding No, then clearly something is wrong.",15/12/20,-0.19999999999999998,0.6416666666666666,0.379,0.429,0.193,-0.3818,fear
1608,1683,"In such a challenging times n with the pandemic still gg on, SG gov had managed to secure vaccine for her citizens .",15/12/20,0.3,0.7000000000000001,0.0,0.733,0.267,0.6369,fear
1610,1685,Open our eyes n look around the world n it’ll not be difficult to see the difference.,15/12/20,-0.25,0.75,0.0,0.869,0.131,0.2755,fear
1615,1690,"Really appreciate what SG government has done...It takes a huge amount and years of building up trust n excellent networking, to be able to secure the vaccines from the manufacturers...N most importantly, it is free for SG citizens n long term residents..Not every government has the means to achieve this level of high competency.. please learn to appreciate..",15/12/20,0.39,0.6183333333333334,0.0,0.673,0.327,0.9678,fear
1618,1693,The vaccine if it is proven and effective than government should make its compulsory for every nation to have the jab just like BCG jab!,15/12/20,0.75,0.8,0.0,0.796,0.204,0.7088,fear
1627,1702,"Making informed decision, in this context of Covid19 vaccination, is something Minister Gan expressed yesterday, which you reported here: https://www.straitstimes.com/singapore/nuts-and-bolts-of-spores-covid-19-vaccine  ""To provide more information for people to make an informed choice, the taskforce will continue to engage them to clarify the status of vaccines, their benefits, and the possible experiences people may have as they come forward to be vaccinated.",15/12/20,0.25,0.75,0.0,0.921,0.079,0.6124,fear
1635,1710,The use of RNA vaccine is a concern versus the traditional and tested vaccine from deactivated virus (as in Sinopharm case),15/12/20,0.0,0.75,0.0,1.0,0.0,0.0,fear
1637,1712,No one can guarantee what will happen when vaccination is given to every individual  hence it cannot be mandated.Imagine the number of lawsuits that will be flying around I guess maybe indemnity will be signed to absolve the pharma companies or any govt of any responsibility in the event of something gone wrong if vaccinated.,15/12/20,-0.25,0.65,0.114,0.795,0.091,-0.34,fear
1660,1735,Only to those who are struggling in their personal lifestyle for whatever reason/s whereas to those who do not have a worry in the world like that bird on the tree branch life goes on as normal covid or not so long as the sun will be rising tomorrow morning punctually what is there to get depressed?,19/8/20,0.024999999999999998,0.5875,0.097,0.825,0.078,-0.2946,fear
1662,1738,All patients visit a clinic must test for covid19 and all swabs will put into one tube before sending to lab for test everyday.,25/6/20,-0.2,0.6,0.0,1.0,0.0,0.0,fear
1696,1772,VOTE IN A STRONG PARLIAMENT,30/5/20,0.4333333333333333,0.7333333333333333,0.0,0.476,0.524,0.5106,fear
1714,1790,Truly appreciate the the hard work put in.,14/9/20,-0.2916666666666667,0.5416666666666666,0.117,0.417,0.467,0.6369,fear
1764,1841,God continue to bless and keep Singapore safe.,13/6/20,0.5,0.5,0.0,0.391,0.609,0.7783,fear
1769,1846,The restaurant has to further limit the number if there are additional health or safety concerns.,14/6/20,0.0,0.5,0.0,0.773,0.227,0.4767,fear
1780,1858,"We are such a small country, but the spread in dormitories still not under control, is it somewhere goes wrong but yet rectify or detected ?",12/6/20,-0.25,0.6,0.153,0.847,0.0,-0.631,fear
1796,1874,"This is not a sprint, more like a marathon.",12/6/20,0.5,0.5,0.279,0.721,0.0,-0.3241,fear
1817,1895,"May God bless us all with His peace that transcends human understanding that we may not be fearful, worried nor anxious about anything.",2/5/20,-0.3833333333333333,0.7000000000000001,0.0,0.537,0.463,0.9128,fear
1832,1911,"Most of the covid-19 cases came from FW(Dorms), almost 90%.",21/4/20,0.5,0.5,0.0,1.0,0.0,0.0,fear
1836,1915,Sir....please open up to us earlier as a lot of people are suffering during this covid time.,21/4/20,0.0,0.5,0.171,0.829,0.0,-0.4767,fear
1843,1922,"Do construction, sweep floor , clean the rubbish , cut the trees at the road side, road repairs .",21/4/20,0.3666666666666667,0.7000000000000001,0.112,0.745,0.144,0.1531,fear
1854,1933,"For those stubborn elders, apply family pressure which may b more effective.",21/4/20,0.55,0.65,0.301,0.491,0.208,-0.1298,fear
1856,1935,We the socially responsible obedient citizens diligently following the CB are suffering too.,21/4/20,0.20000000000000004,0.5166666666666667,0.189,0.671,0.14,-0.2023,fear
1868,1947,I know it is a very stressful time for every Singaporean now as we see a great surge in the number of cases and the CB being extended.,21/4/20,0.5,0.525,0.116,0.71,0.174,0.204,fear
1877,1956,There is no need to be lenient to those who arrogantly flout Stay Home advice.,21/4/20,0.5,0.9,0.262,0.628,0.11,-0.4404,fear
1883,1962,Luckily we are not one of the countries in the world to have the highest number of deaths and infections today.,21/4/20,0.3333333333333333,0.8333333333333334,0.0,0.805,0.195,0.5574,fear
1885,1964,I think the answer is obvious.,21/4/20,0.0,0.5,0.0,1.0,0.0,0.0,fear
1888,1967,I have been in China before the outbreak and witnessed the effective actions taken.,21/4/20,0.6,0.8,0.0,0.795,0.205,0.4767,fear
1900,1979,"Hearing them, hearing their fears and seeing their living condition and when all this is over, let’s work to make their lives better here.",21/4/20,0.5,0.5,0.101,0.794,0.105,0.0258,fear
1906,1985,The healthy FWs at west life dorms in Toh Guan are still housed in shared rooms of 7 workers per room.,22/4/20,0.5,0.5,0.0,0.779,0.221,0.6249,fear
1914,1994,"I think may be its time to have a doctor talking about the dormitory workers conditions and how they intend to do if assuming worst case scenario of 10,000 or more .",21/4/20,-0.25,0.75,0.128,0.872,0.0,-0.6249,fear
1920,2000,"Dear Sir,  One more concern- can you let us know what are your plans for those EP and DP holders who are still stranded overseas?",21/4/20,0.5,0.5,0.0,0.902,0.098,0.3818,fear
1938,2018,Just extend 1 month is not enough.,21/4/20,0.0,0.5,0.0,0.746,0.254,0.1779,fear
1950,2030,It is not safe  for exercising people to pass by each other or one is running behind another when mask is off.,21/4/20,-0.25833333333333336,0.525,0.103,0.897,0.0,-0.3412,fear
1993,2073,"If Fairprice can offer free delivery to elderly people FOC, this will definitely cut down their exposure and can also avoid going out.",22/4/20,0.08148148148148147,0.5296296296296297,0.147,0.648,0.205,0.4019,fear
2036,2116,Because it doesn’t look like a vaccine will be ready in a year or more to come.,21/4/20,0.35,0.5,0.0,0.722,0.278,0.6124,fear
2051,2131,"and stay with those worker to experience the environment, and if tested +ve pay their own medical bill.",21/4/20,0.3,0.5,0.076,0.924,0.0,-0.1027,fear
2074,2154,"Can some shop open like 1,3,5,and 2,4,6 , I am using  motor wheelchair and it's hard for me to go inside N. t. U.",25/4/20,-0.14583333333333334,0.5208333333333333,0.059,0.837,0.105,0.2732,fear
