,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
0,0,"Very good People instead of whining here should go do some gigs by now Really have difficulty then declare loh Already more than 1 year since covid, if no special circumtances, should stand up by yourself now",3/2/21,0.3578571428571428,0.5128571428571429,0.155,0.71,0.135,0.0296,anger
1,1,"psytxtbk4exam wrote: Very good People instead of whining here should go do some gigs by now Really have difficulty then declare loh Already more than 1 year since covid, if no special circumtances, should stand up by yourself now https://forums.hardwarezone.com.sg/e...e-6455513.html",3/2/21,0.3578571428571428,0.5128571428571429,0.145,0.728,0.126,0.0296,anger
2,2,"psytxtbk4exam wrote: Very good People instead of whining here should go do some gigs by now Really have difficulty then declare loh Already more than 1 year since covid, if no special circumtances, should stand up by yourself now So fast 1 year",3/2/21,0.32628571428571423,0.5302857142857144,0.139,0.74,0.121,0.0296,anger
5,5,His experience and background in the military makes him the perfect person to propose such solutions and we should listen to him carefully.,3/3/21,0.2,0.65,0.0,0.743,0.257,0.7096,joy
7,7,I believe the amount we put there should be much higher than the Covid19 budget.,3/1/21,0.25,0.5,0.0,1.0,0.0,0.0,neutral
17,24,ToughLuck wrote: Actually she brought up such controversial questions many time liao.,26/2/21,0.2625,0.5125,0.141,0.859,0.0,-0.2023,anger
18,25,"Do respect her for asking these tough qns the problem is, is the tax going to be a progressive tax or a regressive tax?",26/2/21,-0.3888888888888889,0.8333333333333334,0.16,0.722,0.118,-0.0258,joy
19,26,"if you are familiar with economics, u will know not to assume all wealth taxes are progressive (look up burden of tax).",26/2/21,0.375,0.5,0.116,0.757,0.127,0.0772,fear
20,27,we should be looking to cut down on unnecessary expenditures that has no real positive impact to peoples' lives (tearing down and upgrading almost new estate facilities) instead and resuming activites shifting to normality and not stuck in stupid phase 3,26/2/21,-0.24175084175084174,0.5493265993265993,0.091,0.738,0.171,0.5881,anger
22,29,Cut_throat wrote: If SEP then is different.,28/1/21,0.0,0.6,0.0,1.0,0.0,0.0,neutral
26,33,"Cos maybe alot of ppl here have issues with this requirement part, because they put it as ""either or"", meaning if one exceed but the other didn't exceed, it means should be able to qualify right?",28/1/21,0.22023809523809523,0.5119047619047619,0.0,1.0,0.0,0.0,anger
28,35,Kinda confused alot of ppl,28/1/21,-0.4,0.7,0.334,0.666,0.0,-0.2516,fear
30,37,"I just use microsoft word type out text and snip lor, just clarify about my prev job de NPL all those Both not exceed should be ok right?",28/1/21,0.39285714285714285,0.5178571428571428,0.0,0.922,0.078,0.296,anger
36,46,I live alone.,28/1/21,0.13636363636363635,0.5,0.667,0.333,0.0,-0.25,fear
39,49,chiu should have used the skillsfuture credit to take ibf courses from ntuc learning hub... can earn $10/hr... only last year gotch... nao no more riaoz... most probably too many people taking... ibf buayz lunz riaoz...,1/3/21,0.15,0.5133333333333333,0.057,0.876,0.067,0.1027,neutral
41,51,using GAGT should make those who never use to pay fine,25/2/21,0.4166666666666667,0.5,0.0,0.744,0.256,0.2723,neutral
50,63,Seen so many wastages.,21/2/21,0.5,0.5,0.0,1.0,0.0,0.0,neutral
62,77,that system was good.,18/2/21,0.7,0.6000000000000001,0.0,0.508,0.492,0.4404,joy
65,80,"no bigger, no smaller.",18/2/21,0.0,0.5,0.688,0.312,0.0,-0.5267,neutral
70,85,How much hard cash you collected so far.,12/4/20,-0.09583333333333334,0.7708333333333333,0.167,0.833,0.0,-0.1027,neutral
72,87,Budgets should only benefit Singaporeans and not PRs especially considering how easy our PRs have been given out.,12/5/20,0.14444444444444446,0.9444444444444445,0.0,0.722,0.278,0.7322,anger
73,88,They did not serve NS and some don't even stay in Singapore and only come here for work.,12/5/20,0.0,1.0,0.0,1.0,0.0,0.0,anger
74,89,They are essentially foreigners who can be taken care of by their own country.,12/5/20,0.3,0.65,0.0,0.802,0.198,0.4939,neutral
75,90,Why are we taking care of foreigners when we can't even take care of so many unemployed and under privileged Singaporeans?,12/5/20,0.5,0.5,0.0,0.659,0.341,0.8519,anger
77,92,"Realistically speaking, the final budget depends a lot on how USA moves, which will very well move the world.",12/5/20,0.1,0.65,0.0,0.877,0.123,0.3384,joy
80,95,Training opportunities and sgus rike programmes for high growth and emerging areas of economies as well.,12/5/20,0.16,0.5399999999999999,0.0,0.64,0.36,0.743,fear
84,99,he should dress up like a minion then people will like him better.,12/5/20,0.5,0.5,0.0,0.533,0.467,0.7845,anger
85,100,"AZE wrote: Realistically speaking, the final budget depends a lot on how USA moves, which will very well move the world.",12/5/20,0.1,0.65,0.0,0.888,0.112,0.3384,joy
92,111,Trade association and industry experts said at the virtual event that more can be done to help businesses access existing grants as applications can be cumbersome.,15/1/21,0.5,0.5,0.0,0.839,0.161,0.5574,anger
95,114,"However, less government assistance could actually be a good thing, noted Singapore Retailers Association executive director Rose Tong.",15/1/21,0.37777777777777777,0.5388888888888889,0.0,0.847,0.153,0.4404,joy
96,115,"She said grants could distract companies from their business objectives as they tailor their goals to meet qualifying criteria: ""This could stifle their authentic growth.",15/1/21,0.5,0.75,0.077,0.767,0.157,0.3182,joy
97,116,"Some retailers have also gotten addicted to grants and subsidies such that they may be unwilling to embark on a much-needed transformation initiative should there not be a grant available.""",15/1/21,0.0,0.5,0.07,0.866,0.063,-0.0541,fear
101,120,"""She said grants could distract companies from their business objectives as they tailor their goals to meet qualifying criteria: ""This could stifle their authentic growth.",15/1/21,0.5,0.75,0.077,0.767,0.157,0.3182,joy
102,122,"https://sbr.com.sg/economy/news/more...singapore-kpmg File photo of people taking picture with Merlion Additional grants, incentives, and tax rebates in the 2021 budget will help Singapore become a smart nation and a world-leading supply chain hub whilst improving food security and promoting business transformation, according to KPMG's Budget 2021 proposal.",25/1/21,0.21428571428571427,0.6428571428571429,0.0,0.681,0.319,0.936,fear
103,123,"In the proposal, KPMG stressed the importance of 5G in Singapore's transformation into a smart nation.",25/1/21,0.21428571428571427,0.6428571428571429,0.122,0.612,0.265,0.4215,joy
104,124,"According to KPMG's partner and head of tax Ajay Kumar Sanganeria, 5G will be a key driver for data consumption and will create demand for innovation in the development of technological platforms.",25/1/21,0.0,1.0,0.044,0.819,0.137,0.4939,fear
105,125,Sanganeria said there is a need for more government support to fast-track 5G development and adoption on a larger scale.,25/1/21,0.25,0.5,0.0,0.851,0.149,0.4549,fear
110,130,Special tax rebates for local professionals in qualifying industries critical to Singapore's economy and ecosystem will also help in the transformation to a smart city.,25/1/21,0.14285714285714285,0.5035714285714286,0.076,0.658,0.266,0.7003,joy
115,135,"These measures will not only strengthen Singapore's food supply chain, it will also create additional jobs.",25/1/21,0.0,1.0,0.109,0.775,0.116,0.0356,neutral
117,137,Everyone knows healthy no need wear mask .,25/1/21,0.5,0.5,0.222,0.505,0.273,0.128,neutral
118,138,Those wear mask should be reprimanded for going out when sick.,25/1/21,-0.7142857142857143,0.8571428571428571,0.248,0.752,0.0,-0.5106,fear
126,146,"For lack of better words, its like those higher up get to eat the meat in the soup, the common people just get to drink the (meat flavoured) soup.",2/5/21,0.15,0.5,0.068,0.772,0.16,0.4767,fear
129,149,should be right after him,16/2/21,0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0,anger
130,150,"s-ghost wrote: LW can think on the spot, can tell, he don't beat around the bushes when asked questions U mean blame peasants on the spot without thinking of his healthy no need mask?",16/2/21,0.09375,0.59375,0.123,0.804,0.072,-0.2263,anger
132,152,testerjp wrote: U mean blame peasants on the spot without thinking of his healthy no need mask?,16/2/21,0.09375,0.59375,0.227,0.64,0.133,-0.2263,anger
141,162,Then super chargers for those who need rapid charge.,16/2/21,0.3333333333333333,0.6666666666666666,0.0,0.672,0.328,0.5994,neutral
147,168,The NOx emission is very very low specified in latest euro 6d requirement.,16/2/21,0.25,0.645,0.182,0.818,0.0,-0.3962,sadness
149,170,"In Europe, diesel is common, people there are educated.",16/2/21,-0.3,0.5,0.0,1.0,0.0,0.0,neutral
150,171,"In SG, mindset is stuck in the 50s that diesel is dirty.",16/2/21,-0.6,0.8,0.329,0.671,0.0,-0.5994,fear
151,172,mp4005 help wrote: Someone should develop wireless charging underneath each lot..slow but park overnight should charge full.,16/2/21,0.35,0.55,0.0,0.896,0.104,0.2144,anger
160,188,"The old pioneer gen only keep complaining , when given sweet ,then still vote for them...",17/2/21,0.15,0.6166666666666667,0.101,0.73,0.169,0.296,anger
162,193,"The old pioneer gen only keep complaining , when given sweet ,then still vote for them... Hopefully that's the case, more people must wake up and vote wisely..",17/2/21,0.32999999999999996,0.65,0.057,0.762,0.181,0.5994,anger
163,194,He should extend to help self employed to tie over rather than only extending help to certain industry like travel and hospitality,17/2/21,0.10714285714285714,0.7857142857142857,0.0,0.592,0.408,0.8658,anger
165,196,"If they got high chance of infection, we still open out door.",17/2/21,0.08,0.52,0.0,0.846,0.154,0.25,fear
168,199,"I think the petrol price should be increased much more, so that people will learn the importance of conserving fuel and more importantly, create a more sustainable Singapore.",17/2/21,0.475,0.625,0.0,0.697,0.303,0.8211,fear
171,202,1 more is 1 too many,16/2/21,0.5,0.5,0.0,1.0,0.0,0.0,neutral
172,203,"stupid, sending signal to other countries that we cannot do without them.",16/2/21,-0.46249999999999997,0.6875,0.236,0.764,0.0,-0.5267,anger
176,207,I'm not sure...,16/2/21,-0.25,0.8888888888888888,0.0,1.0,0.0,0.0,neutral
177,208,"But to claim banning travellers from countries like India will impact the lives and livelihoods of many in Singapore, we have an even bigger problem to deal with than fighting the pandemic.",16/2/21,0.25,0.5,0.138,0.745,0.117,-0.2023,fear
179,210,Are Singapore that vulnerable till we need to depend on this number of visitors per day otherwise we'll be badly affected?,16/2/21,-0.5999999999999999,0.5833333333333333,0.264,0.681,0.055,-0.6399,neutral
180,211,That's absurd!,16/2/21,-0.625,1.0,0.0,1.0,0.0,0.0,joy
185,216,Only tax the richie!!!,16/2/21,0.0,1.0,0.0,1.0,0.0,0.0,anger
191,222,the reserve should be used to accommodate more CECA coming into SG,15/2/21,0.5,0.5,0.0,1.0,0.0,0.0,anger
192,223,Renzokukenz wrote: the reserve should be used to accommodate more CECA coming into SG Yes because more ceca means more goot jods for sinkies.,15/2/21,0.5,0.5,0.0,0.895,0.105,0.4019,anger
194,225,"Challenger' s blowout FY2020 earnings a cautionary tale about big fiscal initiatives The company' s stronger profitability, fuelled by Covid-19 subsidies, underscores why it' s time for a fiscal pullback MON, FEB 15, 2021 - 5:50 AM SHAREHOLDERS of Challenger Technologies are likely to have been pleasantly surprised by the consumer electronics retailer' s earnings report for FY2020, which was unveiled this past week.",15/2/21,-0.0375,0.5625,0.0,0.801,0.199,0.8658,joy
197,228,Profit before tax from continuing operations increased by almost S$5.6 million to more than S$26.8 million.,15/2/21,0.5,0.5,0.0,0.737,0.263,0.6124,fear
198,229,What accounted for the company' s sharply increased profitability?,15/2/21,-0.125,0.75,0.0,0.588,0.412,0.4939,neutral
203,234,"Challenger also reported a more than S$4.7 million decline in "" premises expenses"" to slightly more than S$12.9 million in FY2020.",15/2/21,0.5,0.5,0.0,0.923,0.077,0.128,anger
207,238,"In absolute terms, Challenger will be paying out over S$9.3 million in dividends with respect to FY2020.",15/2/21,0.2,0.9,0.0,0.765,0.235,0.5574,anger
209,240,Shares in Challenger have jumped 12.5 per cent since the company reported its full-year numbers and announced the higher dividend.,15/2/21,0.25,0.5,0.0,0.829,0.171,0.4019,neutral
215,246,"The idea was to help companies keep their doors open and their workers employed, so that business could restart quickly once Covid-19 was under control.",15/2/21,0.16666666666666666,0.5,0.0,0.899,0.101,0.4019,fear
218,249,"From April to December 2020, a total of S$22.6 billion was disbursed under the JSS, the report said.",15/2/21,0.0,0.75,0.0,1.0,0.0,0.0,fear
224,255,"Challenger is arguably one of the most successful homegrown retailing companies in Singapore, and it has an impressive track record of profitability.",15/2/21,0.75,0.8166666666666668,0.067,0.567,0.367,0.8399,fear
228,259,The healthy ROEs are all the more impressive given the huge - and increasing - amount of cash on its books.,15/2/21,0.6,0.725,0.0,0.651,0.349,0.8221,joy
233,264,"Against that backdrop, analysts are expecting the Singapore government to adjust its Covid-19 measures in the Budget this week, narrowing direct fiscal support to only the most hard-hit segments of the economy - such as tourism and travel.",15/2/21,0.15,0.6,0.0,0.93,0.07,0.4019,fear
242,273,"Ah heng summary: ""Budget \x93should not be about goodies\x94, but that it was more important to invest in building up people\x92s abilities and enabling them to do better"" Ah pek real words: Budget should not be giving one chicken leg and take back a chicken.",15/2/21,0.05714285714285713,0.6,0.05,0.776,0.174,0.7533,anger
243,274,Garment should not bring in too many FT.,15/2/21,0.5,0.5,0.0,1.0,0.0,0.0,anger
244,275,Instead should groom sinkies so they can earn more $ to buy their expensive bto.,15/2/21,0.0,0.6,0.0,1.0,0.0,0.0,neutral
245,276,Budget should be goodies for the right people.,16/2/21,0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0,anger
246,277,Why the rich need more money?,16/2/21,0.4375,0.625,0.0,0.581,0.419,0.5574,neutral
247,278,DarkStarer wrote: Budget should be goodies for the right people.,16/2/21,0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0,anger
248,280,What's wrong with the rich earning more money in sg?,16/2/21,0.125,0.7166666666666667,0.211,0.544,0.245,0.128,anger
249,281,Renzokukenz wrote: the reserve should be used to accommodate more CECA coming into SG Yup.,16/2/21,0.5,0.5,0.0,1.0,0.0,0.0,anger
255,287,"A company is suppose to pay its shareholder only if it\x92s making profit, or by digging into its own reserves but certainly not from taxpayers $$.",13/2/21,0.16428571428571428,0.8571428571428571,0.042,0.779,0.179,0.5927,anger
257,289,Investors should stay far away from SIA and any crony Singapore stock for that matter.,13/2/21,0.1,1.0,0.0,0.927,0.073,0.0258,anger
258,290,Full of bullcrap artists masquerading as CEOs with no blame culture,13/2/21,0.35,0.55,0.338,0.662,0.0,-0.5574,anger
259,291,aiptasia wrote: Investors should stay far away from SIA and any crony Singapore stock for that matter.,13/2/21,0.1,1.0,0.0,0.936,0.064,0.0258,anger
260,292,Full of bullcrap artists masquerading as CEOs with no blame culture 100% agree.,13/2/21,0.35,0.55,0.269,0.585,0.146,-0.2732,anger
263,295,Basically just leipa and collect their top salary only.,13/2/21,0.25,0.75,0.0,0.816,0.184,0.2023,neutral
266,298,"We are not saying they should work for free... it should be performance based, if u meet target then get X amount, exceed expectation get Y amount.",13/2/21,0.4,0.8,0.0,1.0,0.0,0.0,fear
267,299,"Loss money, too bad u are fire!",13/2/21,-0.8749999999999998,0.6666666666666666,0.739,0.261,0.0,-0.8172,sadness
273,305,"Medishield claim to be be getting better and charging more with more coverage, then why is the stupid medisave ceiling rising at 4.8 pct every year, even higher than the interest.",3/10/21,0.19,0.6,0.091,0.751,0.158,0.3612,joy
276,308,Ownself import so many people until hospitals are not enough.,3/10/21,0.25,0.5,0.0,1.0,0.0,0.0,neutral
277,309,Need to build more infra and hospitals to earn more later but only charge us the bill.,3/10/21,0.25,0.5,0.0,1.0,0.0,0.0,fear
279,311,Hahah you should see those earning one also raise premium and better yet enforced,3/10/21,0.5,0.5,0.0,0.818,0.182,0.4404,neutral
286,318,The insurance options are getting worse these days but it's not like I have anywhere else to buy.... lol.,3/10/21,0.2,0.6499999999999999,0.201,0.641,0.158,-0.0039,sadness
287,319,my only advice is buy while you are still healthy and that no insurance companies will reject you yet.,3/10/21,0.25,0.75,0.208,0.678,0.114,-0.296,neutral
290,322,Because they have a blank cheque There\x92s truth in this And with the ridiculous 2% GST hike,3/10/21,-0.16666666666666666,0.5,0.133,0.745,0.122,-0.0516,joy
303,337,A senior minister says the token only use for COVID19 tracing but end up the data collected can be use for crime tracing.,2/11/21,0.0,1.0,0.184,0.816,0.0,-0.6956,anger
304,338,Then come says we will come out with law only use for serious crime cases.,2/11/21,-0.16666666666666666,0.8333333333333333,0.27,0.73,0.0,-0.5859,neutral
305,339,"As far as I know, they can cancel this crime tracing just by an act of parliment.",2/11/21,0.1,1.0,0.304,0.696,0.0,-0.729,fear
309,343,Only protect interest of insurance.,2/11/21,0.0,1.0,0.0,0.349,0.651,0.6808,joy
314,357,"Not only insurance, hospitals as well.",2/11/21,0.0,1.0,0.0,0.704,0.296,0.2732,neutral
