,Unnamed: 0,Threads,Thread Datetime,Comments,Comment Datetime,num_words
0,0,The new mask very good leh,2021-09-03 08:25:00,"Got myself the XL size, haha like people feedback got extra fabric, but I find it easier to breath. Is almost as good as without mask Being bigger when I yawn will not like stretch the mask till drop down below nose and have to readjust. The mask below portion bigger and also extend beyond the front chin area to below the chin and the opening below is more loose so when breath out, the exhaled air goes out from below instead of above and fog up my glasses. Dunno outside can buy or not",2021-09-03 06:34:00,95
1,2,The new mask very good leh,2021-09-03 08:25:00,not for people in blue collar its stuffy and warm.,2021-09-03 06:42:00,10
2,3,The new mask very good leh,2021-09-03 08:25:00,collected but have not tried,2021-09-03 07:13:00,5
3,5,The new mask very good leh,2021-09-03 08:25:00,Good but don\x92t look cool,2021-09-03 07:16:00,5
4,6,The new mask very good leh,2021-09-03 08:25:00,"Betrayedlove wrote: How good is it Go collect and try loh. I like it alot that if got option to buy it will purchase it, so far other mask dun give me the feel that I will buy it",2021-09-03 07:16:00,39
5,7,The new mask very good leh,2021-09-03 08:25:00,"SkyAmryBoi wrote: Good but don\x92t look cool Haha I dun care to look cool, functional is best",2021-09-03 07:17:00,17
6,8,The new mask very good leh,2021-09-03 08:25:00,"Haven't open to try, I took L, TS got big face?",2021-09-03 07:17:00,10
7,9,The new mask very good leh,2021-09-03 08:25:00,got some lady posted her wearing the new mask rooks rike got kkj,2021-09-03 07:17:00,13
8,10,The new mask very good leh,2021-09-03 08:25:00,"Flexamoria wrote: Haven't open to try, I took L, TS got big face? Haha dunno how to measure big face or not but see feedback say last free mask take L should take XL this time",2021-09-03 07:17:00,35
9,11,The new mask very good leh,2021-09-03 08:25:00,Got girl said like underwear,2021-09-03 07:18:00,5
10,12,The new mask very good leh,2021-09-03 08:25:00,"heatzz wrote: not for people in blue collar its stuffy and warm. Haha ok, I think ok bah, more extra space due to extra fabric so dun feel as stuffy compared to normal smaller mask",2021-09-03 07:19:00,35
11,13,The new mask very good leh,2021-09-03 08:25:00,"FireEmblem wrote: Haha dunno how to measure big face or not but see feedback say last free mask take L should take XL this time Lidat ah, see how, if small. Gib moi brother",2021-09-03 07:19:00,34
12,14,The new mask very good leh,2021-09-03 08:25:00,cet87 wrote: Got girl said like underwear Haha I not girl so dun affect or bother me,2021-09-03 07:19:00,17
13,15,The new mask very good leh,2021-09-03 08:25:00,Heng I use top grade surgical mask,2021-09-03 07:21:00,7
14,16,The new mask very good leh,2021-09-03 08:25:00,"FireEmblem wrote: Haha I not girl so dun affect or bother me If it does resemble a KKJ ... it should affect all, regardless of gender.",2021-09-03 07:22:00,25
15,18,The new mask very good leh,2021-09-03 08:25:00,"Capitalist wrote: If it does resemble a KKJ ... it should affect all, regardless of gender. Thanks to that dinobu",2021-09-03 07:23:00,19
16,19,The new mask very good leh,2021-09-03 08:25:00,"Thought I saw somewhere there's an option to buy, $10 each? Let me go search...",2021-09-03 07:23:00,13
17,20,The new mask very good leh,2021-09-03 08:25:00,Like sai la good simi worst mask ever Posted with HardwareZone Forums app,2021-09-03 07:23:00,13
18,21,The new mask very good leh,2021-09-03 08:25:00,"LemonSalmon wrote: Heng I use top grade surgical mask Surgical mask small, standard size and stuffy leh. Plus the ear loops are tight and hurt the ears after awhile. I am wearing high grade surgical mask which is real surgical standard brought way  before all these random mass production surgical masks on the market",2021-09-03 07:24:00,54
19,22,The new mask very good leh,2021-09-03 08:25:00,huihong wrote: Like sai la good simi worst mask ever Posted with HardwareZone Forums app Haha like sai then if u feel so. Is very good for me otherwise,2021-09-03 07:25:00,29
20,23,The new mask very good leh,2021-09-03 08:25:00,"Capitalist wrote: If it does resemble a KKJ ... it should affect all, regardless of gender. Maybe her face too small leh or she got one too big for her face?",2021-09-03 07:25:00,30
21,24,The new mask very good leh,2021-09-03 08:25:00,"Pre-order ends Saturday, 13 Mar, 11:59pm. Collect your free and pre-ordered MaskPlus\x99 Livinguard reusable masks by Sunday, 14 Mar,\u202f11:59pm. https://stayprepared.sg/staymasked/reusable/maskplus/ https://mask.stayprepared.sg/",2021-09-03 07:27:00,15
