Threads,Thread Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
tHOSE SGunited job also got general worker position?,3/3/21 17:25,i see some job ad looking for general worker $1.5k then put under sgunited can like that? i thought sg united only white collar office job? so if $1.5k general worker means they claim from govt and the boss only pay few hundered? can like that?,3/3/21,46,Economic Measures,48,2,-12.05520228,10,3,0,44.91690101,4,0,0
tHOSE SGunited job also got general worker position?,3/3/21 17:25,Don't know if stupid or just trolling Sent from Xiaomi REDMI NOTE 9S using GAGT,3/3/21,13,Economic Measures,15,1,-15.4944925,3,2,0,90.02233435,4,0,0
tHOSE SGunited job also got general worker position?,3/3/21 17:25,"Another thread said Bengali is offered 2k,  sGunited is 1.5k, sure a not?",3/3/21,12,Economic Measures,14,1,-13.22918505,5,0,0,236.5761059,4,0,0
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,"To allow us to make a holistic assessment of your economic situation, you must declare the information of all jobs that you are currently employed in at the point of application. This includes the jobs that are unaffected by COVID-19. Failure to declare all your jobs may lead to your application being rejected or your assistance being reduced. You may also be required, in full or in part, to repay the assistance which has been provided to you. You may also be liable to criminal prosecution.",3/2/21,86,Economic Measures,86,3,-10.30373252,21,4,4,31.91030948,3,0,1
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,so strict might as well dont give,3/2/21,7,Economic Measures,7,0,-11.44902347,2,0,0,1608.42749,4,0,0
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,"Very good People instead of whining here should go do some gigs by now Really have difficulty then declare loh Already more than 1 year since covid, if no special circumtances, should stand up by yourself now",3/2/21,36,Economic Measures,37,2,-12.55650681,6,3,1,71.87253495,4,1,0
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,"Juz like alimony, shouldn't be forever.",3/2/21,5,Economic Measures,6,0,-13.99468729,1,0,0,236.5761059,4,0,0
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,desmond_yee1 wrote: so strict might as well dont give U must have forgotten the Vince case and that NSF guy case,3/2/21,20,Economic Measures,21,1,-12.11403815,4,1,0,80.9426559,4,0,0
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,Not easy to get 1c from gov,3/2/21,6,Economic Measures,7,0,-11.98305805,1,0,0,438.2264738,4,0,0
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,"F them lah give money so difficult like begging Take money so easy just increase GST, petrol duties, parking summons",3/2/21,20,Economic Measures,20,1,-13.95235996,4,0,0,48.37598418,4,0,0
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,For sinkies...everything also hard.. If FT different situation Sent from Im Not BB but FA using GAGT,3/2/21,18,Economic Measures,18,1,-14.07376664,1,2,0,45.7151038,4,0,0
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,"virus1988 wrote: U must have forgotten the Vince case and that NSF guy case there will be people who abuse it, but sometimes its best to close one eye lah",3/2/21,30,Economic Measures,30,2,-11.39773234,7,2,0,48.68192369,4,0,0
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,Maybe when they collect their paycheck every month also apply the same standard of requirements!?,3/2/21,15,Economic Measures,15,1,-11.03486283,2,2,0,114.5877326,4,0,0
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,Didn't even try to apply...  dun think will give even if real case that need money... it OK la...,3/2/21,18,Economic Measures,19,1,-11.56964486,4,2,0,90.02233435,4,0,0
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,"psytxtbk4exam wrote: Very good People instead of whining here should go do some gigs by now Really have difficulty then declare loh Already more than 1 year since covid, if no special circumtances, should stand up by yourself now https://forums.hardwarezone.com.sg/e...e-6455513.html",3/2/21,38,Economic Measures,39,2,-14.03124687,7,3,1,71.87253495,4,1,0
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,"desmond_yee1 wrote: there will be people who abuse it, but sometimes its best to close one eye lah https://forums.hardwarezone.com.sg/e...e-6455513.html",3/2/21,17,Economic Measures,18,1,-13.88020898,5,1,0,114.664749,4,0,0
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,Song dah Billionaires get bailout,3/2/21,5,Economic Measures,5,0,-15.57359189,1,0,0,115.296886,4,0,0
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,"virus1988 wrote: To allow us to make a holistic assessment of your economic situation, you must declare the information of all jobs that you are currently employed in at the point of application. This includes the jobs that are unaffected by COVID-19. Failure to declare all your jobs may lead to your application being rejected or your assistance being reduced. You may also be required, in full or in part, to repay the assistance which has been provided to you. You may also be liable to criminal prosecution. Actually they are only asking for truthful declarations. Nothing extraordinary. So long as you disclose correctly, nothing to worry.",3/2/21,107,Economic Measures,107,4,-10.61992929,26,4,5,25.48922131,3,0,1
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,"virus1988 wrote: To allow us to make a holistic assessment of your economic situation, you must declare the information of all jobs that you are currently employed in at the point of application. This includes the jobs that are unaffected by COVID-19. Failure to declare all your jobs may lead to your application being rejected or your assistance being reduced. You may also be required, in full or in part, to repay the assistance which has been provided to you. You may also be liable to criminal prosecution. Not wrong. U declared at the point u are jobless.",3/2/21,98,Economic Measures,98,3,-10.48139378,24,4,4,27.72583134,3,0,1
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,"The usual declaration.. just be truthful when apply loh. One way or the other, they would be able to verify",3/2/21,20,Economic Measures,20,1,-10.70766379,4,2,0,236.5761059,4,0,0
