Threads,Thread Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,want to sabo also fail,21/2/21,5,Social Distancing,5,0,-11.64409432,2,1,0,41.61288876,4,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,Until now u still don\x92t get what our gahmen is saying? Can allow 8 outsiders + however many living in the same household,21/2/21,21,Social Distancing,23,1,-12.35409459,5,2,1,8.157520888,1,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,TS is a bloody clown...,21/2/21,5,Social Distancing,5,0,-12.06324737,1,0,0,21.85377548,3,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,TS Jin xia suey. Want to sabo also know the law first can?,21/2/21,13,Social Distancing,13,1,-13.35834148,2,1,0,8.157520888,1,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,ironfreak wrote: Until now u still don\x92t get what our gahmen is saying? Can allow 8 outsiders + however many living in the same household Yes 8+ whatever number in the household. If u stay landed and ur hse gt all 2 side 3 gen staying with u also no problems,21/2/21,46,Social Distancing,51,3,-12.78946479,8,4,1,2.473188098,0,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,"Please retake psle English, ts",21/2/21,5,Social Distancing,5,0,-16.35113832,1,0,0,14.31415742,2,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,don't find fault just for the sake of finding fault. you nothing better to do issit?,21/2/21,15,Social Distancing,16,1,-10.67472683,4,0,0,12.26389219,2,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,Ts fail. Go back to school la,21/2/21,7,Social Distancing,7,0,-11.71733724,1,0,0,10.45849842,2,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,heroking wrote: got 8 person meh? Knn Nicole Choo really become the gf of the jiak peh hoon guy,21/2/21,18,Social Distancing,19,1,-15.00956052,4,0,0,3.723688837,0,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,Lol dumbass heroking.. post slander but backfire then now turn tail and hide. Shame.,21/2/21,14,Social Distancing,14,1,-14.01984636,2,3,0,4.79825364,0,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,They think 8 means can invite 8 people.,21/2/21,6,Social Distancing,8,0,-10.72531908,2,0,0,21.85377548,3,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,Top chicken looks good for bonking \u0909\u092a\u0947\u0915\u094d\u0937\u093e HardwareZone Forums app,21/2/21,9,Social Distancing,16,1,-19.37594524,2,0,0,10.45849842,2,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,Wait a minute.... potential sagat here.. I thought it is only guests from two households allowed at any one time? The 8 guests... how many households there in the photo?,21/2/21,29,Social Distancing,30,2,-10.53666396,3,0,0,5.744505892,1,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,broomkiss wrote: Wait a minute.... potential sagat here.. I thought it is only guests from two households allowed at any one time? The 8 guests... how many households there in the photo? u can own visit up to 2 household lah u bohdoh,21/2/21,41,Social Distancing,43,2,-11.67578355,6,0,0,3.839536011,0,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,Sinkie pwn sinkie in our blood. Go TS!,21/2/21,8,Social Distancing,8,0,-15.05541215,0,0,1,12.26389219,2,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,Another smart aleck \x93People should limit themselves to visiting a maximum of 2 households per day as much as possible.\x94 Got say can only receive a maximum of 2 households per day? broomkiss wrote: Wait a minute.... potential sagat here.. I thought it is only guests from two households allowed at any one time? The 8 guests... how many households there in the photo?,21/2/21,60,Social Distancing,65,3,-11.653301,8,2,0,3.064036852,0,1,1
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,"broomkiss wrote: Wait a minute.... potential sagat here.. I thought it is only guests from two households allowed at any one time? The 8 guests... how many households there in the photo? You yourself can only visit 2 households per day la Wtf the amount of idiots in this thread is amazing True edmwer fat brain TS kumgong nvm, this fella lagi kumlan",21/2/21,61,Social Distancing,63,3,-12.79148756,7,0,1,1.522259134,0,0,0
[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,Sian... That means no more sagat lol,21/2/21,7,Social Distancing,7,0,-14.35867054,1,0,0,41.61288876,4,0,0
