Threads,Thread Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
The new mask very good leh,3/9/21 8:25,"Got myself the XL size, haha like people feedback got extra fabric, but I find it easier to breath. Is almost as good as without mask Being bigger when I yawn will not like stretch the mask till drop down below nose and have to readjust. The mask below portion bigger and also extend beyond the front chin area to below the chin and the opening below is more loose so when breath out, the exhaled air goes out from below instead of above and fog up my glasses. Dunno outside can buy or not",3/9/21,95,Mask,95,3,-11.63215076,15,8,4,1.46155269,0,0,0
The new mask very good leh,3/9/21 8:25,"Betrayedlove wrote: How good is it Go collect and try loh. I like it alot that if got option to buy it will purchase it, so far other mask dun give me the feel that I will buy it",3/9/21,39,Mask,39,2,-11.21782398,9,2,2,4.29440042,0,0,0
The new mask very good leh,3/9/21 8:25,got some lady posted her wearing the new mask rooks rike got kkj,3/9/21,13,Mask,13,1,-13.83771662,5,0,0,12.13298721,2,0,0
The new mask very good leh,3/9/21 8:25,"Flexamoria wrote: Haven't open to try, I took L, TS got big face? Haha dunno how to measure big face or not but see feedback say last free mask take L should take XL this time",3/9/21,35,Mask,36,2,-12.29818181,12,2,1,3.922528978,0,1,0
The new mask very good leh,3/9/21 8:25,"heatzz wrote: not for people in blue collar its stuffy and warm. Haha ok, I think ok bah, more extra space due to extra fabric so dun feel as stuffy compared to normal smaller mask",3/9/21,35,Mask,35,2,-12.99790753,3,1,1,2.977090483,0,0,0
The new mask very good leh,3/9/21 8:25,"FireEmblem wrote: Haha dunno how to measure big face or not but see feedback say last free mask take L should take XL this time Lidat ah, see how, if small. Gib moi brother",3/9/21,34,Mask,34,2,-13.22912299,9,3,0,2.682669264,0,1,0
The new mask very good leh,3/9/21 8:25,Heng I use top grade surgical mask,3/9/21,7,Mask,7,0,-13.39983696,1,0,1,12.13298721,2,0,0
The new mask very good leh,3/9/21 8:25,Like sai la good simi worst mask ever Posted with HardwareZone Forums app,3/9/21,13,Mask,13,1,-16.23872373,1,0,0,6.937429721,1,0,0
The new mask very good leh,3/9/21 8:25,"LemonSalmon wrote: Heng I use top grade surgical mask Surgical mask small, standard size and stuffy leh. Plus the ear loops are tight and hurt the ears after awhile. I am wearing high grade surgical mask which is real surgical standard brought way  before all these random mass production surgical masks on the market",3/9/21,54,Mask,54,3,-13.04914272,8,2,1,1.609433569,0,0,0
The new mask very good leh,3/9/21 8:25,huihong wrote: Like sai la good simi worst mask ever Posted with HardwareZone Forums app Haha like sai then if u feel so. Is very good for me otherwise,3/9/21,29,Mask,29,2,-14.51388556,2,2,1,4.484660741,0,0,0
