Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Threads,Thread Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
0,0,0,tHOSE SGunited job also got general worker position?,3/3/21 17:25,i see some job ad looking for general worker $1.5k then put under sgunited can like that? i thought sg united only white collar office job? so if $1.5k general worker means they claim from govt and the boss only pay few hundered? can like that?,3/3/21 17:16,46,Economic Measures,48,2,-12.055202280818275,10,3,0,44.916901013907584,4,0,0.0
1,1,1,tHOSE SGunited job also got general worker position?,3/3/21 17:25,Don't know if stupid or just trolling Sent from Xiaomi REDMI NOTE 9S using GAGT,3/3/21 17:17,13,Economic Measures,15,1,-15.494492504409104,3,2,0,90.02233435309249,4,0,0.0
2,2,2,tHOSE SGunited job also got general worker position?,3/3/21 17:25,"Another thread said Bengali is offered 2k,  sGunited is 1.5k, sure a not?",3/3/21 17:19,12,Economic Measures,14,1,-13.229185045783849,5,0,0,236.57610590533477,4,0,0.0
3,3,4,Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,"To allow us to make a holistic assessment of your economic situation, you must declare the information of all jobs that you are currently employed in at the point of application. This includes the jobs that are unaffected by COVID-19. Failure to declare all your jobs may lead to your application being rejected or your assistance being reduced. You may also be required, in full or in part, to repay the assistance which has been provided to you. You may also be liable to criminal prosecution.",3/2/21 18:49,86,Economic Measures,86,3,-10.303732519274595,21,4,4,31.91030948150603,3,0,1.0
4,4,5,Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,so strict might as well dont give,3/2/21 18:52,7,Economic Measures,7,0,-11.449023466076508,2,0,0,1608.4274900940463,4,0,0.0
5,5,6,Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,"Very good People instead of whining here should go do some gigs by now Really have difficulty then declare loh Already more than 1 year since covid, if no special circumtances, should stand up by yourself now",3/2/21 18:58,36,Economic Measures,37,2,-12.556506805477413,6,3,1,71.87253495460367,4,1,0.0
6,6,7,Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,"Juz like alimony, shouldn't be forever.",3/2/21 19:01,5,Economic Measures,6,0,-13.99468728980106,1,0,0,236.57610590533477,4,0,0.0
7,7,8,Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,desmond_yee1 wrote: so strict might as well dont give U must have forgotten the Vince case and that NSF guy case,3/2/21 19:24,20,Economic Measures,21,1,-12.114038146918462,4,1,0,80.94265589761827,4,0,0.0
8,8,9,Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,Not easy to get 1c from gov,3/2/21 19:25,6,Economic Measures,7,0,-11.983058053112739,1,0,0,438.22647376801865,4,0,0.0
9,9,10,Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,"F them lah give money so difficult like begging Take money so easy just increase GST, petrol duties, parking summons",3/2/21 19:26,20,Economic Measures,20,1,-13.952359956961365,4,0,0,48.37598417777585,4,0,0.0
10,10,11,Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,For sinkies...everything also hard.. If FT different situation Sent from Im Not BB but FA using GAGT,3/2/21 19:26,18,Economic Measures,18,1,-14.073766636817368,1,2,0,45.715103800698344,4,0,0.0
11,11,12,Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/21 14:07,"virus1988 wrote: U must have forgotten the Vince case and that NSF guy case there will be people who abuse it, but sometimes its best to close one eye lah",3/2/21 19:27,30,Economic Measures,30,2,-11.397732344113283,7,2,0,48.68192368537847,4,0,0.0
