Threads,Thread Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/21 23:02,"28TH FEB 2021 * * * * * * *As of 28 February 2021, 12pm, the Ministry of Health (MOH) has preliminarily confirmed 1 new case of locally transmitted COVID-19 infection. Based on our investigations so far, the case resides in a dormitory and there are no new cases in the community. 2.* * * * *In addition, there are 10 imported cases, who had already been placed on Stay-Home Notice upon arrival in Singapore. In total, there are 11 new cases of COVID-19 infection in Singapore today. https://www.moh.gov.sg/news-highligh...fection-28-feb",28/2/21,69,Foreign Worker,79,3,-12.53549649,11,1,1,1.77351487,0,0,0
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/21 23:02,1 community Sent from \u4f60\u662f\u6211\u7684\u5c0f\u554a\u5c0f\u82f9\u679c\u513f\u600e\u4e48\u7231\u4f60\u90fd\u4e0d\u5acc\u591a\u7ea2\u7ea2\u7684\u5c0f\u8138\u513f\u6e29\u6696\u6211\u7684\u5fc3\u7a9d\u70b9\u4eae\u6211\u751f\u547d\u7684\u706b\u706b\u706b\u706b\u706b\u706b using GAGT,28/2/21,5,Foreign Worker,48,2,-23.33657133,1,0,0,12.54897875,2,0,0
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/21 23:02,https://twitter.com/MothershipSG/sta...327296002?s=20 Mothership reported as 1 community case initially.,28/2/21,6,Foreign Worker,7,0,-14.56953096,1,0,0,9.23374887,1,0,0
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/21 23:02,"princessreiko wrote: https://twitter.com/MothershipSG/sta...327296002?s=20 Mothership reported as 1 community case Lol, they just tweeted again. https://twitter.com/MothershipSG/sta...322816514?s=20",28/2/21,12,Foreign Worker,13,1,-14.90109318,3,0,0,6.641816558,1,0,0
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/21 23:02,actually dorm cases like more scary hoh? they all squeeze tgt,28/2/21,11,Foreign Worker,11,1,-13.21015173,1,0,0,12.54897875,2,0,0
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/21 23:02,Every few days got 1 dorm or comm case. No link whatever...Machiam drop from sky.,28/2/21,15,Foreign Worker,16,1,-13.03671432,1,1,0,4.355014118,0,0,0
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/21 23:02,"So funny..last time dorm cases spread so fast..now no spread at all, always stopped at one case..",28/2/21,19,Foreign Worker,19,1,-11.17540194,2,0,0,7.253660895,1,0,0
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/21 23:02,"\u5927\u80c6\u9884\u6d4b if tear down mustafa, dorm case will not appear again",28/2/21,10,Foreign Worker,14,1,-15.77169651,1,1,0,12.54897875,2,0,0
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/21 23:02,1 spark here 1 spark there Wlwlwlsmdwl,28/2/21,5,Foreign Worker,7,0,-13.29871799,0,0,0,15.37950829,2,0,0
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/21 23:02,huai sho few imported cases? neh open legs bigger?,28/2/21,9,Foreign Worker,9,0,-15.13245376,1,0,0,9.23374887,1,0,0
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/21 23:02,Day in day out many imported cases .look like sinkies land become a heaven for imported cases other countries will be laughing at us.,28/2/21,24,Foreign Worker,24,1,-11.39932711,6,0,0,5.869458013,1,0,0
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/21 23:02,I wonder how other countries report their cases.... Likely only us need to segregate our cases into so many different types of cases...... Dorms community imports,28/2/21,26,Foreign Worker,26,2,-11.7873005,4,0,2,5.014371008,1,0,0
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/21 23:02,"Cases residing in dormitories: 1 There is 1 case residing in a dormitory today who is linked to a previous case. Case 60513 is a 31 year-old male Bangladesh national who works as a delivery assistant at Chng Woodworking Pte Ltd, and resides in a dormitory located at Kranji Way. His job entails loading and unloading of goods, and he does not interact with clients. He had been identified as a close contact of Case 60432[1]*and was placed on quarantine at a dedicated facility on 23 February. He was tested for COVID-19 as part of our protocol to test individuals during quarantine even though he is asymptomatic. His swab taken on 26 February came back positive for COVID-19 and he was conveyed in an ambulance to the National Centre for Infectious Diseases. His earlier tests from RRT \x96 the last being on 14 February \x96 were negative for COVID-19 infection. His serological test result has come back negative, indicating that this is likely a current infection. https://www.moh.gov.sg/news-highligh...-28-feb-update",28/2/21,156,Foreign Worker,168,4,-12.32396061,31,6,1,0.657829092,0,0,1
