,Post Description,Post Datetime,Comments,Comment Datetime,num_words
7,"#SGBudget2021 will continue to provide immediate relief for Singaporeans, while setting out a clear strategy to tackle our broader challenges over the horizon.

The overall budget deficit for FY2020 is the largest since Singapore’s independence, at $64.9 billion, or 13.9% of GDP. In FY2021, we will still run a deficit, albeit a smaller one, at 2.2% of GDP. 

We must therefore continue to strike a careful balance between addressing our immediate needs and meeting our longer-term needs in a fiscally responsible manner.
 
Over the past year, we have rallied together and supported one another. Let’s continue to stay the course in our fight against Covid-19 and strive to emerge stronger together! 
 
You can read more about the Budget at #linkinbio",2021-02-16 15:28:46+00:00,I agree with the need for prudence. It is wrong for taxpayers to be subsidising the SHN cost for some employers of domestic helpers. If they can afford to hire a domestic helper they should be able to afford the cost of the SHN. At most an installment scheme can be offered with interest. It's ludicrous that taxpayers are subsidising a portion of them.,2021-02-17 00:12:58+00:00,63
11,"#SGBudget2021 will continue to provide immediate relief for Singaporeans, while setting out a clear strategy to tackle our broader challenges over the horizon.

The overall budget deficit for FY2020 is the largest since Singapore’s independence, at $64.9 billion, or 13.9% of GDP. In FY2021, we will still run a deficit, albeit a smaller one, at 2.2% of GDP. 

We must therefore continue to strike a careful balance between addressing our immediate needs and meeting our longer-term needs in a fiscally responsible manner.
 
Over the past year, we have rallied together and supported one another. Let’s continue to stay the course in our fight against Covid-19 and strive to emerge stronger together! 
 
You can read more about the Budget at #linkinbio",2021-02-16 15:28:46+00:00,"Mr lawrence wong sir, you sure about immiedate relief? I have been waitng for HDB since 2011 to give me a place to stay( paid by myself and not for free) n till now nothing.Try writing to PMO office 2 x already also nothing. So what immiedate relief are you refering to i wonder when there are people who are still homeless n living on the streets. Mind you we are not  foreigners but pink IC  Singaporean. FYI we r not freeloaders but working Singaporean. Appreciate your thoughts on this. Tyvm",2021-02-19 04:26:29+00:00,88
12,"Three days to #SGBudget2021. The @mof_sg team is continuing to work hard over this CNY period to finalise the budget.
&nbsp;
Look out for it and watch it live at www.singaporebudget.gov.sg, or tune in to MOF’s Facebook live stream.",2021-02-13 04:58:00+00:00,Thank you pls take care too. Happy 🐄 Year to u all of u n family.,2021-02-13 07:26:45+00:00,15
13,"Three days to #SGBudget2021. The @mof_sg team is continuing to work hard over this CNY period to finalise the budget.
&nbsp;
Look out for it and watch it live at www.singaporebudget.gov.sg, or tune in to MOF’s Facebook live stream.",2021-02-13 04:58:00+00:00,I feel impressed with @official_annmcphil marcus for a wonderful work well done ... just 6days after I took a risk to give a try of $500 I received a payment fee of $5000. @official_annmcphil,2021-02-13 10:01:50+00:00,28
25,"Congrats to the recipients of the 4th SkillsFuture Fellowships and SkillsFuture Employer Awards! 

Glad to see a diversity of backgrounds and industries represented. A mindset of #lifelonglearning will help us prepare ourselves to tackle the big challenge of rebuilding our economy.",2020-08-20 12:43:23+00:00,I dont care lah bro,2020-08-20 12:55:59+00:00,5
31,"Congrats to the recipients of the 4th SkillsFuture Fellowships and SkillsFuture Employer Awards! 

Glad to see a diversity of backgrounds and industries represented. A mindset of #lifelonglearning will help us prepare ourselves to tackle the big challenge of rebuilding our economy.",2020-08-20 12:43:23+00:00,Wasting my bloody time as usual🙄🙄🙄,2020-08-20 14:01:04+00:00,6
34,"Congrats to the recipients of the 4th SkillsFuture Fellowships and SkillsFuture Employer Awards! 

Glad to see a diversity of backgrounds and industries represented. A mindset of #lifelonglearning will help us prepare ourselves to tackle the big challenge of rebuilding our economy.",2020-08-20 12:43:23+00:00,"Congratulations to Chef Judy Goh , Super proud of you !!!",2020-08-20 16:49:51+00:00,9
38,"COVID-19 is a challenge for our generation. How we respond will define us as a people. DPM @hengsweekeat introduced a $33 bn Fortitude Budget in Parliament today for the next phase of our fight against the pandemic. This comes in addition to the $60 bn set aside in the earlier Unity, Resilience, and Solidarity Budgets. In total, we are committing nearly $100 bn, or around 20% of our GDP this year. We are deploying significant resources to deal with an unprecedented crisis. 
The central focus of the Fortitude Budget is jobs - to support our workers and protect their livelihoods. More than 100,000 training and job opportunities will be created to cater to Singaporeans with different skills and aspirations. We are also providing more support to our businesses, especially those that are unable to re-open immediately after the circuit breaker. SME commercial tenants will enjoy up to 4 months of rental relief, shared equally between the government and landlords. There will be more help for households, and for our social service agencies who are taking care of vulnerable groups during this period. 
The battle against COVID-19 will be long and uncertain. There will be ups and downs in the journey. But with the fortitude to adapt and persevere, we will ultimately prevail! 
You can read more about the Fortitude Budget at www.singaporebudget.gov.sg 
#SGBudget2020
#FortitudeBudget
#SGUnited",2020-05-27 08:55:35+00:00,Didn’t get this green booklet in my HDB mail box,2020-05-27 09:59:48+00:00,11
40,"COVID-19 is a challenge for our generation. How we respond will define us as a people. DPM @hengsweekeat introduced a $33 bn Fortitude Budget in Parliament today for the next phase of our fight against the pandemic. This comes in addition to the $60 bn set aside in the earlier Unity, Resilience, and Solidarity Budgets. In total, we are committing nearly $100 bn, or around 20% of our GDP this year. We are deploying significant resources to deal with an unprecedented crisis. 
The central focus of the Fortitude Budget is jobs - to support our workers and protect their livelihoods. More than 100,000 training and job opportunities will be created to cater to Singaporeans with different skills and aspirations. We are also providing more support to our businesses, especially those that are unable to re-open immediately after the circuit breaker. SME commercial tenants will enjoy up to 4 months of rental relief, shared equally between the government and landlords. There will be more help for households, and for our social service agencies who are taking care of vulnerable groups during this period. 
The battle against COVID-19 will be long and uncertain. There will be ups and downs in the journey. But with the fortitude to adapt and persevere, we will ultimately prevail! 
You can read more about the Fortitude Budget at www.singaporebudget.gov.sg 
#SGBudget2020
#FortitudeBudget
#SGUnited",2020-05-27 08:55:35+00:00,Together we can stay safe and United!,2020-05-27 11:31:22+00:00,7
42,"COVID-19 is a challenge for our generation. How we respond will define us as a people. DPM @hengsweekeat introduced a $33 bn Fortitude Budget in Parliament today for the next phase of our fight against the pandemic. This comes in addition to the $60 bn set aside in the earlier Unity, Resilience, and Solidarity Budgets. In total, we are committing nearly $100 bn, or around 20% of our GDP this year. We are deploying significant resources to deal with an unprecedented crisis. 
The central focus of the Fortitude Budget is jobs - to support our workers and protect their livelihoods. More than 100,000 training and job opportunities will be created to cater to Singaporeans with different skills and aspirations. We are also providing more support to our businesses, especially those that are unable to re-open immediately after the circuit breaker. SME commercial tenants will enjoy up to 4 months of rental relief, shared equally between the government and landlords. There will be more help for households, and for our social service agencies who are taking care of vulnerable groups during this period. 
The battle against COVID-19 will be long and uncertain. There will be ups and downs in the journey. But with the fortitude to adapt and persevere, we will ultimately prevail! 
You can read more about the Fortitude Budget at www.singaporebudget.gov.sg 
#SGBudget2020
#FortitudeBudget
#SGUnited",2020-05-27 08:55:35+00:00,Thank you very very much dear Sir 😍😍😍❤️❤️❤️ Thank you very much always ❤️❤️❤️,2020-05-27 13:11:43+00:00,12
